crop,elev_band,mean_delta,std_delta,n_pixels
Winter Barley,< 2000 m,0.0,0.0,484
Winter Barley,2000–2500 m,0.4372173845767975,4.033530235290527,163
Winter Barley,2500–3000 m,1.5294079780578613,10.770869255065918,804
Winter Barley,3000–3500 m,7.1754560470581055,24.337303161621094,763
Winter Barley,3500–4000 m,0.6692320704460144,5.912888526916504,687
Winter Barley,> 4000 m,0.00014015073247719556,0.00377367390319705,726
Spring Barley,2000–2500 m,32.00531768798828,22.976573944091797,3
Spring Barley,2500–3000 m,6.345643520355225,15.505258560180664,85
Spring Barley,3000–3500 m,1.8415249586105347,7.137589454650879,535
Spring Barley,3500–4000 m,0.18750716745853424,2.4429075717926025,579
Spring Barley,> 4000 m,0.0,0.0,566
Winter Wheat,< 2000 m,0.0,0.0,484
Winter Wheat,2000–2500 m,0.43336403369903564,3.998167037963867,163
Winter Wheat,2500–3000 m,1.5157443284988403,10.707627296447754,804
Winter Wheat,3000–3500 m,7.12360954284668,24.26003074645996,763
Winter Wheat,3500–4000 m,0.6672258973121643,5.894591331481934,687
Winter Wheat,> 4000 m,0.0001421040651621297,0.0038262696471065283,726
Spring Wheat,2000–2500 m,32.843605041503906,24.245532989501953,3
Spring Wheat,2500–3000 m,6.121028900146484,15.092560768127441,85
Spring Wheat,3000–3500 m,1.693367838859558,7.081808567047119,535
Spring Wheat,3500–4000 m,0.17051176726818085,2.461773157119751,579
Spring Wheat,> 4000 m,0.0,0.0,566
Silage Maize,< 2000 m,0.0,0.0,484
Silage Maize,2000–2500 m,0.4063529670238495,3.863170862197876,163
Silage Maize,2500–3000 m,0.34830543398857117,3.191678285598755,804
Silage Maize,3000–3500 m,0.8776402473449707,4.269417762756348,763
Silage Maize,3500–4000 m,0.0812007486820221,1.7302978038787842,687
Silage Maize,> 4000 m,0.00806316640228033,0.1137390285730362,726
White Potato,< 2000 m,0.0,0.0,484
White Potato,2000–2500 m,0.037472568452358246,0.341259628534317,163
White Potato,2500–3000 m,0.06151971593499184,0.41438400745391846,804
White Potato,3000–3500 m,0.34947338700294495,0.8439129590988159,763
White Potato,3500–4000 m,0.17678037285804749,0.7306421399116516,687
White Potato,> 4000 m,0.02540244162082672,0.22686068713665009,726
Oat,< 2000 m,0.0,0.0,484
Oat,2000–2500 m,-0.00077639619121328,0.007204664405435324,163
Oat,2500–3000 m,0.06783173233270645,0.6179345846176147,804
Oat,3000–3500 m,0.7485138177871704,1.8687310218811035,763
Oat,3500–4000 m,0.227239191532135,1.009790062904358,687
Oat,> 4000 m,0.002657688921317458,0.0541212372481823,726
Dry Pea,2000–2500 m,3.166948080062866,2.2403390407562256,3
Dry Pea,2500–3000 m,0.5020666718482971,1.3921006917953491,85
Dry Pea,3000–3500 m,0.13228437304496765,0.6152758598327637,535
Dry Pea,3500–4000 m,0.016130438074469566,0.2416880577802658,579
Dry Pea,> 4000 m,0.0,0.0,566
Winter Rape,2000–2500 m,0.3727327287197113,0.4438168406486511,3
Winter Rape,2500–3000 m,0.259238600730896,0.7775833010673523,85
Winter Rape,3000–3500 m,0.026944469660520554,0.16406533122062683,535
Winter Rape,3500–4000 m,0.003811627859249711,0.06625153869390488,579
Winter Rape,> 4000 m,0.0,0.0,566
Spring Rape,< 2000 m,0.0,0.0,484
Spring Rape,2000–2500 m,0.00263249222189188,0.024784212931990623,163
Spring Rape,2500–3000 m,0.03934289142489433,0.5311426520347595,804
Spring Rape,3000–3500 m,0.4704149067401886,1.3427460193634033,763
Spring Rape,3500–4000 m,0.28678086400032043,1.2134660482406616,687
Spring Rape,> 4000 m,0.06942255795001984,0.489310085773468,726
