crop,scenario,valid_pixels,sig_positive_pct,sig_negative_pct
Winter Barley,Observed,3627,0.7,0.0
Winter Barley,No-thaw CF,1581,0.2,0.0
Spring Barley,Observed,1768,0.2,0.0
Spring Barley,No-thaw CF,1768,0.0,0.0
Winter Wheat,Observed,3627,0.7,0.0
Winter Wheat,No-thaw CF,1581,0.2,0.0
Spring Wheat,Observed,1768,0.2,0.0
Spring Wheat,No-thaw CF,1768,0.0,0.0
Silage Maize,Observed,3627,0.2,0.0
Silage Maize,No-thaw CF,3627,0.1,0.0
White Potato,Observed,3627,4.0,0.0
White Potato,No-thaw CF,3627,0.2,0.0
Oat,Observed,3627,1.8,0.0
Oat,No-thaw CF,3627,0.8,0.0
Dry Pea,Observed,1768,0.2,0.1
Dry Pea,No-thaw CF,1768,0.0,0.0
Winter Rape,Observed,1768,0.0,0.0
Winter Rape,No-thaw CF,1768,0.1,0.0
Spring Rape,Observed,3627,5.8,0.0
Spring Rape,No-thaw CF,3627,3.1,0.0
