crop,year,obs_mean_yield,cf_mean_yield
Winter Barley,1979,1.0321649,1.0321649312973022
Winter Barley,1980,0.6121015,0.6121014952659607
Winter Barley,1981,1.5026066,1.5026066303253174
Winter Barley,1982,0.3749043,0.3749043047428131
Winter Barley,1983,2.8447273,2.8447272777557373
Winter Barley,1984,1.9499035,1.9499034881591797
Winter Barley,1985,3.831254,3.831254005432129
Winter Barley,1986,0.10855002,0.10855001956224442
Winter Barley,1987,1.5469496,1.5469496250152588
Winter Barley,1988,5.2645903,5.264590263366699
Winter Barley,1989,3.62567,3.6256699562072754
Winter Barley,1990,1.2300358,1.2300357818603516
Winter Barley,1991,1.7293096,1.7293095588684082
Winter Barley,1992,5.8486586,5.848658561706543
Winter Barley,1993,3.4742432,3.4742431640625
Winter Barley,1994,3.5217886,3.5217885971069336
Winter Barley,1995,0.8943391,0.8943390846252441
Winter Barley,1996,2.1922395,2.19223952293396
Winter Barley,1997,0.623172,0.6231719851493835
Winter Barley,1998,3.549913,3.549912929534912
Winter Barley,1999,1.0616105,
Winter Barley,2000,1.6160138,
Winter Barley,2001,3.4754157,
Winter Barley,2002,16.953905,
Winter Barley,2003,5.972317,
Winter Barley,2004,13.117845,
Winter Barley,2005,10.285506,
Winter Barley,2006,5.9340568,
Winter Barley,2007,2.349851,
Winter Barley,2008,3.7234204,
Winter Barley,2009,4.4513183,
Winter Barley,2010,12.311109,
Winter Barley,2011,5.402956,
Winter Barley,2012,2.6551862,
Winter Barley,2013,2.1336718,
Winter Barley,2014,4.1803617,
Winter Barley,2015,5.5245385,
Winter Barley,2016,7.6504774,
Winter Barley,2017,18.854992,
Winter Barley,2018,13.321107,
Spring Barley,1979,0.16821139,0.16821138560771942
Spring Barley,1980,0.10374463,0.10374463349580765
Spring Barley,1981,1.9929863,1.9929863214492798
Spring Barley,1982,0.27068564,0.2706856429576874
Spring Barley,1983,0.12170098,0.12170097976922989
Spring Barley,1984,0.39673936,0.3967393636703491
Spring Barley,1985,0.14993654,0.14993654191493988
Spring Barley,1986,0.13679671,0.1367967128753662
Spring Barley,1987,0.1666121,0.16661210358142853
Spring Barley,1988,1.5939927,1.5939927101135254
Spring Barley,1989,0.4401596,0.4401595890522003
Spring Barley,1990,0.561853,0.5618529915809631
Spring Barley,1991,1.6599506,1.659950613975525
Spring Barley,1992,0.1666121,0.16661210358142853
Spring Barley,1993,0.1462716,0.14627160131931305
Spring Barley,1994,0.47381404,0.4738140404224396
Spring Barley,1995,0.14580096,0.14580096304416656
Spring Barley,1996,0.44180506,0.44180506467819214
Spring Barley,1997,0.3306246,0.33062461018562317
Spring Barley,1998,0.51375467,0.513754665851593
Spring Barley,1999,0.6599255,
Spring Barley,2000,1.8942006,
Spring Barley,2001,1.9685093,
Spring Barley,2002,2.2077203,
Spring Barley,2003,1.5187875,
Spring Barley,2004,1.7302995,
Spring Barley,2005,1.7608479,
Spring Barley,2006,7.9036703,
Spring Barley,2007,1.1208173,
Spring Barley,2008,0.52995795,
Spring Barley,2009,1.5722215,
Spring Barley,2010,6.664895,
Spring Barley,2011,2.3080127,
Spring Barley,2012,2.4141288,
Spring Barley,2013,1.3920566,
Spring Barley,2014,0.24755965,
Spring Barley,2015,0.2376177,
Spring Barley,2016,4.794316,
Spring Barley,2017,3.4051251,
Spring Barley,2018,4.773062,
Winter Wheat,1979,1.0247909,1.02479088306427
Winter Wheat,1980,0.6090627,0.609062671661377
Winter Wheat,1981,1.4925716,1.4925715923309326
Winter Wheat,1982,0.3730925,0.37309250235557556
Winter Wheat,1983,2.8077025,2.8077025413513184
Winter Wheat,1984,1.9275059,1.9275058507919312
Winter Wheat,1985,3.7844408,3.784440755844116
Winter Wheat,1986,0.107060626,0.10706062614917755
Winter Wheat,1987,1.5360099,1.5360099077224731
Winter Wheat,1988,5.2222085,5.222208499908447
Winter Wheat,1989,3.5561254,3.5561254024505615
Winter Wheat,1990,1.2232244,1.223224401473999
Winter Wheat,1991,1.7206144,1.7206144332885742
Winter Wheat,1992,5.804281,5.804281234741211
Winter Wheat,1993,3.4408174,3.440817356109619
Winter Wheat,1994,3.4876945,3.487694501876831
Winter Wheat,1995,0.8873446,0.8873445987701416
Winter Wheat,1996,2.18343,2.1834299564361572
Winter Wheat,1997,0.6209486,0.6209486126899719
Winter Wheat,1998,3.5194974,3.5194973945617676
Winter Wheat,1999,1.0544562,
Winter Wheat,2000,1.6111884,
Winter Wheat,2001,3.448599,
Winter Wheat,2002,16.682713,
Winter Wheat,2003,5.9306407,
Winter Wheat,2004,13.012605,
Winter Wheat,2005,10.157272,
Winter Wheat,2006,5.8980055,
Winter Wheat,2007,2.3343399,
Winter Wheat,2008,3.7000535,
Winter Wheat,2009,4.4212008,
Winter Wheat,2010,12.229935,
Winter Wheat,2011,5.37621,
Winter Wheat,2012,2.6372213,
Winter Wheat,2013,2.1087704,
Winter Wheat,2014,4.1524158,
Winter Wheat,2015,5.5040555,
Winter Wheat,2016,7.6133065,
Winter Wheat,2017,18.76678,
Winter Wheat,2018,13.182383,
Spring Wheat,1979,0.17039548,0.17039547860622406
Spring Wheat,1980,0.06850252,0.0685025230050087
Spring Wheat,1981,1.9064996,1.9064996242523193
Spring Wheat,1982,0.2506627,0.2506627142429352
Spring Wheat,1983,0.12059611,0.12059611082077026
Spring Wheat,1984,0.31706876,0.31706875562667847
Spring Wheat,1985,0.14857534,0.1485753357410431
Spring Wheat,1986,0.14282273,0.142822727560997
Spring Wheat,1987,0.17935027,0.17935027182102203
Spring Wheat,1988,1.3898932,1.3898931741714478
Spring Wheat,1989,0.4139688,0.4139688014984131
