year,suitable_area_km2,mean_class_all_pixels,mean_class_suitable_only,class0_area_km2,class1_area_km2,class2_area_km2,class3_area_km2,class4_area_km2,class5_area_km2
1979,5.0,0.016445288434624672,3.7142856121063232,1574.0,2.0,0.0,0.0,1.0,4.0
1980,2.0,0.0063251107931137085,3.3333332538604736,1578.0,1.0,0.0,0.0,1.0,1.0
1981,14.0,0.0347881093621254,2.3913042545318604,1558.0,9.0,5.0,4.0,1.0,4.0
1982,3.0,0.006957621779292822,2.75,1577.0,1.0,1.0,1.0,0.0,1.0
1983,10.0,0.0373181514441967,2.5652174949645996,1558.0,13.0,0.0,2.0,0.0,8.0
1984,9.0,0.02972801961004734,2.6111111640930176,1563.0,9.0,1.0,2.0,0.0,6.0
1985,16.0,0.04237824305891991,3.190476179122925,1560.0,5.0,2.0,2.0,8.0,4.0
1986,2.0,0.0063251107931137085,2.0,1576.0,3.0,1.0,0.0,0.0,1.0
1987,13.0,0.01764543727040291,2.559999942779541,3602.0,12.0,0.0,3.0,7.0,3.0
1988,20.0,0.048703353852033615,2.3333332538604736,1548.0,13.0,6.0,6.0,6.0,2.0
1989,32.0,0.03529087454080582,1.9104477167129517,3560.0,35.0,13.0,10.0,8.0,1.0
1990,8.0,0.020240353420376778,3.200000047683716,1571.0,2.0,1.0,3.0,1.0,3.0
1991,11.0,0.02150537632405758,2.125,1565.0,5.0,7.0,2.0,1.0,1.0
1992,20.0,0.06894370913505554,2.4772727489471436,1537.0,24.0,2.0,1.0,7.0,10.0
1993,11.0,0.04364326223731041,2.029411792755127,1547.0,23.0,0.0,2.0,5.0,4.0
1994,14.0,0.04427577555179596,2.5,1553.0,14.0,1.0,3.0,5.0,5.0
1995,4.0,0.01138519961386919,3.5999999046325684,1576.0,1.0,1.0,0.0,0.0,3.0
1996,4.0,0.0385831743478775,1.1960784196853638,1530.0,47.0,2.0,0.0,0.0,2.0
1997,3.0,0.008222644217312336,2.1666667461395264,1575.0,3.0,1.0,1.0,0.0,1.0
1998,30.0,0.03777226433157921,2.5849056243896484,3574.0,23.0,2.0,10.0,10.0,8.0
