crop,alt_metric,spearman_r,spearman_p,ols_slope,n_pixels,significant
Winter Barley,alt_mean_comp,0.1501,0.0,2.79904,1768,True
Winter Barley,delta_alt,0.151,0.0,11.31865,1768,True
Winter Barley,alt_trend,0.084,0.00041,258.92558,1768,True
Spring Barley,alt_mean_comp,0.1234,0.0,0.84693,1768,True
Spring Barley,delta_alt,0.0244,0.304986,-0.43008,1768,False
Spring Barley,alt_trend,0.0152,0.52172,-28.28758,1768,False
Winter Wheat,alt_mean_comp,0.1501,0.0,2.74185,1768,True
Winter Wheat,delta_alt,0.151,0.0,11.11563,1768,True
Winter Wheat,alt_trend,0.0839,0.000415,252.18527,1768,True
Spring Wheat,alt_mean_comp,0.1319,0.0,0.87244,1768,True
Spring Wheat,delta_alt,0.025,0.293178,-0.30706,1768,False
Spring Wheat,alt_trend,0.0121,0.611305,-30.32259,1768,False
Silage Maize,alt_mean_comp,0.0539,0.023546,0.9981,1768,True
Silage Maize,delta_alt,-0.1221,0.0,-0.36032,1768,True
Silage Maize,alt_trend,0.062,0.009097,32.26365,1768,True
White Potato,alt_mean_comp,0.181,0.0,0.12948,1768,True
White Potato,delta_alt,-0.0171,0.472113,-0.00857,1768,False
White Potato,alt_trend,0.0891,0.000177,1.8935,1768,True
Oat,alt_mean_comp,0.171,0.0,0.26315,1768,True
Oat,delta_alt,0.1835,0.0,1.18853,1768,True
Oat,alt_trend,0.0231,0.33199,18.21526,1768,False
Dry Pea,alt_mean_comp,0.0859,0.000299,0.06046,1768,True
Dry Pea,delta_alt,-0.0124,0.603094,-0.03723,1768,False
Dry Pea,alt_trend,-0.0148,0.535384,-2.43104,1768,False
Winter Rape,alt_mean_comp,-0.1641,0.0,-0.07515,1768,True
Winter Rape,delta_alt,-0.1384,0.0,-0.18415,1768,True
Winter Rape,alt_trend,-0.0406,0.087656,-0.6659,1768,False
Spring Rape,alt_mean_comp,0.2328,0.0,0.15214,1768,True
Spring Rape,delta_alt,0.0222,0.349944,-0.93305,1768,False
Spring Rape,alt_trend,0.1176,1e-06,6.34891,1768,True
