class,feature,n,mean,median,std
Negative,Elevation,304,3250.3609,3195.1299,286.7465
Negative,Slope,304,10.4202,7.3269,10.1225
Negative,ΔALT,304,0.2512,0.251,0.0996
Negative,Baseline ASM,304,368.4568,399.7505,105.1367
Negative,ΔASM,304,61.6395,57.3569,26.269
Near-zero,Elevation,16658,3755.384,3769.4404,475.1002
Near-zero,Slope,16658,26.0879,24.078,16.3913
Near-zero,ΔALT,16658,0.0638,0.067,0.1598
Near-zero,Baseline ASM,16658,184.9793,162.5562,115.391
Near-zero,ΔASM,16658,28.2759,21.7204,30.0701
Positive,Elevation,718,3360.4686,3290.8496,350.2277
Positive,Slope,718,13.4936,12.7401,8.5671
Positive,ΔALT,718,0.1639,0.2031,0.192
Positive,Baseline ASM,718,280.6011,280.1549,98.6824
Positive,ΔASM,718,60.3918,59.6386,30.2764
