year,scenario,mean_yield,crop
1979,observed,271.9754521052043,Winter Barley
1980,observed,483.86619567871094,Winter Barley
1981,observed,296.9526484012604,Winter Barley
1982,observed,296.3618335723877,Winter Barley
1983,observed,195.54408371966818,Winter Barley
1984,observed,205.51983846028645,Winter Barley
1985,observed,288.43869981311616,Winter Barley
1986,observed,42.90439414978027,Winter Barley
1987,observed,233.7827734152476,Winter Barley
1988,observed,332.9326792907715,Winter Barley
1989,observed,202.31236358789297,Winter Barley
1990,observed,324.11442534128827,Winter Barley
1991,observed,455.67305246988934,Winter Barley
1992,observed,210.1529518474232,Winter Barley
1993,observed,161.552305950838,Winter Barley
1994,observed,222.71791358947755,Winter Barley
1995,observed,353.4875259399414,Winter Barley
1996,observed,70.73327691214425,Winter Barley
1997,observed,328.41163635253906,Winter Barley
1998,observed,247.60642374478854,Winter Barley
1999,observed,167.41135280028632,Winter Barley
2000,observed,255.49178266525269,Winter Barley
2001,observed,249.75601144270465,Winter Barley
2002,observed,462.1400847599424,Winter Barley
2003,observed,349.3805443856024,Winter Barley
2004,observed,345.6552401224772,Winter Barley
2005,observed,300.8510485733709,Winter Barley
2006,observed,430.4564839935303,Winter Barley
2007,observed,266.34090399742126,Winter Barley
2008,observed,217.8201098903533,Winter Barley
2009,observed,192.2015761392457,Winter Barley
2010,observed,463.4253135862805,Winter Barley
2011,observed,435.478296746148,Winter Barley
2012,observed,204.9012579816453,Winter Barley
2013,observed,138.1933499617236,Winter Barley
2014,observed,379.05431299209596,Winter Barley
2015,observed,417.44794921080273,Winter Barley
2016,observed,478.41863612470956,Winter Barley
2017,observed,480.8022951310681,Winter Barley
2018,observed,478.372857122138,Winter Barley
1999,no_thaw,360.8629614512126,Winter Barley
2000,no_thaw,165.9812172721414,Winter Barley
2001,no_thaw,240.47464761068656,Winter Barley
2002,no_thaw,529.8476076993076,Winter Barley
2003,no_thaw,344.4541549682617,Winter Barley
2004,no_thaw,349.57156035105385,Winter Barley
2005,no_thaw,326.52900260867494,Winter Barley
2006,no_thaw,439.4570707841353,Winter Barley
2007,no_thaw,313.6755075454712,Winter Barley
2008,no_thaw,288.4416424466782,Winter Barley
2009,no_thaw,206.04541675249735,Winter Barley
2010,no_thaw,427.49055709838865,Winter Barley
2011,no_thaw,411.1939138684954,Winter Barley
2012,no_thaw,183.3263124057225,Winter Barley
2013,no_thaw,109.26489103138447,Winter Barley
2014,no_thaw,290.9046823501587,Winter Barley
2015,no_thaw,404.3814153035482,Winter Barley
2016,no_thaw,476.7496226270434,Winter Barley
