crop,elev_mid,mean_delta_yield
Winter Barley,2250.0,1.7052083333333339
Winter Barley,2750.0,-2.006328674765194
Winter Barley,3250.0,4.680295491679064
Winter Barley,3750.0,0.3601738836618423
Winter Barley,4250.0,8.129468862561212e-05
Winter Barley,4750.0,0.0
Winter Barley,5250.0,0.0
Spring Barley,2250.0,0.0
Spring Barley,2750.0,0.9372054245892693
Spring Barley,3250.0,0.45725259727406725
Spring Barley,3750.0,0.10678680367214487
Spring Barley,4250.0,0.0
Spring Barley,4750.0,0.0
Spring Barley,5250.0,0.0
Winter Wheat,2250.0,1.7021372477213532
Winter Wheat,2750.0,-2.002484487084782
Winter Wheat,3250.0,4.598668626416881
Winter Wheat,3750.0,0.3585987389259249
Winter Wheat,4250.0,8.593420064227182e-05
Winter Wheat,4750.0,0.0
Winter Wheat,5250.0,0.0
Spring Wheat,2250.0,0.08841857910156249
Spring Wheat,2750.0,0.9585935166302848
Spring Wheat,3250.0,0.5541161464085089
Spring Wheat,3750.0,0.10471756429458118
Spring Wheat,4250.0,0.0
Spring Wheat,4750.0,0.0
Spring Wheat,5250.0,0.0
Silage Maize,2250.0,0.005302254358927409
Silage Maize,2750.0,1.0455113575505277
Silage Maize,3250.0,2.0269082658201736
Silage Maize,3750.0,0.04432223445650621
Silage Maize,4250.0,0.04457667932747315
Silage Maize,4750.0,0.0
Silage Maize,5250.0,0.0
White Potato,2250.0,0.02634878953297933
White Potato,2750.0,0.2502303227256326
White Potato,3250.0,0.16870670382107528
White Potato,3750.0,0.19176310583408632
White Potato,4250.0,0.05635441182563024
White Potato,4750.0,0.03714891016483307
White Potato,5250.0,0.0
Oat,2250.0,0.41157430013020835
Oat,2750.0,0.32116372921887565
Oat,3250.0,0.4810192766057056
Oat,3750.0,0.14467154616453945
Oat,4250.0,0.005219660451420774
Oat,4750.0,0.0
Oat,5250.0,0.0
Dry Pea,2250.0,0.0
Dry Pea,2750.0,0.06691417189205395
Dry Pea,3250.0,0.03370513131685346
Dry Pea,3750.0,0.006928850579138246
Dry Pea,4250.0,0.0
Dry Pea,4750.0,0.0
Dry Pea,5250.0,0.0
Winter Rape,2250.0,-0.5383118311564128
Winter Rape,2750.0,-0.3171225007141338
Winter Rape,3250.0,-0.059458275676887724
Winter Rape,3750.0,0.0016644095175212732
Winter Rape,4250.0,0.0
Winter Rape,4750.0,0.0
Winter Rape,5250.0,0.0
Spring Rape,2250.0,0.005317179361979167
Spring Rape,2750.0,0.44808218787698184
Spring Rape,3250.0,0.21254216575176912
Spring Rape,3750.0,0.4578635813143999
Spring Rape,4250.0,0.16889858992450232
Spring Rape,4750.0,0.06315538465976715
Spring Rape,5250.0,0.0
