crop,scenario,valid_pixels,sig_positive_trend_%,sig_negative_trend_%
Winter Barley,Observed,44,9.1,0.0
Winter Barley,No-Thaw CF,41,22.0,0.0
Spring Barley,Observed,13,0.0,0.0
Spring Barley,No-Thaw CF,10,0.0,0.0
Winter Wheat,Observed,44,11.4,0.0
Winter Wheat,No-Thaw CF,41,22.0,0.0
Spring Wheat,Observed,13,0.0,0.0
Spring Wheat,No-Thaw CF,10,0.0,0.0
Silage Maize,Observed,16,6.2,0.0
Silage Maize,No-Thaw CF,12,8.3,0.0
White Potato,Observed,221,8.1,0.0
White Potato,No-Thaw CF,193,8.8,0.0
Oat,Observed,156,1.3,1.9
Oat,No-Thaw CF,128,2.3,2.3
Dry Pea,Observed,15,0.0,20.0
Dry Pea,No-Thaw CF,10,0.0,10.0
Winter Rape,Observed,2,0.0,0.0
Winter Rape,No-Thaw CF,6,16.7,0.0
Spring Rape,Observed,228,1.3,4.8
Spring Rape,No-Thaw CF,197,0.5,5.6
