crop,mean_delta_yield,mean_delta_class
Winter Barley,215.52016838597478,2.536670819438794
Winter Wheat,209.0208921180399,2.5146738306622853
Spring Barley,207.8744683907873,2.3996336996336995
Spring Wheat,192.5195777966426,2.416593210710858
Silage Maize,66.47974474862343,2.4924377705627707
Dry Pea,17.094532967942477,2.525736319874251
Oat,16.9907088883019,2.624288255275063
Spring Rape,13.720963722509694,2.896123861541525
Winter Rape,13.021634314474072,2.984800455954302
White Potato,4.1612498594443545,1.8988838608712328
