crop,climate_var,ols_slope,ols_r,ols_p,spearman_r,spearman_p,n_pixels,interpretation
Winter Barley,temperature,-8.05265,-0.6223,0.0547,-0.1428,0.0,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.143)"
Winter Barley,precipitation,0.00083,0.0213,0.95344,-0.017,0.47583,1768,"ΔYield increases weakly as precipitation rises (not significant, r=-0.017)"
Spring Barley,temperature,-1.94207,-0.6539,0.04029,-0.0912,0.00012,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.091)"
Spring Barley,precipitation,-0.00138,-0.2119,0.55682,-0.026,0.27374,1768,"ΔYield decreases weakly as precipitation rises (not significant, r=-0.026)"
Winter Wheat,temperature,-7.8831,-0.618,0.05687,-0.1428,0.0,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.143)"
Winter Wheat,precipitation,0.00102,0.0266,0.94177,-0.0169,0.47683,1768,"ΔYield increases weakly as precipitation rises (not significant, r=-0.017)"
Spring Wheat,temperature,-2.22101,-0.6477,0.04286,-0.1005,2e-05,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.100)"
Spring Wheat,precipitation,-0.00182,-0.2683,0.45358,-0.0325,0.17163,1768,"ΔYield decreases weakly as precipitation rises (not significant, r=-0.033)"
Silage Maize,temperature,-3.56339,-0.7283,0.01692,-0.0453,0.0569,1768,"ΔYield decreases weakly as temperature rises (not significant, r=-0.045)"
Silage Maize,precipitation,-0.00341,-0.4383,0.20519,0.0478,0.04427,1768,"ΔYield decreases weakly as precipitation rises (significant, r=0.048)"
White Potato,temperature,-0.26414,-0.2213,0.5389,-0.1311,0.0,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.131)"
White Potato,precipitation,0.00072,0.3399,0.33663,0.0941,7e-05,1768,"ΔYield increases weakly as precipitation rises (significant, r=0.094)"
Oat,temperature,-0.94745,-0.8329,0.00278,-0.1746,0.0,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.175)"
Oat,precipitation,-0.00082,-0.2417,0.50111,-0.0512,0.03143,1768,"ΔYield decreases weakly as precipitation rises (significant, r=-0.051)"
Dry Pea,temperature,-0.14231,-0.6341,0.04896,-0.0501,0.03521,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.050)"
Dry Pea,precipitation,-0.0001,-0.1987,0.58209,0.0034,0.88569,1768,"ΔYield decreases weakly as precipitation rises (not significant, r=0.003)"
Winter Rape,temperature,0.25003,0.7331,0.01586,0.1542,0.0,1768,"ΔYield increases weakly as temperature rises (significant, r=0.154)"
Winter Rape,precipitation,0.00056,0.6095,0.0614,0.1159,0.0,1768,"ΔYield increases weakly as precipitation rises (significant, r=0.116)"
Spring Rape,temperature,-0.19499,-0.0634,0.86177,-0.1764,0.0,1768,"ΔYield decreases weakly as temperature rises (significant, r=-0.176)"
Spring Rape,precipitation,0.00295,0.4805,0.15981,0.097,4e-05,1768,"ΔYield increases weakly as precipitation rises (significant, r=0.097)"
