Year,pct_class_1,pct_class_2,pct_class_3,pct_class_4,pct_class_5
1979,98.545246,0.486827,0.647194,0.246277,0.074456
1980,98.791523,0.429553,0.452463,0.257732,0.068729
1981,97.193585,1.04811,1.174112,0.441008,0.143184
1982,98.717068,0.435281,0.498282,0.280641,0.068729
1983,98.688431,0.435281,0.664376,0.160367,0.051546
1984,98.785796,0.45819,0.526919,0.154639,0.074456
1985,98.115693,0.738832,0.836197,0.229095,0.080183
1986,98.562428,0.532646,0.618557,0.21764,0.068729
1987,98.396334,0.463918,0.796105,0.257732,0.085911
1988,97.571592,0.910653,0.945017,0.418099,0.154639
1989,97.605956,0.996564,1.019473,0.297824,0.080183
1990,98.751432,0.355097,0.578465,0.257732,0.057274
1991,98.029782,0.498282,0.761741,0.538373,0.171821
1992,98.155785,0.721649,0.796105,0.252005,0.074456
1993,97.989691,0.738832,1.002291,0.194731,0.074456
1994,97.749141,0.790378,0.904926,0.418099,0.137457
1995,98.682703,0.509737,0.475372,0.246277,0.085911
1996,98.184422,0.521191,0.784651,0.372279,0.137457
1997,97.886598,0.767468,0.801833,0.389462,0.154639
1998,97.491409,0.738832,0.93929,0.612829,0.21764
1999,97.983963,0.727377,0.870561,0.315006,0.103093
2000,98.006873,0.45819,0.738832,0.561283,0.234822
2001,97.852234,0.555556,0.824742,0.595647,0.171821
2002,95.252005,1.689576,1.643757,1.076747,0.337915
2003,96.764032,1.122566,1.317297,0.618557,0.177549
2004,96.351661,1.311569,1.420389,0.710195,0.206186
2005,96.202749,1.231386,1.454754,0.893471,0.21764
2006,95.836197,1.300115,1.72394,0.91638,0.223368
2007,97.428408,0.853379,0.962199,0.578465,0.177549
2008,97.508591,0.767468,0.945017,0.635739,0.143184
2009,96.300115,1.328751,1.523482,0.664376,0.183276
2010,95.498282,1.408935,1.798396,1.059565,0.234822
2011,97.193585,0.93929,1.168385,0.56701,0.13173
2012,97.233677,1.0252,1.162658,0.521191,0.057274
2013,97.084765,0.962199,1.082474,0.670103,0.200458
2014,98.069874,0.469645,0.836197,0.475372,0.148912
2015,97.605956,0.761741,0.899198,0.515464,0.21764
2016,95.767468,0.876289,2.033219,0.950745,0.372279
2017,96.357388,1.065292,1.695304,0.710195,0.171821
2018,95.0,1.712486,1.907216,1.042383,0.337915
