crop,metric,tau,p,slope,significant,trend
Winter Barley,mean_suit,0.524,0.0,0.001442,True,increasing
Winter Barley,pct_ge2,0.514,0.0,0.069138,True,increasing
Spring Barley,mean_suit,0.468,0.0,0.000435,True,increasing
Spring Barley,pct_ge2,0.463,0.0,0.025819,True,increasing
Winter Wheat,mean_suit,0.526,0.0,0.001432,True,increasing
Winter Wheat,pct_ge2,0.517,0.0,0.068023,True,increasing
Spring Wheat,mean_suit,0.464,0.0,0.000436,True,increasing
Spring Wheat,pct_ge2,0.441,0.0001,0.024546,True,increasing
Silage Maize,mean_suit,0.521,0.0,0.00043,True,increasing
Silage Maize,pct_ge2,0.514,0.0,0.021601,True,increasing
White Potato,mean_suit,0.314,0.0045,0.001375,True,increasing
White Potato,pct_ge2,0.313,0.0046,0.114548,True,increasing
Oat,mean_suit,0.424,0.0001,0.003427,True,increasing
Oat,pct_ge2,0.435,0.0001,0.157503,True,increasing
Dry Pea,mean_suit,0.488,0.0,0.000415,True,increasing
Dry Pea,pct_ge2,0.497,0.0,0.024546,True,increasing
Winter Rape,mean_suit,0.369,0.0007,0.000143,True,increasing
Winter Rape,pct_ge2,0.353,0.0011,0.00743,True,increasing
Spring Rape,mean_suit,0.517,0.0,0.002913,True,increasing
Spring Rape,pct_ge2,0.486,0.0,0.095456,True,increasing
OVERALL,mean_suit,0.579,0.0,0.001204,True,increasing
OVERALL,pct_ge2,0.545,0.0,0.057274,True,increasing
