Year,Mean_Temperature_C,Total_Precipitation_mm,Max_ALT_m,Mean_SoilMoisture_mm
1979,-4.0426699847595975,244.2228565184143,2.2441351832939316,179.58109130537431
1980,-3.9790161973529927,210.75149915767471,2.238052708927845,181.3666847266537
1981,-3.825038310399417,282.9364175633543,2.2640664551710072,183.1596206501255
1982,-4.070877857657145,245.67882732673547,2.240000017627408,180.8225064741616
1983,-4.807347800635524,263.947250898709,2.2186025358045223,173.20493198517477
1984,-4.516476349221716,221.33977236790275,2.223951904975808,178.65460428985014
1985,-4.053144690763117,266.7293212898254,2.248121436092179,183.48276866854584
1986,-4.338322906096932,253.9303265293809,2.240148927133108,180.01432707018552
1987,-3.3209878389847756,238.78668818734388,2.2474570610098548,190.6201346579137
1988,-3.583846434458892,290.742358293479,2.2630584362514514,190.12123390242854
1989,-4.004062624638039,323.624815374592,2.261660955718293,190.48367640511202
1990,-3.533577233595457,216.95454899171412,2.255120291810948,192.51734346710796
1991,-3.6022596463449426,220.59862973863036,2.2698167410059344,192.58757058157954
1992,-4.138322395156401,269.4328007046397,2.267193602907972,188.60470606536109
1993,-3.8060709567490782,270.48320019368606,2.259564736864411,191.67074254600212
1994,-3.3012153257363206,231.8482474591063,2.293127165422407,200.66652807791831
1995,-4.12146043374015,213.00322599064495,2.291821323599739,191.82027865742378
1996,-3.7185111242386912,263.8374441879834,2.2943184598512256,195.35179724880498
1997,-3.439352696326401,212.4456486355541,2.3040091818345783,204.90319477385316
1998,-2.4507390983535347,332.23592357673493,2.3237113595555057,219.93727342629995
1999,-2.7629172274408504,265.2938058618499,2.318671267944786,217.83489667984668
2000,-3.2994319567188346,270.2882560283089,2.3118556892544135,199.87941940907473
2001,-2.519471073031526,289.3578952319839,2.3208591258846742,213.66032844125957
2002,-2.694925833957636,400.4140850604578,2.311111132013702,220.3828592927835
2003,-3.354578613917918,333.168127266005,2.243917548130741,207.23882074545887
2004,-3.3205824317034165,331.08204470167124,2.237651796804534,202.15072272957897
2005,-2.9524285335866143,375.20823022071033,2.2572623360880737,212.20691002584385
2006,-2.4063590745804886,334.5440807952367,2.2724627943587876,220.82458743608194
2007,-2.5526217183458733,413.91962206224275,2.27915237048579,221.09187819249826
2008,-3.3263561522982954,344.96673544277445,2.2294616493709034,212.41112657659733
2009,-2.6444794206773183,339.2762199757295,2.2290378237678694,222.10866368076105
2010,-2.441400273140909,313.8965506696394,2.271328774224305,216.61227038340425
2011,-2.7921364841006286,313.7273969383692,2.2596792895112183,221.41260944557584
2012,-3.4707148736527187,312.32544244489156,2.2435739050274726,212.25335586771885
2013,-2.013312550081614,261.824162413847,2.300675853250499,229.41861780692938
2014,-2.7002731171883836,314.5798883926196,2.299793837218623,227.74699841623632
2015,-2.556126433408835,342.33669247282245,2.2791523705028585,234.2648981980192
2016,-2.151253380065253,395.3033118616317,2.294433012451093,235.61378912417882
2017,-2.5420574545734977,370.65053698113763,2.2539060934097908,231.0650379570681
2018,-2.7315126862227763,329.71123285843345,2.2581328979745625,227.17179742957347
