Year,area_class_1,area_class_2,area_class_3,area_class_4,area_class_5
1979,167972.1986,838.7617,1117.7832,425.2573,128.5763
1980,168393.5263,743.0346,781.8215,445.3379,118.8569
1981,165631.4964,1811.991,2029.1579,762.3699,247.5621
1982,168266.105,751.5997,861.0693,484.9848,118.8184
1983,168214.1205,752.5919,1149.2642,277.5616,89.0391
1984,168381.8731,792.9456,911.314,267.7002,128.7444
1985,167223.1893,1279.3226,1445.4748,395.9065,138.684
1986,167995.6084,921.6811,1070.395,376.0744,118.8184
1987,167708.0124,803.6945,1376.5713,445.7794,148.5196
1988,166281.9576,1575.4618,1634.7926,723.0013,267.3639
1989,166343.602,1722.9132,1763.2178,514.3547,138.4895
1990,168325.6467,613.8467,999.202,445.1375,98.7444
1991,167075.0555,862.1237,1317.166,931.2715,296.9605
1992,167292.4639,1248.173,1377.6163,435.5015,128.8225
1993,167006.8327,1276.8228,1733.6865,336.6203,128.615
1994,166591.0993,1366.5756,1564.446,722.9502,237.5062
1995,168205.093,881.4694,821.676,425.8196,148.5192
1996,167343.9464,901.1418,1356.0667,643.6175,237.8049
1997,166829.5237,1326.8222,1385.4608,673.4465,267.324
1998,166150.6131,1277.5357,1622.6097,1057.1651,374.6537
1999,167002.4017,1256.3129,1503.1104,543.6559,177.0963
2000,167036.4317,793.2375,1276.7232,970.4453,405.7395
2001,166770.2349,961.3746,1425.4042,1028.6813,296.8822
2002,162304.5865,2909.6465,2833.0226,1853.6608,581.6608
2003,164896.5248,1939.8489,2272.7078,1066.6477,306.848
2004,164183.6452,2265.2222,2451.9182,1225.6939,356.0977
2005,163924.2327,2128.7292,2511.538,1542.3518,375.7255
2006,163284.73,2248.0625,2981.2545,1583.1639,385.3663
2007,166044.0667,1474.2211,1659.7747,998.1326,306.3821
2008,166183.9716,1325.3565,1629.6675,1096.4201,247.1616
2009,164093.8051,2295.9056,2630.1766,1146.1888,316.501
2010,162700.0379,2435.5861,3109.54,1832.0134,405.3999
2011,165637.0618,1622.8221,2016.9656,978.6681,227.0597
2012,165710.3866,1768.7267,2006.3823,898.3505,98.7312
2013,165443.0734,1665.1031,1870.6041,1157.3603,346.4364
2014,167146.1067,811.6332,1445.3017,821.8391,257.6966
2015,166352.5599,1314.2879,1550.4844,889.648,375.597
2016,163167.3596,1515.3234,3514.0878,1642.8194,642.987
2017,164188.711,1841.0845,2929.3452,1226.3977,297.0389
2018,161845.1802,2957.6118,3293.8547,1801.7417,584.1888
