Year,Winter barley,Spring barley,Winter wheat,White potato,Spring oat,Spring rapeseed,Overall
1979,396.7994440855114,99.52316374984214,396.7994440855114,5830.616175892833,2281.5206672455943,15799.957992337204,2510.3786378646023
1980,198.01054925822908,99.39414523320056,198.01054925822908,2971.959498037495,2875.552314610726,14149.74772160866,2089.050939597262
1981,495.804718714626,1389.8235629870917,495.804718714626,13854.1855281669,12079.325225944474,16922.634837546473,4851.080843212299
1982,99.00527462911454,198.9173089830427,99.00527462911454,295.7099396218019,5050.539601945866,15924.187772246976,2216.4722953771843
1983,993.6794804498442,99.52316374984214,993.6794804498442,992.639175240983,3474.76192713237,15534.180344976545,2268.456768338971
1984,694.7232372082223,298.5691880847099,694.7232372082223,1988.2527073837664,3865.993929528001,12868.41594071137,2100.7041296469333
1985,1589.1375909415076,99.52316374984214,1589.1375909415076,8615.010091051041,4660.451981199855,15047.585936396365,3259.3879533422223
1986,0.0,99.52316374984214,0.0,2777.8218233102352,5160.949563207944,16532.824442893856,2486.9688484411404
1987,1190.1393873017748,99.52316374984214,1190.1393873017748,1491.0348384211363,7438.150147994948,15939.086417349095,2774.5648107997213
1988,1687.4968670346898,1388.3919732999605,1687.4968670346898,6146.230727149915,10305.496927164742,17715.858966761916,4200.61961418421
1989,2580.4886877768804,396.14468847386746,2580.4886877768804,4057.504144110717,12280.499174217495,18404.02356038007,4138.97524881795
1990,396.28094981511134,398.221067186377,396.28094981511134,2376.4979550316007,4850.038178610117,11759.313156873017,2156.930600814869
1991,494.8955431312314,1092.2931701952566,494.8955431312314,3965.749164248842,8610.08715309142,15843.537729216345,3407.5217072192586
1992,1986.3243933487477,99.52316374984214,1887.189193070306,4960.45534177694,3771.119684690428,18203.48856357523,3190.11335193536
1993,1092.684755078959,99.52316374984214,1092.684755078959,6632.106338308256,8719.86913905251,16326.203548114563,3475.744590934724
1994,1190.5279559228482,398.221067186377,1190.5279559228482,11382.500648607487,6837.490861099212,16425.26195142512,3891.477969137041
1995,395.6283096676473,99.52316374984214,395.6283096676473,4755.181099102825,2578.2760445679587,13857.581772302128,2277.4842949289223
1996,198.9173089830427,398.221067186377,198.9173089830427,1577.11115279866,11985.679978809998,16033.140417159671,3138.630848792033
1997,198.14047490755567,298.5691880847099,198.14047490755567,9206.400361416694,9007.521441425766,16827.784494179927,3653.053574136216
1998,2775.627639521048,397.1828778301223,2775.627639521048,4555.408463244484,9393.31450507436,20063.28976252001,4331.96419760642
1999,790.9877483036375,596.3615420939327,790.9877483036375,4733.015329687972,7911.929076299488,17900.658842101908,3480.1755161005785
2000,395.6301156162272,1489.859171921178,395.6301156162272,2182.242865228835,6045.518326225102,18101.450971899318,3446.1455222394834
2001,1091.133508311779,1490.5133278881076,1091.133508311779,1576.7954844520498,9899.059228067052,16917.669367079776,3712.342341000293
2002,5449.528145753722,1582.2633587561345,4952.559537806699,18823.10592419069,17503.863745317765,27353.3006327453,8177.990727535876
2003,4651.763213794195,1088.5165950098628,4651.763213794195,8104.539241082688,11861.045831917914,20553.48178371606,5586.052467222003
2004,4652.416771356156,1385.53211730997,4652.416771356156,10781.376180391244,16606.58907403285,20554.175698839997,6298.932042792261
2005,7531.071267677239,1388.1342394314938,7332.671847814924,6139.179302898947,16219.033835941442,21719.381607615163,6558.34455960191
2006,4651.887510335409,5859.287434385022,4651.887510335409,9599.536516716378,15625.584037260567,18775.90939808111,7197.847206077155
2007,1879.1028351297864,990.8153971109324,1879.1028351297864,9600.25069859491,4947.995809731008,21424.843894236958,4438.510549125842
2008,2773.1563442421493,398.221067186377,2773.1563442421493,4368.634829692836,7422.486375379422,23264.481819101064,4298.605689637249
2009,3169.304657290844,1189.4716440974555,3169.304657290844,12271.592873783133,17503.974421364062,22323.14285217013,6388.772115015548
2010,3867.661502516316,4860.287398870318,3867.661502516316,15043.576476729802,16127.922753954628,19780.437704319484,7782.539335835963
2011,4353.937128577711,1484.796938877315,4353.937128577711,8700.690010752514,10379.341836984511,14529.531090840312,4845.515490111454
2012,1686.7136933306836,1783.2425429274558,1686.7136933306836,7612.91181995401,11074.175901403592,18131.881303939987,4772.190647843865
2013,1390.478319385683,1093.0727169746206,1390.478319385683,12973.100344798591,13548.269027781756,16821.109850749148,5039.50387710653
2014,2877.62115959547,198.9173089830427,2877.62115959547,1579.6743379576328,6045.602728521295,17803.752553038874,3336.47052149456
2015,4350.856625124953,198.26768271528883,4350.856625124953,3449.9550103121787,6338.211086854259,21425.675406761293,4130.017378676597
2016,5449.392772192703,2976.494997093654,5449.392772192703,18404.8864802483,14652.485957796389,19378.748591703257,7315.217673236705
2017,6040.704159310633,2481.5973321888373,5942.221599179657,5741.55662377622,14949.918961280848,21433.153056350813,6293.866289104155
2018,9113.938076595134,3374.318740954224,8715.974743277224,15916.682480491396,18889.99821217525,22223.698875108406,8637.397047298053
