crop,metric,tau,p,slope,significant,trend
Winter Barley,mean_suit,0.524,0.0,0.001442,True,increasing
Winter Barley,area_ge2_km2,0.505,0.0,119.402873,True,increasing
Spring Barley,mean_suit,0.468,0.0,0.000435,True,increasing
Spring Barley,area_ge2_km2,0.467,0.0,44.553678,True,increasing
Winter Wheat,mean_suit,0.526,0.0,0.001432,True,increasing
Winter Wheat,area_ge2_km2,0.508,0.0,117.621443,True,increasing
Spring Wheat,mean_suit,0.464,0.0,0.000436,True,increasing
Spring Wheat,area_ge2_km2,0.449,0.0,42.5788,True,increasing
Silage Maize,mean_suit,0.521,0.0,0.00043,True,increasing
Silage Maize,area_ge2_km2,0.519,0.0,37.478875,True,increasing
White Potato,mean_suit,0.314,0.0045,0.001375,True,increasing
White Potato,area_ge2_km2,0.313,0.0046,198.168664,True,increasing
Oat,mean_suit,0.424,0.0001,0.003427,True,increasing
Oat,area_ge2_km2,0.436,0.0001,271.728973,True,increasing
Dry Pea,mean_suit,0.488,0.0,0.000415,True,increasing
Dry Pea,area_ge2_km2,0.488,0.0,42.36816,True,increasing
Winter Rape,mean_suit,0.369,0.0007,0.000143,True,increasing
Winter Rape,area_ge2_km2,0.367,0.0007,12.869498,True,increasing
Spring Rape,mean_suit,0.517,0.0,0.002913,True,increasing
Spring Rape,area_ge2_km2,0.49,0.0,164.291584,True,increasing
OVERALL,mean_suit,0.579,0.0,0.001204,True,increasing
OVERALL,area_ge2_km2,0.544,0.0,99.142776,True,increasing
