crop,n,n_pos,n_neg,mean_fc2,mean_lgp,mean_fc4,r_fc2,p_fc2,R2_fc2,beta_fc2,r_lgp,p_lgp,R2_lgp,beta_lgp,r_fc4,p_fc4,R2_fc4,beta_fc4,mean_fc2_pos,mean_fc2_neg,mean_lgp_pos,mean_lgp_neg,mean_fc4_pos,mean_fc4_neg,n_pf_lost_permafrost,n_pf_agree,n_pf_gained_permafrost,mean_suit_lost_permafrost,mean_suit_agree,mean_suit_gained_permafrost,pf_kruskal_H,pf_kruskal_p,pf_mw_p
OVERALL,1746,213,222,-0.007619231698611933,-3.624856815578465,-0.011273424192182378,0.4181,0.0,0.5986,0.4143,-0.1007,0.0,0.6064,0.4189,0.2165,0.0,0.0463,0.1281,0.0097,-0.0564,-4.4737,-11.2324,-0.007,-0.0138,,,,,,,,,
combined_winter_barley,1746,47,108,-0.018884680713379835,-3.624856815578465,-0.02455638151590255,0.4456,0.0,0.5255,0.2012,0.2447,0.0,0.6448,0.6215,0.0822,0.0006,0.0347,0.1061,-0.0079,-0.1959,-4.8271,-26.4287,-0.0077,-0.0244,131.0,1595.0,20.0,-0.0008,-0.0278,0.0,1.0835,0.5817,0.3797
combined_spring_barley,1746,17,52,0.00028209537360718214,-3.624856815578465,-0.02455638151590255,0.2232,0.0,0.1221,0.1331,0.1126,0.0,0.4075,0.5803,0.1488,0.0,0.028,0.0848,0.0239,-0.0273,-9.9926,-40.4096,0.0,-0.0371,131.0,1595.0,20.0,0.0,-0.0064,0.0,1.748,0.4173,0.2182
combined_winter_wheat,1746,34,117,-0.024881273974418992,-3.624856815578465,-0.02449342272514296,0.5148,0.0,0.519,0.189,0.2986,0.0,0.6612,0.6457,0.0419,0.0803,0.0322,0.0999,-0.0237,-0.2232,-3.2426,-25.0214,-0.0081,-0.0229,131.0,1595.0,20.0,-0.0008,-0.0345,0.0,2.6296,0.2685,0.154
combined_spring_wheat,1746,12,50,0.0001536623090876197,-3.624856815578465,-0.02449342272514296,0.2044,0.0,0.1207,0.161,0.1322,0.0,0.3112,0.4898,0.1262,0.0,0.0221,0.0747,0.0219,-0.0269,-10.35,-41.5065,0.0,-0.0353,131.0,1595.0,20.0,0.0,-0.005,0.0,2.2838,0.3192,0.1592
combined_silage_maize,1746,39,27,0.004221336756518484,-3.624856815578465,-0.002452865507392872,0.3228,0.0,0.1286,0.332,-0.0536,0.0251,0.0331,0.1139,0.1532,0.0,0.0208,0.1068,0.0453,-0.0298,-5.4564,-28.8324,-0.0007,-0.0037,131.0,1595.0,20.0,0.0,0.0015,0.0,0.2144,0.8983,0.6664
combined_white_potato,1746,196,91,0.011002860709444492,-3.624856815578465,-0.0024101273628764647,0.5108,0.0,0.4018,0.4509,-0.1312,0.0,0.3368,0.3476,0.2126,0.0,0.0435,0.1065,0.1483,-0.2766,-5.5816,-24.3451,-0.0019,-0.0037,131.0,1595.0,20.0,0.021,-0.0035,-0.0125,14.531,0.0007,0.0003
combined_oat,1746,117,147,-0.023254884461331407,-3.624856815578465,-0.002449341039925404,0.4019,0.0,0.6924,0.7359,0.0192,0.4231,0.5796,0.0939,0.172,0.0,0.0462,0.1299,-0.0093,-0.1894,-5.7697,-17.7352,-0.0012,-0.003,131.0,1595.0,20.0,-0.0031,-0.0315,-0.035,2.7761,0.2496,0.5282
combined_dry_pea,1746,30,30,0.0018399357173045994,-3.624856815578465,-0.0024362115757774567,0.4042,0.0,0.1517,0.3206,-0.059,0.0136,0.1166,0.2561,0.1165,0.0,0.018,0.0682,0.0443,-0.0267,-10.1292,-36.7858,-0.0011,-0.0036,131.0,1595.0,20.0,0.0,-0.0002,0.0,0.0,1.0,1.0
combined_winter_rape,1746,15,73,-0.00694548094562337,-3.624856815578465,-0.0024430439768802856,0.6751,0.0,0.2038,0.2973,0.2611,0.0,0.2795,0.4101,0.0119,0.6182,0.0038,0.0368,0.0176,-0.0982,-4.1917,-33.375,-0.0011,-0.0025,131.0,1595.0,20.0,0.0,-0.0109,0.0,3.8055,0.1492,0.0692
combined_spring_rape,1746,223,165,-0.019725887757328097,-3.624856815578465,-0.0024430439768802856,0.534,0.0,0.5004,0.4692,-0.1783,0.0,0.4499,0.3415,0.1471,0.0,0.0433,0.1301,0.0442,-0.2146,-5.2776,-13.5932,-0.002,-0.0029,131.0,1595.0,20.0,0.0824,-0.0265,-0.1675,23.8202,0.0,0.0
