crop,n,n_pos,n_neg,mean_fc2,mean_lgp,r_fc2,p_fc2,R2_fc2,beta_fc2,r_lgp,p_lgp,R2_lgp,beta_lgp,mean_fc2_pos,mean_fc2_neg,mean_lgp_pos,mean_lgp_neg,n_pf_lost_permafrost,n_pf_agree,n_pf_gained_permafrost,mean_suit_lost_permafrost,mean_suit_agree,mean_suit_gained_permafrost,pf_kruskal_H,pf_kruskal_p,pf_mw_p
OVERALL,1746,244,125,0.011773547364349763,9.07594501718213,0.6277,0.0,0.3342,0.5712,0.3314,0.0,0.0295,0.0271,0.0465,-0.0182,17.3926,-2.146,,,,,,,,,
combined_winter_barley,1746,85,36,0.0022907453611544317,9.07594501718213,0.437,0.0,0.3086,0.5641,0.0624,0.0091,0.0005,-0.0597,0.0838,-0.1331,5.2753,-2.4611,33.0,1713.0,0.0,0.003,0.0067,,0.0006,0.9801,0.9804
combined_spring_barley,1746,31,12,0.0035223367697594502,9.07594501718213,0.7222,0.0,0.5081,0.7135,0.1191,0.0,0.0064,-0.0055,0.1145,-0.0708,12.6032,-7.2708,33.0,1713.0,0.0,0.0,0.0023,,0.1657,0.684,0.6845
combined_winter_wheat,1746,81,35,0.002277864539677881,9.07594501718213,0.4377,0.0,0.3069,0.5627,0.0583,0.0148,0.0004,-0.0603,0.0824,-0.1385,4.7401,-2.8514,33.0,1713.0,0.0,0.003,0.0065,,0.0044,0.9472,0.9475
combined_spring_wheat,1746,28,11,0.0035223367697594502,9.07594501718213,0.6864,0.0,0.4903,0.7021,0.1184,0.0,0.0047,-0.0155,0.1179,-0.0727,12.6107,-8.1773,33.0,1713.0,0.0,0.0,0.0025,,0.1459,0.7025,0.703
combined_silage_maize,1746,42,8,0.005589884543473505,9.07594501718213,0.4249,0.0,0.318,0.5654,0.154,0.0,0.0144,-0.0067,0.1007,-0.0686,16.4393,-6.925,33.0,1713.0,0.0,0.0,0.004,,0.4581,0.4985,0.4989
combined_white_potato,1746,126,50,0.035426170077657096,9.07594501718213,0.4305,0.0,0.2355,0.4759,0.1925,0.0,0.0206,0.0452,0.2057,-0.0359,18.7373,-0.848,33.0,1713.0,0.0,0.153,0.0047,,47.9457,0.0,0.0
combined_oat,1746,108,40,0.027489215226893026,9.07594501718213,0.5073,0.0,0.2701,0.5201,0.0906,0.0001,0.0,-0.0115,0.1659,-0.0258,7.2477,-2.6325,33.0,1713.0,0.0,0.2697,0.0105,,56.681,0.0,0.0
combined_dry_pea,1746,23,8,0.0032359679266895764,9.07594501718213,0.6555,0.0,0.4389,0.6644,0.1254,0.0,0.0055,-0.0145,0.1217,-0.0875,14.887,-8.5875,33.0,1713.0,0.0,0.0,0.002,,0.1423,0.7061,0.7066
combined_winter_rape,1746,15,42,-0.002122388795479056,9.07594501718213,0.5797,0.0,0.263,0.5107,0.0797,0.0009,0.0065,0.0177,0.0431,-0.094,6.59,1.2988,33.0,1713.0,0.0,0.0,-0.0028,,0.2545,0.614,0.6143
combined_spring_rape,1746,169,83,0.03650334122391227,9.07594501718213,0.6653,0.0,0.3798,0.5983,0.3118,0.0,0.0517,0.067,0.2059,-0.0717,22.3728,-1.1253,33.0,1713.0,0.0,0.6712,0.0194,,34.9664,0.0,0.0
