year,obs_mean_suit,cf_mean_suit,obs_area_km2,cf_area_km2
1979,1.0281786941580755,1.0281786941580755,2510.3786378646023,2510.3786378646023
1980,1.0238258877434134,1.0238258877434134,2089.0509395972626,2089.0509395972626
1981,1.0529209621993125,1.0529209621993125,4851.080843212299,4851.080843212299
1982,1.0254868270332187,1.0254868270332187,2216.4722953771843,2216.4722953771843
1983,1.0245131729667811,1.0245131729667811,2268.456768338971,2268.456768338971
1984,1.022737686139748,1.022737686139748,2100.7041296469333,2100.7041296469333
1985,1.0341924398625428,1.0341924398625428,3259.3879533422228,3259.3879533422228
1986,1.026975945017182,1.026975945017182,2486.9688484411404,2486.9688484411404
1987,1.031729667812142,1.031729667812142,2774.5648107997213,2774.5648107997213
1988,1.0467353951890033,1.0467353951890033,4200.61961418421,4200.61961418421
1989,1.0424971363115692,1.0424971363115692,4138.97524881795,4138.97524881795
1990,1.0251431844215348,1.0251431844215348,2156.9306008148696,2156.9306008148696
1991,1.0432416953035508,1.0432416953035508,3407.521707219258,3407.521707219258
1992,1.033676975945017,1.033676975945017,3190.11335193536,3190.11335193536
1993,1.036254295532646,1.036254295532646,3475.744590934724,3475.744590934724
1994,1.0440435280641465,1.0440435280641465,3891.477969137041,3891.477969137041
1995,1.0254295532646047,1.0254295532646047,2277.4842949289223,2277.4842949289223
1996,1.0375715922107673,1.0375715922107673,3138.6308487920332,3138.6308487920332
1997,1.0415807560137456,1.0415807560137456,3653.053574136216,3653.053574136216
1998,1.0532646048109966,1.0532646048109966,4331.96419760642,4331.96419760642
1999,1.038258877434135,1.0448453608247423,3480.1755161005794,4056.6210411878956
2000,1.0455899198167238,1.03659793814433,3446.1455222394843,2872.198810807956
2001,1.0467926689576175,1.0588774341351659,3712.342341000293,4810.874688717393
2002,1.095589919816724,1.061454753722795,8177.990727535876,5183.413812863202
2003,1.063230240549828,1.054810996563574,5586.052467222003,4790.5021314532405
2004,1.0710767468499427,1.0469644902634592,6298.932042792262,4039.749981921993
2005,1.076918671248568,1.063860252004582,6558.34455960191,5428.713443966233
2006,1.083906071019473,1.0839633447880872,7197.847206077155,7181.471098570002
2007,1.052233676975945,1.0533791523482243,4438.510549125842,4407.160463404318
2008,1.0513745704467354,1.060710194730813,4298.605689637249,5122.105646146815
2009,1.0710194730813285,1.0742840778923253,6388.772115015548,6673.729633962343
2010,1.091237113402062,1.0639747995418098,7782.539335835963,5319.259892416061
2011,1.0550400916380296,1.042668957617411,4845.515490111454,3672.3495825349987
2012,1.0514318442153492,1.047479954180985,4772.190647843864,4414.289385198043
2013,1.0593928980526919,1.0576746849942726,5039.50387710653,5178.816745949259
2014,1.0416380297823598,1.0394616265750287,3336.4705214945598,3307.3386755654346
2015,1.0497709049255441,1.0424398625429554,4130.017378676596,3476.0909316564866
2016,1.092840778923253,1.0866552119129438,7315.217673236705,6933.1037941509785
2017,1.0727376861397482,1.0604238258877434,6293.866289104155,5151.230555596134
2018,1.100057273768614,1.0816723940435282,8637.397047298053,6881.091337819993
