crop,median_delta,pct_years_positive,wilcoxon_stat,p_two_sided,p_greater_zero,p_less_zero,sig_positive,sig_negative,n_years
Winter barley,0.002864,55.0,68.0,0.277,0.1385,0.8615,False,False,20
Spring barley,0.001432,55.0,26.5,0.1025,0.0512,0.9488,False,False,20
Winter wheat,0.002864,55.0,68.0,0.277,0.1385,0.8615,False,False,20
Spring wheat,0.001145,55.0,28.0,0.0689,0.0345,0.9655,True,False,20
Silage maize,0.00315,65.0,17.5,0.0156,0.0078,0.9922,True,False,20
White potato,0.005727,70.0,41.0,0.0168,0.0084,0.9916,True,False,20
Spring oat,0.013459,65.0,66.0,0.1453,0.0726,0.9274,False,False,20
Dry pea,0.001432,60.0,39.5,0.1404,0.0702,0.9298,False,False,20
Winter rapeseed,-0.001145,35.0,68.5,0.4585,0.7708,0.2292,False,False,20
Spring rapeseed,0.039805,90.0,23.0,0.0012,0.0006,0.9995,True,False,20
