year,crop,mean_delta,pct_positive,pct_negative
1999,Winter Barley,-0.000572737686139748,0.1718213058419244,0.1718213058419244
2000,Winter Barley,0.000572737686139748,0.11454753722794961,0.1718213058419244
2001,Winter Barley,-0.010309278350515464,0.1718213058419244,0.572737686139748
2002,Winter Barley,0.056128293241695305,2.5773195876288657,0.057273768613974804
2003,Winter Barley,0.005154639175257732,1.0309278350515463,0.7445589919816723
2004,Winter Barley,0.021764032073310423,1.43184421534937,0.057273768613974804
2005,Winter Barley,0.009736540664375716,0.9163802978235969,0.3436426116838488
2006,Winter Barley,-0.006872852233676976,0.6300114547537228,0.8018327605956471
2007,Winter Barley,-0.016609392898052692,0.22909507445589922,0.9163802978235969
2008,Winter Barley,-0.04982817869415808,0.0,2.348224513172967
2009,Winter Barley,-0.03608247422680412,0.11454753722794961,1.718213058419244
2010,Winter Barley,0.0286368843069874,1.202749140893471,0.057273768613974804
2011,Winter Barley,0.020618556701030927,1.202749140893471,0.1718213058419244
2012,Winter Barley,-0.000572737686139748,0.22909507445589922,0.286368843069874
2013,Winter Barley,0.0,0.0,0.0
2014,Winter Barley,0.011454753722794959,0.45819014891179843,0.1718213058419244
2015,Winter Barley,0.02004581901489118,1.6609392898052693,0.859106529209622
2016,Winter Barley,-0.017754868270332187,0.572737686139748,1.2600229095074456
2017,Winter Barley,0.018900343642611683,1.202749140893471,0.286368843069874
2018,Winter Barley,0.07731958762886598,3.8946162657502863,0.9163802978235969
1999,Spring Barley,0.0,0.0,0.0
2000,Spring Barley,0.005154639175257732,0.286368843069874,0.0
2001,Spring Barley,-0.010882016036655211,0.0,0.572737686139748
2002,Spring Barley,0.006300114547537228,0.286368843069874,0.0
2003,Spring Barley,0.0074455899198167235,0.3436426116838488,0.0
2004,Spring Barley,0.009163802978235968,0.45819014891179843,0.0
2005,Spring Barley,0.004009163802978236,0.22909507445589922,0.0
2006,Spring Barley,-0.008018327605956471,0.0,0.40091638029782356
2007,Spring Barley,0.001718213058419244,0.1718213058419244,0.057273768613974804
2008,Spring Barley,0.0,0.0,0.0
2009,Spring Barley,0.0,0.0,0.0
2010,Spring Barley,0.009163802978235968,1.4891179839633446,0.6300114547537228
2011,Spring Barley,0.010882016036655211,0.5154639175257731,0.0
2012,Spring Barley,0.0,0.0,0.0
2013,Spring Barley,0.001145475372279496,0.11454753722794961,0.0
2014,Spring Barley,0.0,0.0,0.0
2015,Spring Barley,0.0,0.057273768613974804,0.057273768613974804
2016,Spring Barley,0.010309278350515464,0.40091638029782356,0.0
2017,Spring Barley,0.002290950744558992,0.22909507445589922,0.057273768613974804
2018,Spring Barley,-0.003436426116838488,0.40091638029782356,0.286368843069874
1999,Winter Wheat,-0.000572737686139748,0.1718213058419244,0.1718213058419244
2000,Winter Wheat,0.000572737686139748,0.11454753722794961,0.1718213058419244
2001,Winter Wheat,-0.010309278350515464,0.1718213058419244,0.572737686139748
2002,Winter Wheat,0.053837342497136315,2.348224513172967,0.057273768613974804
2003,Winter Wheat,0.005154639175257732,1.0309278350515463,0.7445589919816723
2004,Winter Wheat,0.021764032073310423,1.43184421534937,0.057273768613974804
2005,Winter Wheat,0.009163802978235968,0.8018327605956471,0.286368843069874
2006,Winter Wheat,-0.006872852233676976,0.6300114547537228,0.8018327605956471
2007,Winter Wheat,-0.016036655211912942,0.22909507445589922,0.9163802978235969
2008,Winter Wheat,-0.04982817869415808,0.0,2.348224513172967
2009,Winter Wheat,-0.033218785796105384,0.11454753722794961,1.43184421534937
2010,Winter Wheat,0.0286368843069874,1.202749140893471,0.057273768613974804
2011,Winter Wheat,0.020618556701030927,1.202749140893471,0.1718213058419244
2012,Winter Wheat,-0.000572737686139748,0.22909507445589922,0.286368843069874
2013,Winter Wheat,0.0,0.0,0.0
2014,Winter Wheat,0.011454753722794959,0.45819014891179843,0.1718213058419244
2015,Winter Wheat,0.019473081328751432,1.6609392898052693,0.859106529209622
2016,Winter Wheat,-0.01718213058419244,0.572737686139748,1.202749140893471
2017,Winter Wheat,0.018900343642611683,1.202749140893471,0.286368843069874
2018,Winter Wheat,0.072737686139748,3.608247422680412,0.9163802978235969
1999,Spring Wheat,0.0,0.0,0.0
2000,Spring Wheat,0.005154639175257732,0.286368843069874,0.0
2001,Spring Wheat,-0.010309278350515464,0.0,0.5154639175257731
2002,Spring Wheat,0.006300114547537228,0.286368843069874,0.0
2003,Spring Wheat,0.008018327605956471,0.3436426116838488,0.0
2004,Spring Wheat,0.00859106529209622,0.45819014891179843,0.0
2005,Spring Wheat,0.004009163802978236,0.22909507445589922,0.0
2006,Spring Wheat,-0.006300114547537228,0.0,0.3436426116838488
2007,Spring Wheat,0.001145475372279496,0.1718213058419244,0.057273768613974804
2008,Spring Wheat,0.0,0.0,0.0
2009,Spring Wheat,0.0,0.0,0.0
2010,Spring Wheat,0.012027491408934709,1.3172966781214204,0.6300114547537228
2011,Spring Wheat,0.012027491408934709,0.5154639175257731,0.0
2012,Spring Wheat,0.0,0.0,0.0
2013,Spring Wheat,0.001145475372279496,0.11454753722794961,0.0
2014,Spring Wheat,0.0,0.0,0.0
2015,Spring Wheat,-0.000572737686139748,0.0,0.057273768613974804
2016,Spring Wheat,0.009736540664375716,0.3436426116838488,0.0
2017,Spring Wheat,0.002290950744558992,0.22909507445589922,0.057273768613974804
2018,Spring Wheat,-0.004009163802978236,0.3436426116838488,0.286368843069874
1999,Silage Maize,0.004009163802978236,0.11454753722794961,0.057273768613974804
2000,Silage Maize,0.009163802978235968,0.40091638029782356,0.0
2001,Silage Maize,0.0,0.0,0.0
2002,Silage Maize,0.023482245131729668,0.8018327605956471,0.0
2003,Silage Maize,0.003436426116838488,0.1718213058419244,0.0
2004,Silage Maize,0.006872852233676976,0.3436426116838488,0.0
2005,Silage Maize,0.002290950744558992,0.11454753722794961,0.0
2006,Silage Maize,-0.009163802978235968,0.0,0.45819014891179843
2007,Silage Maize,0.0057273768613974796,0.286368843069874,0.0
2008,Silage Maize,0.0,0.0,0.0
2009,Silage Maize,0.0,0.0,0.0
2010,Silage Maize,0.018900343642611683,1.7754868270332187,0.40091638029782356
2011,Silage Maize,0.005154639175257732,0.286368843069874,0.0
2012,Silage Maize,0.0,0.0,0.0
