analysis,crop,perm_var,metric,spearman_r,p_value,significant,n_pixels,n_years
spatial,Winter Barley,ALT,mean,0.0679,0.0397,True,918.0,
spatial,Spring Barley,ALT,mean,-0.048,0.1463,False,918.0,
spatial,Winter Wheat,ALT,mean,0.0679,0.0397,True,918.0,
spatial,Spring Wheat,ALT,mean,-0.048,0.1463,False,918.0,
spatial,Silage Maize,ALT,mean,,,False,918.0,
spatial,White Potato,ALT,mean,0.2446,0.0,True,918.0,
spatial,Oat,ALT,mean,0.1075,0.0011,True,918.0,
spatial,Dry Pea,ALT,mean,,,False,918.0,
spatial,Winter Rape,ALT,mean,,,False,918.0,
spatial,Spring Rape,ALT,mean,0.2395,0.0,True,918.0,
spatial,OVERALL,ALT,mean,0.2516,0.0,True,918.0,
spatial,Winter Barley,ALT,change,-0.0003,0.9933,False,918.0,
spatial,Spring Barley,ALT,change,0.0002,0.9952,False,918.0,
spatial,Winter Wheat,ALT,change,-0.0003,0.9933,False,918.0,
spatial,Spring Wheat,ALT,change,0.0002,0.9952,False,918.0,
spatial,Silage Maize,ALT,change,,,False,918.0,
spatial,White Potato,ALT,change,-0.012,0.7157,False,918.0,
spatial,Oat,ALT,change,0.0434,0.1893,False,918.0,
spatial,Dry Pea,ALT,change,,,False,918.0,
spatial,Winter Rape,ALT,change,,,False,918.0,
spatial,Spring Rape,ALT,change,-0.0801,0.0152,True,918.0,
spatial,OVERALL,ALT,change,-0.0799,0.0154,True,918.0,
spatial,Winter Barley,soil_moisture,mean,0.0797,0.0157,True,918.0,
spatial,Spring Barley,soil_moisture,mean,-0.0561,0.0891,False,918.0,
spatial,Winter Wheat,soil_moisture,mean,0.0797,0.0157,True,918.0,
spatial,Spring Wheat,soil_moisture,mean,-0.0561,0.0891,False,918.0,
spatial,Silage Maize,soil_moisture,mean,,,False,918.0,
spatial,White Potato,soil_moisture,mean,0.208,0.0,True,918.0,
spatial,Oat,soil_moisture,mean,0.0995,0.0025,True,918.0,
spatial,Dry Pea,soil_moisture,mean,,,False,918.0,
spatial,Winter Rape,soil_moisture,mean,,,False,918.0,
spatial,Spring Rape,soil_moisture,mean,0.1934,0.0,True,918.0,
spatial,OVERALL,soil_moisture,mean,0.2075,0.0,True,918.0,
spatial,Winter Barley,soil_moisture,change,0.0775,0.0189,True,918.0,
spatial,Spring Barley,soil_moisture,change,-0.0525,0.1118,False,918.0,
spatial,Winter Wheat,soil_moisture,change,0.0775,0.0189,True,918.0,
spatial,Spring Wheat,soil_moisture,change,-0.0525,0.1118,False,918.0,
spatial,Silage Maize,soil_moisture,change,,,False,918.0,
spatial,White Potato,soil_moisture,change,0.17,0.0,True,918.0,
spatial,Oat,soil_moisture,change,0.1013,0.0021,True,918.0,
spatial,Dry Pea,soil_moisture,change,,,False,918.0,
spatial,Winter Rape,soil_moisture,change,,,False,918.0,
spatial,Spring Rape,soil_moisture,change,0.1129,0.0006,True,918.0,
spatial,OVERALL,soil_moisture,change,0.1264,0.0001,True,918.0,
temporal,Winter Barley,ALT,annual_mean,-0.1414,0.5521,False,,20.0
temporal,Spring Barley,ALT,annual_mean,-0.2167,0.3588,False,,20.0
temporal,Winter Wheat,ALT,annual_mean,-0.1414,0.5521,False,,20.0
temporal,Spring Wheat,ALT,annual_mean,-0.2274,0.335,False,,20.0
temporal,Silage Maize,ALT,annual_mean,,,False,,20.0
temporal,White Potato,ALT,annual_mean,-0.381,0.0974,False,,20.0
temporal,Oat,ALT,annual_mean,-0.5434,0.0133,True,,20.0
temporal,Dry Pea,ALT,annual_mean,,,False,,20.0
temporal,Winter Rape,ALT,annual_mean,,,False,,20.0
temporal,Spring Rape,ALT,annual_mean,-0.5455,0.0129,True,,20.0
temporal,OVERALL,ALT,annual_mean,-0.6165,0.0038,True,,20.0
temporal,Winter Barley,soil_moisture,annual_mean,-0.1038,0.6631,False,,20.0
temporal,Spring Barley,soil_moisture,annual_mean,-0.1864,0.4313,False,,20.0
temporal,Winter Wheat,soil_moisture,annual_mean,-0.1038,0.6631,False,,20.0
temporal,Spring Wheat,soil_moisture,annual_mean,-0.1911,0.4196,False,,20.0
temporal,Silage Maize,soil_moisture,annual_mean,,,False,,20.0
temporal,White Potato,soil_moisture,annual_mean,-0.0342,0.8861,False,,20.0
temporal,Oat,soil_moisture,annual_mean,-0.496,0.0261,True,,20.0
temporal,Dry Pea,soil_moisture,annual_mean,,,False,,20.0
temporal,Winter Rape,soil_moisture,annual_mean,,,False,,20.0
temporal,Spring Rape,soil_moisture,annual_mean,-0.0835,0.7263,False,,20.0
temporal,OVERALL,soil_moisture,annual_mean,-0.2256,0.339,False,,20.0
