Crop,N pixels,N pos ΔSuit,N neg ΔSuit,Mean ΔLGP,Mean Δfc2,ΔLGP r (vs ΔSuit),ΔLGP p (vs ΔSuit),Δfc2 r (vs ΔSuit),Δfc2 p (vs ΔSuit),R² (ΔLGP),R² (Δfc2),R² (OLS both),Beta ΔLGP (std),Beta Δfc2 (std),Mean Precip pos,Mean Precip neg,Mean Δfc2 pos,Mean Δfc2 neg
Winter Barley,1746,85,36,9.076,0.0023,0.0625,0.009,0.4368,0.0,0.0005,0.3086,0.3121,-0.0597,0.5641,386.8,431.7,0.0838,-0.1331
Spring Barley,1746,31,12,9.076,0.0035,0.119,0.0,0.7217,0.0,0.0064,0.5081,0.5081,-0.0055,0.7135,316.3,356.4,0.1145,-0.0708
Winter Wheat,1746,81,35,9.076,0.0023,0.0584,0.0147,0.4375,0.0,0.0004,0.3069,0.3105,-0.0603,0.5627,392.0,435.7,0.0824,-0.1385
Spring Wheat,1746,28,11,9.076,0.0035,0.1183,0.0,0.6859,0.0,0.0047,0.4903,0.4905,-0.0155,0.7021,315.2,355.9,0.1179,-0.0727
Silage Maize,1746,42,8,9.076,0.0056,0.154,0.0,0.425,0.0,0.0144,0.318,0.318,-0.0067,0.5654,186.2,354.4,0.1007,-0.0686
White Potato,1746,126,50,9.076,0.0354,0.1925,0.0,0.4305,0.0,0.0206,0.2355,0.2374,0.0452,0.4759,319.8,401.9,0.2057,-0.0359
Oat,1746,108,40,9.076,0.0222,0.0906,0.0002,0.6341,0.0,0.0,0.2984,0.2996,-0.034,0.5488,372.4,421.4,0.1499,-0.0619
Dry Pea,1746,23,8,9.076,0.0032,0.1253,0.0,0.6558,0.0,0.0055,0.4389,0.4391,-0.0145,0.6644,309.5,342.5,0.1217,-0.0875
Winter Rape,1746,15,42,9.076,-0.0021,0.0798,0.0008,0.5799,0.0,0.0065,0.263,0.2633,0.0177,0.5107,405.0,404.5,0.0431,-0.094
Spring Rape,1746,169,83,9.076,0.0365,0.3119,0.0,0.6643,0.0,0.0517,0.3798,0.3839,0.067,0.5983,293.5,422.7,0.2059,-0.0717
