delta_suit,delta_lgp,delta_fc2,mean_precip
0.0,14.5,0.0,113.48962669372558
0.0,9.4,0.0,116.1292510986328
0.0,58.55,0.0,189.25837326049805
0.0,39.65,0.0,190.77787818908692
0.0,28.75,0.0,176.45512580871582
0.0,27.1,0.0,159.61462440490723
0.0,20.1,0.0,160.60124664306642
0.0,22.75,0.0,162.86662330627442
0.0,19.35,0.0,165.159375
0.0,16.5,0.0,119.72250022888184
0.0,13.5,0.0,123.7275001525879
0.0,15.2,0.0,127.10775146484374
0.0,13.5,0.0,130.18537559509278
0.0,16.0,0.0,133.11299781799318
0.0,20.1,0.0,133.68262329101563
0.0,20.65,0.0,134.4067527770996
0.0,21.45,0.0,137.90287284851075
0.0,24.2,0.0,142.44337577819823
0.0,35.0,0.0,154.74750061035155
0.0,34.85,0.0,179.9171241760254
0.0,37.55,0.0,206.3996196746826
0.0,46.05,0.0,221.9801254272461
0.0,52.0,0.0,234.84187850952148
0.0,48.9,0.0,237.90862312316895
0.0,45.6,0.0,210.1683708190918
0.0,6.5,0.0,183.30112495422364
0.0,22.05,0.0,174.95737571716307
0.0,23.4,0.0,175.8858757019043
0.0,24.75,0.0,180.11849822998047
0.0,17.5,0.0,184.3683723449707
0.0,20.85,0.0,182.51324691772462
0.0,12.2,0.0,178.78612747192383
0.0,27.25,0.0,174.40012474060057
0.0,23.55,0.0,169.13850173950195
0.0,22.25,0.0,164.43412246704102
0.0,23.8,0.0,129.61987533569337
0.0,20.75,0.0,142.7444995880127
0.0,2.1,0.0,144.0539981842041
0.0,11.35,0.0,145.51349945068358
0.0,6.65,0.0,144.60975036621093
0.0,10.55,0.0,143.21587409973145
0.0,3.8,0.0,142.55025100708008
0.0,6.15,0.0,143.1123752593994
0.0,20.8,0.0,143.40937347412108
0.0,18.2,0.0,146.5987506866455
0.0,12.9,0.0,151.91737480163573
0.0,13.4,0.0,164.8169979095459
0.0,11.45,0.0,200.89837493896485
0.0,2.15,0.0,237.19537506103515
0.0,3.65,0.0,261.46986999511716
0.0,12.1,0.0,282.5561264038086
0.0,27.95,0.0,287.01562652587893
0.0,41.55,0.0,243.53325119018555
0.0,41.6,0.0,202.62637481689453
0.0,35.15,0.0,190.52212562561036
0.0,23.95,0.0,188.78325004577636
0.0,2.6,0.0,189.71587142944335
0.0,8.6,0.0,196.3957504272461
0.0,3.1,0.0,203.2308776855469
0.0,16.7,0.0,202.05562591552734
0.0,25.05,0.0,198.42637481689454
0.0,27.55,0.0,193.81312637329103
0.0,19.1,0.0,188.80387496948242
0.0,5.3,0.0,183.53437271118165
0.0,29.9,0.0,192.46649856567382
0.0,36.55,0.0,192.81825332641603
0.0,10.45,0.0,75.21899890899658
0.0,10.9,0.0,79.57799968719482
0.0,13.1,0.0,84.24337539672851
0.0,14.45,0.0,89.59500122070312
0.0,15.35,0.0,95.38574905395508
0.0,15.45,0.0,102.1064992904663
0.0,18.35,0.0,109.47562770843506
0.0,25.25,0.0,129.50774841308595
0.0,33.5,0.0,154.42687492370607
0.0,49.85,0.0,172.7118766784668
0.0,38.05,0.0,171.8186264038086
0.0,34.7,0.0,170.76600189208983
0.0,32.1,0.0,163.94137687683104
0.0,29.05,0.0,155.55900039672852
0.0,26.05,0.0,150.0633758544922
0.0,14.9,0.0,150.71062622070312
0.0,16.05,0.0,151.19512519836425
0.0,17.6,0.0,155.3167495727539
0.0,8.6,0.0,161.70712356567384
0.0,15.25,0.0,176.8320011138916
0.0,21.85,0.0,222.22275466918944
0.0,3.5,0.0,268.2427505493164
0.0,3.75,0.0,301.60912170410154
0.0,0.35,0.0,331.46849594116213
0.0,0.0,0.0,337.6800025939941
0.0,4.0,0.0,279.47249603271484
0.0,24.45,0.0,222.9836280822754
0.0,44.25,0.0,206.56875
0.0,38.9,0.0,203.73674621582032
0.0,36.95,0.0,204.59399795532227
0.0,33.4,0.0,214.33799743652344
0.0,0.75,0.0,224.33962326049806
0.0,3.45,0.0,223.82287521362304
0.0,0.9,0.0,219.84450073242186
0.0,28.55,0.0,215.2458740234375
0.0,11.9,0.0,210.11212615966798
0.0,0.15,0.0,204.8385009765625
0.0,19.9,0.0,226.11149826049805
0.0,42.4,0.0,256.7133735656738
0.0,11.15,0.0,271.35524978637693
0.0,43.9,0.0,240.62512664794923
0.0,41.2,0.0,211.58962173461913
0.0,28.85,0.0,199.8948776245117
0.0,10.25,0.0,79.16212539672851
0.0,12.1,0.0,83.05949840545654
0.0,10.55,0.0,88.2750015258789
0.0,11.9,0.0,94.08824996948242
0.0,12.75,0.0,100.90612335205078
0.0,12.45,0.0,108.0633752822876
0.0,11.85,0.0,116.12662372589111
0.0,25.25,0.0,141.3581241607666
0.0,33.75,0.0,173.42250213623046
0.0,36.6,0.0,197.29912109375
0.0,41.65,0.0,197.48175010681152
0.0,40.0,0.0,197.5548770904541
0.0,18.2,0.0,185.4367504119873
0.0,11.6,0.0,169.87574844360353
0.0,10.8,0.0,158.43599739074708
0.0,28.0,0.0,158.37787475585938
0.0,10.15,0.0,158.92200088500977
0.0,3.4,0.0,163.3139991760254
0.0,12.2,0.0,170.09662590026855
0.0,16.35,0.0,185.66137313842773
0.0,23.85,0.0,233.75774841308595
0.0,28.1,0.0,282.367497253418
0.0,19.95,0.0,320.473876953125
0.0,6.0,0.0,354.15787811279296
0.0,1.1,0.0,364.1640029907227
0.0,1.75,0.0,300.0101264953613
0.0,11.75,0.0,237.5373748779297
0.0,43.3,0.0,220.16962585449218
0.0,10.9,0.0,218.1
0.0,12.75,0.0,219.70200576782227
0.0,7.1,0.0,230.69099884033204
0.0,3.75,0.0,242.13824691772462
0.0,8.05,0.0,242.21475143432616
0.0,1.45,0.0,238.18013076782228
0.0,1.7,0.0,234.27862167358398
0.0,22.45,0.0,229.69537811279298
0.0,8.75,0.0,225.08062591552735
0.0,56.15,0.0,261.2415031433105
0.0,23.15,0.0,311.28037033081057
0.0,20.8,0.0,338.1817512512207
0.0,1.0,0.0,299.76149826049806
0.0,30.65,0.0,263.76524963378904
0.0,29.55,0.0,251.99624938964843
0.0,33.45,0.0,249.5219985961914
0.0,22.6,0.0,242.58750076293944
0.0,24.7,0.0,217.5918731689453
0.0,11.2,0.0,194.514001083374
0.0,9.3,0.0,75.3877498626709
0.0,10.1,0.0,79.36162548065185
0.0,10.35,0.0,84.22125034332275
0.0,9.35,0.0,89.4900001525879
0.0,10.2,0.0,95.45324840545655
0.0,12.4,0.0,103.11374969482422
0.0,12.9,0.0,111.515625
0.0,23.8,0.0,139.01812400817872
0.0,47.85,0.0,174.95437393188476
0.0,10.3,0.0,205.8003734588623
0.0,1.95,0.0,216.66712226867676
0.0,34.4,0.0,227.4573760986328
0.0,49.0,0.0,211.38599815368653
0.0,40.5,0.0,186.43687629699707
0.0,23.05,0.0,167.51287307739258
0.0,31.1,0.0,164.70150146484374
