year,obs_mean_suit,fao_mean_suit,diff_mean_suit,obs_area_km2,fao_area_km2,diff_area_km2
1979,1.0281786941580755,1.029152348224513,-0.0009736540664375681,2510.3786378646023,2614.380458876367,-104.0018210117646
1980,1.0238258877434134,1.0274341351660938,-0.0036082474226803996,2089.0509395972626,2506.4456198992893,-417.3946803020267
1981,1.0529209621993125,1.0585910652920962,-0.005670103092783707,4851.080843212299,5812.330575995779,-961.2497327834799
1982,1.0254868270332187,1.0289232531500572,-0.0034364261168384758,2216.4722953771843,2683.887957952141,-467.4156625749565
1983,1.0245131729667811,1.0280641466208476,-0.003550973654066425,2268.456768338971,2459.691226101221,-191.23445776225026
1984,1.022737686139748,1.027205040091638,-0.0044673539518900185,2100.7041296469333,2586.1523259048986,-485.44819625796526
1985,1.0341924398625428,1.0420389461626574,-0.00784650630011452,3259.3879533422228,3855.1376452154554,-595.7496918732327
1986,1.026975945017182,1.0327605956471935,-0.005784650630011434,2486.9688484411404,2843.6954453266117,-356.7265968854713
1987,1.031729667812142,1.0481099656357387,-0.016380297823596734,2774.5648107997213,3806.5605155025814,-1031.9957047028602
1988,1.0467353951890033,1.0619129438717068,-0.01517754868270349,4200.61961418421,5371.366876875484,-1170.747262691274
1989,1.0424971363115692,1.0587056128293242,-0.016208476517755033,4138.97524881795,5153.5903932961055,-1014.6151444781553
1990,1.0251431844215348,1.0276632302405497,-0.0025200458190148822,2156.9306008148696,2970.455655228031,-813.5250544131613
1991,1.0432416953035508,1.059049255441008,-0.01580756013745721,3407.521707219258,5261.048128517858,-1853.5264212985994
1992,1.033676975945017,1.0438717067583045,-0.010194730813287478,3190.11335193536,3966.278308186179,-776.1649562508192
1993,1.036254295532646,1.0413516609392897,-0.005097365406643739,3475.744590934724,3943.988038258055,-468.2434473233311
1994,1.0440435280641465,1.0598510882016037,-0.01580756013745721,3891.477969137041,5409.307606549744,-1517.8296374127035
1995,1.0254295532646047,1.0349369988545245,-0.009507445589919783,2277.4842949289223,3080.8962852997597,-803.4119903708374
1996,1.0375715922107673,1.0422107674684995,-0.004639175257732164,3138.6308487920332,3496.0906002279326,-357.4597514358993
1997,1.0415807560137456,1.0501145475372278,-0.008533791523482215,3653.053574136216,4665.650828655217,-1012.5972545190011
1998,1.0532646048109966,1.064146620847652,-0.010882016036655395,4331.96419760642,5750.27852566601,-1418.3143280595896
1999,1.038258877434135,1.0483390607101946,-0.010080183276059529,3480.1755161005794,4357.799688108058,-877.6241720074786
2000,1.0455899198167238,1.0459335624284076,-0.0003436426116838476,3446.1455222394843,4060.0534226261248,-613.9079003866404
2001,1.0467926689576175,1.0445589919816722,0.0022336769759452313,3712.342341000293,4423.035208772634,-710.6928677723413
2002,1.095589919816724,1.1222794959908362,-0.026689576174112162,8177.990727535876,10297.205001106126,-2119.214273570249
2003,1.063230240549828,1.0647193585337917,-0.0014891179839637836,5586.052467222003,6338.012160843242,-751.9596936212392
2004,1.0710767468499427,1.0793814432989692,-0.008304696449026538,6298.932042792262,7637.271802770102,-1338.33975997784
2005,1.076918671248568,1.0950744558991983,-0.01815578465063017,6558.34455960191,8312.41220207446,-1754.0676424725498
2006,1.083906071019473,1.1152348224513173,-0.031328751431844326,7197.847206077155,10259.673812514451,-3061.8266064372965
2007,1.052233676975945,1.066093928980527,-0.013860252004581852,4438.510549125842,6366.326401210134,-1927.8158520842917
2008,1.0513745704467354,1.054810996563574,-0.0034364261168384758,4298.605689637249,5257.830919166897,-959.2252295296475
2009,1.0710194730813285,1.0855670103092783,-0.01454753722794977,6388.772115015548,7951.465508993414,-1562.6933939778664
2010,1.091237113402062,1.1131729667812142,-0.02193585337915227,7782.539335835963,9948.548367976684,-2166.0090321407206
2011,1.0550400916380296,1.0658648339060708,-0.010824742268041199,4845.515490111454,6183.052080050997,-1337.5365899395429
2012,1.0514318442153492,1.0529209621993125,-0.0014891179839633395,4772.190647843864,5133.703538756652,-361.51289091278795
2013,1.0593928980526919,1.0683848797250861,-0.008991981672394234,5039.50387710653,6350.366379390876,-1310.8625022843462
2014,1.0416380297823598,1.0530927835051547,-0.01145475372279492,3336.4705214945598,4565.408176897547,-1228.9376554029868
2015,1.0497709049255441,1.0644329896907216,-0.014662084765177497,4130.017378676596,5449.841591653467,-1319.8242129768705
2016,1.092840778923253,1.116093928980527,-0.023253150057273908,7315.217673236705,10073.968819401663,-2758.7511461649583
2017,1.0727376861397482,1.0872852233676977,-0.014547537227949547,6293.866289104155,8048.067015820549,-1754.2007267163945
2018,1.100057273768614,1.1219358533791524,-0.021878579610538296,8637.397047298053,10193.370705886673,-1555.9736585886203
