crop,year,obs_mean_suit,fao_mean_suit,obs_area_km2,fao_area_km2
Winter Barley,1979,1.004581901489118,1.0028636884306987,396.7994440855114,495.80471871462595
Winter Barley,1980,1.002290950744559,1.0028636884306987,198.01054925822908,396.15102416578475
Winter Barley,1981,1.0057273768613975,1.0057273768613975,495.80471871462595,892.9921262715384
Winter Barley,1982,1.0017182130584192,1.004581901489118,99.00527462911454,594.2914990733404
Winter Barley,1983,1.0103092783505154,1.0057273768613975,993.6794804498442,993.6794804498442
Winter Barley,1984,1.0074455899198167,1.0040091638029782,694.7232372082223,694.9815770133093
Winter Barley,1985,1.0143184421534936,1.0166093928980526,1589.1375909415076,1787.277461488182
Winter Barley,1986,1.0,1.0028636884306987,0.0,496.0642680302666
Winter Barley,1987,1.0126002290950744,1.0572737686139748,1190.1393873017748,4468.19516994492
Winter Barley,1988,1.0194730813287514,1.056701030927835,1687.4968670346898,4366.976639058284
Winter Barley,1989,1.024627720504009,1.072737686139748,2580.4886877768804,6157.86812425554
Winter Barley,1990,1.004581901489118,1.0080183276059564,396.28094981511134,1190.6569744394897
Winter Barley,1991,1.006872852233677,1.0572737686139748,494.8955431312314,5058.456265551686
Winter Barley,1992,1.020045819014891,1.0418098510882017,1986.3243933487474,4072.1634827211465
Winter Barley,1993,1.011454753722795,1.0080183276059564,1092.684755078959,1191.6900297080733
Winter Barley,1994,1.0126002290950744,1.0337915234822452,1190.5279559228482,3178.1361861061423
Winter Barley,1995,1.0040091638029782,1.0057273768613975,395.6283096676473,892.0856685297373
Winter Barley,1996,1.002290950744559,1.0011454753722795,198.9173089830427,198.9173089830427
Winter Barley,1997,1.0017182130584192,1.0326460481099657,198.14047490755567,3276.3755173593245
Winter Barley,1998,1.0280641466208476,1.0463917525773196,2775.627639521048,4654.634258664947
Winter Barley,1999,1.0074455899198167,1.0120274914089347,790.9877483036375,1087.8769616119064
Winter Barley,2000,1.0063001145475372,1.024627720504009,395.6301156162272,1878.874929642124
Winter Barley,2001,1.011454753722795,1.0074455899198167,1091.133508311779,991.6094374292519
Winter Barley,2002,1.0721649484536082,1.1380297823596792,5449.528145753722,10406.09242948029
Winter Barley,2003,1.052119129438717,1.0624284077892325,4651.763213794195,6430.721285584748
Winter Barley,2004,1.0475372279495991,1.0859106529209621,4652.416771356156,8520.463238883756
Winter Barley,2005,1.0899198167239403,1.1191294387170676,7531.071267677239,10112.454914580916
Winter Barley,2006,1.0526918671248569,1.122565864833906,4651.887510335409,11104.559085211207
Winter Barley,2007,1.0194730813287514,1.0257731958762886,1879.1028351297864,3169.679621451991
Winter Barley,2008,1.0315005727376862,1.0441008018327607,2773.1563442421493,4955.932179437359
Winter Barley,2009,1.034364261168385,1.0721649484536082,3169.304657290844,6343.299554160191
Winter Barley,2010,1.0492554410080184,1.061282932416953,3867.661502516316,5258.401485102425
Winter Barley,2011,1.0492554410080184,1.0778923253150057,4353.937128577711,7828.587551692805
Winter Barley,2012,1.0183276059564719,1.0257731958762886,1686.7136933306836,3171.374666965602
Winter Barley,2013,1.0143184421534936,1.0097365406643757,1390.478319385683,1390.089448781597
Winter Barley,2014,1.0400916380297824,1.0538373424971363,2877.62115959547,3973.4207799953447
Winter Barley,2015,1.0509736540664376,1.0985108820160367,4350.856625124953,8814.889955676264
Winter Barley,2016,1.0715922107674685,1.1156930126002291,5449.392772192703,10212.37718898262
Winter Barley,2017,1.072737686139748,1.11397479954181,6040.704159310633,9614.86385977803
Winter Barley,2018,1.1254295532646048,1.1546391752577319,9113.938076595134,11196.806713513557
Spring Barley,1979,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1980,1.0005727376861397,1.0017182130584192,99.39414523320055,198.9173089830427
Spring Barley,1981,1.0131729667812142,1.0166093928980526,1389.8235629870915,1981.507209396663
Spring Barley,1982,1.002290950744559,1.0005727376861397,198.9173089830427,99.39414523320055
Spring Barley,1983,1.0011454753722795,1.0005727376861397,99.52316374984214,99.52316374984214
Spring Barley,1984,1.002290950744559,1.002290950744559,298.5691880847099,298.5691880847099
Spring Barley,1985,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1986,1.0011454753722795,1.0017182130584192,99.52316374984214,198.13685349525454
Spring Barley,1987,1.0011454753722795,1.0017182130584192,99.52316374984214,99.52316374984214
Spring Barley,1988,1.0097365406643757,1.0108820160366552,1388.3919732999605,1388.3919732999605
Spring Barley,1989,1.0028636884306987,1.0028636884306987,396.14468847386746,396.14468847386746
Spring Barley,1990,1.004581901489118,1.0034364261168385,398.22106718637707,398.22106718637707
Spring Barley,1991,1.0126002290950744,1.0148911798396334,1092.2931701952566,1487.786118533161
Spring Barley,1992,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1993,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1994,1.0034364261168385,1.0057273768613975,398.22106718637707,496.83475693178946
Spring Barley,1995,1.0011454753722795,1.002290950744559,99.52316374984214,198.13685349525454
Spring Barley,1996,1.0028636884306987,1.0034364261168385,398.22106718637707,398.22106718637707
Spring Barley,1997,1.002290950744559,1.0028636884306987,298.5691880847099,297.5309987284551
Spring Barley,1998,1.0040091638029782,1.0057273768613975,397.18287783012227,693.0239470663595
Spring Barley,1999,1.004581901489118,1.0080183276059564,596.3615420939327,787.1307428123202
Spring Barley,2000,1.0131729667812142,1.0097365406643757,1489.8591719211781,1390.7300073176484
Spring Barley,2001,1.0120274914089347,1.0103092783505154,1490.5133278881076,1292.63481419794
Spring Barley,2002,1.0171821305841924,1.0274914089347078,1582.2633587561343,2162.0573896848236
Spring Barley,2003,1.0120274914089347,1.0108820160366552,1088.5165950098628,1088.777952657002
Spring Barley,2004,1.013745704467354,1.0126002290950744,1385.5321173099699,1385.5321173099699
Spring Barley,2005,1.0131729667812142,1.0143184421534936,1388.1342394314938,1388.1342394314938
Spring Barley,2006,1.0601374570446735,1.1008018327605957,5859.287434385022,7941.895627106652
Spring Barley,2007,1.009163802978236,1.0120274914089347,990.8153971109323,1287.0435215040816
