year,obs_mean_suit,cf_mean_suit,obs_pct_ge2,cf_pct_ge2
1979,1.0281786941580755,1.0281786941580755,1.4547537227949596,1.4547537227949596
1980,1.0238258877434134,1.0238258877434134,1.2084765177548682,1.2084765177548682
1981,1.0529209621993125,1.0529209621993125,2.8064146620847654,2.8064146620847654
1982,1.0254868270332187,1.0254868270332187,1.2829324169530356,1.2829324169530356
1983,1.0245131729667811,1.0245131729667811,1.311569301260023,1.311569301260023
1984,1.022737686139748,1.022737686139748,1.2142038946162657,1.2142038946162657
1985,1.0341924398625428,1.0341924398625428,1.8843069873997709,1.8843069873997709
1986,1.026975945017182,1.026975945017182,1.4375715922107672,1.4375715922107672
1987,1.031729667812142,1.031729667812142,1.6036655211912945,1.6036655211912945
1988,1.0467353951890033,1.0467353951890033,2.4284077892325313,2.4284077892325313
1989,1.0424971363115692,1.0424971363115692,2.3940435280641466,2.3940435280641466
1990,1.0251431844215348,1.0251431844215348,1.2485681557846506,1.2485681557846506
1991,1.0432416953035508,1.0432416953035508,1.9702176403207332,1.9702176403207332
1992,1.033676975945017,1.033676975945017,1.8442153493699884,1.8442153493699884
1993,1.036254295532646,1.036254295532646,2.0103092783505154,2.0103092783505154
1994,1.0440435280641465,1.0440435280641465,2.2508591065292096,2.2508591065292096
1995,1.0254295532646047,1.0254295532646047,1.3172966781214204,1.3172966781214204
1996,1.0375715922107673,1.0375715922107673,1.8155784650630011,1.8155784650630011
1997,1.0415807560137456,1.0415807560137456,2.11340206185567,2.11340206185567
1998,1.0532646048109966,1.0532646048109966,2.508591065292096,2.508591065292096
1999,1.038258877434135,1.0445589919816725,2.016036655211913,2.3424971363115694
2000,1.0455899198167238,1.0364261168384878,1.993127147766323,1.6494845360824741
2001,1.0467926689576175,1.0597365406643757,2.1477663230240553,2.7892325315005726
2002,1.095589919816724,1.0620274914089347,4.74799541809851,3.0126002290950744
2003,1.063230240549828,1.0536082474226802,3.2359679266895762,2.691867124856816
2004,1.0710767468499427,1.0469072164948452,3.6483390607101946,2.336769759450172
2005,1.076918671248568,1.065292096219931,3.797250859106529,3.144329896907217
2006,1.083906071019473,1.084135166093929,4.163802978235968,4.152348224513172
2007,1.052233676975945,1.049369988545246,2.5715922107674687,2.3940435280641466
2008,1.0513745704467354,1.059278350515464,2.4914089347079043,2.880870561282932
2009,1.0710194730813285,1.0749140893470788,3.699885452462772,3.8659793814432986
2010,1.091237113402062,1.0646048109965633,4.501718213058419,3.0698739977090495
2011,1.0550400916380296,1.0424398625429552,2.806414662084765,2.1076746849942727
2012,1.0514318442153492,1.047537227949599,2.7663230240549828,2.554410080183276
2013,1.0593928980526919,1.0603092783505155,2.9152348224513167,2.9954180985108816
2014,1.0416380297823598,1.0376861397479953,1.9301260022909503,1.7869415807560138
2015,1.0497709049255441,1.041294387170676,2.3940435280641466,1.9816723940435281
2016,1.092840778923253,1.0867697594501717,4.232531500572738,4.009163802978236
2017,1.0727376861397482,1.060824742268041,3.642611683848797,2.983963344788087
2018,1.100057273768614,1.0813860252004583,5.0,3.974799541809851
