crop,period,metric,obs_tau,obs_p,obs_slope,obs_trend,obs_significant,cf_tau,cf_p,cf_slope,cf_trend,cf_significant,slope_difference,boot_ci_lo,boot_ci_hi,boot_p,boot_sig,perm_ci_lo,perm_ci_hi,perm_p,perm_sig,is_Overall
Winter Barley,1979-2018,mean_suit,0.524,0.0,0.001442,increasing,True,0.519,0.0,0.001052,increasing,True,0.00039,-0.000249,0.000215,0.011,True,-0.000482,0.00047,0.138,False,False
Winter Barley,1979-2018,pct_ge2,0.514,0.0,0.069138,increasing,True,0.504,0.0,0.052216,increasing,True,0.016922,-0.013505,0.01284,0.024,True,-0.020384,0.020703,0.128,False,False
Winter Barley,1999-2018,mean_suit,0.321,0.0515,0.002625,no trend,False,0.279,0.0914,0.00146,no trend,False,0.001165,-0.001858,0.001856,0.199,False,-0.002191,0.002137,0.346,False,False
Winter Barley,1999-2018,pct_ge2,0.279,0.0906,0.118639,no trend,False,0.284,0.0852,0.077729,no trend,False,0.04091,-0.090788,0.087956,0.34,False,-0.098319,0.096842,0.378,False,False
Spring Barley,1979-2018,mean_suit,0.468,0.0,0.000435,increasing,True,0.431,0.0001,0.000245,increasing,True,0.00019,-5e-05,5.7e-05,0.001,True,-0.000171,0.000171,0.009,True,False
Spring Barley,1979-2018,pct_ge2,0.463,0.0,0.025819,increasing,True,0.427,0.0001,0.016845,increasing,True,0.008974,-0.003474,0.00358,0.0,True,-0.00747,0.007805,0.002,True,False
Spring Barley,1999-2018,mean_suit,0.095,0.5805,0.00046,no trend,False,0.079,0.6487,0.000181,no trend,False,0.000279,-0.000423,0.000411,0.182,False,-0.000651,0.000672,0.577,False,False
Spring Barley,1999-2018,pct_ge2,0.084,0.6253,0.012887,no trend,False,0.079,0.6487,0.013523,no trend,False,-0.000636,-0.020321,0.023038,0.773,False,-0.034364,0.034364,0.99,False,False
Winter Wheat,1979-2018,mean_suit,0.526,0.0,0.001432,increasing,True,0.518,0.0,0.001029,increasing,True,0.000403,-0.000249,0.000201,0.007,True,-0.000468,0.000456,0.115,False,False
Winter Wheat,1979-2018,pct_ge2,0.517,0.0,0.068023,increasing,True,0.505,0.0,0.052216,increasing,True,0.015807,-0.011455,0.013164,0.018,True,-0.020842,0.020352,0.157,False,False
Winter Wheat,1999-2018,mean_suit,0.332,0.0442,0.002522,increasing,True,0.279,0.0914,0.001476,no trend,False,0.001046,-0.001718,0.001808,0.235,False,-0.002097,0.002139,0.358,False,False
Winter Wheat,1999-2018,pct_ge2,0.284,0.0847,0.118639,no trend,False,0.284,0.0852,0.077729,no trend,False,0.04091,-0.086204,0.085777,0.331,False,-0.093341,0.089245,0.362,False,False
Spring Wheat,1979-2018,mean_suit,0.464,0.0,0.000436,increasing,True,0.435,0.0001,0.000229,increasing,True,0.000207,-5.4e-05,4.8e-05,0.0,True,-0.00016,0.000157,0.005,True,False
Spring Wheat,1979-2018,pct_ge2,0.441,0.0001,0.024546,increasing,True,0.421,0.0001,0.014318,increasing,True,0.010228,-0.003275,0.003505,0.0,True,-0.009852,0.009463,0.021,True,False
Spring Wheat,1999-2018,mean_suit,0.142,0.3987,0.000573,no trend,False,0.116,0.4948,0.000277,no trend,False,0.000296,-0.000461,0.00044,0.167,False,-0.000566,0.000518,0.429,False,False
Spring Wheat,1999-2018,pct_ge2,0.084,0.6254,0.020641,no trend,False,0.1,0.5576,0.014318,no trend,False,0.006323,-0.020323,0.021825,0.444,False,-0.030427,0.030307,0.738,False,False
Silage Maize,1979-2018,mean_suit,0.521,0.0,0.00043,increasing,True,0.506,0.0,0.000344,increasing,True,8.6e-05,-7.5e-05,6.9e-05,0.026,True,-7.5e-05,7.3e-05,0.023,True,False
Silage Maize,1979-2018,pct_ge2,0.514,0.0,0.021601,increasing,True,0.474,0.0,0.01697,increasing,True,0.004631,-0.003886,0.004298,0.039,True,-0.00451,0.004261,0.04,True,False
Silage Maize,1999-2018,mean_suit,-0.174,0.2989,-0.000444,no trend,False,-0.042,0.8202,-8e-05,no trend,False,-0.000364,-0.000361,0.000391,0.056,False,-0.000427,0.00041,0.141,False,False
Silage Maize,1999-2018,pct_ge2,-0.095,0.579,-0.011455,no trend,False,-0.058,0.7437,-0.002864,no trend,False,-0.008591,-0.019091,0.018137,0.275,False,-0.017372,0.017898,0.48,False,False
White Potato,1979-2018,mean_suit,0.314,0.0045,0.001375,increasing,True,0.296,0.0073,0.001248,increasing,True,0.000127,-0.00018,0.000198,0.15,False,-0.00017,0.000173,0.179,False,False
White Potato,1979-2018,pct_ge2,0.313,0.0046,0.114548,increasing,True,0.306,0.0055,0.101025,increasing,True,0.013523,-0.015932,0.016608,0.106,False,-0.013523,0.014318,0.051,False,False
