crop,period,metric,obs_tau,obs_p,obs_slope,obs_trend,obs_significant,cf_tau,cf_p,cf_slope,cf_trend,cf_significant,slope_difference,boot_ci_lo,boot_ci_hi,boot_p,boot_sig,perm_ci_lo,perm_ci_hi,perm_p,perm_sig,obs_ci_lo,obs_ci_hi,cf_ci_lo,cf_ci_hi
Winter Barley,1979-2018,mean_suit,0.524,0.0,0.001442,increasing,True,0.519,0.0,0.001052,increasing,True,0.00039,-0.000249,0.000215,0.011,True,-0.000482,0.00047,0.138,False,,,,
Winter Barley,1979-2018,area_ge2_km2,0.505,0.0,119.402873,increasing,True,0.495,0.0,90.364938,increasing,True,29.037935,-23.3935,22.215486,0.026,True,-35.445554,36.003122,0.135,False,,,,
Winter Barley,1999-2018,mean_suit,0.321,0.0515,0.002625,no trend,False,0.279,0.0914,0.00146,no trend,False,0.001165,-0.001858,0.001856,0.199,False,-0.002191,0.002137,0.346,False,,,,
Winter Barley,1999-2018,area_ge2_km2,0.274,0.098,204.425001,no trend,False,0.274,0.098,134.515413,no trend,False,69.909588,-157.266074,152.734669,0.344,False,-170.102608,166.369067,0.385,False,,,,
Spring Barley,1979-2018,mean_suit,0.468,0.0,0.000435,increasing,True,0.431,0.0001,0.000245,increasing,True,0.00019,-5e-05,5.7e-05,0.001,True,-0.000171,0.000171,0.009,True,,,,
Spring Barley,1979-2018,area_ge2_km2,0.467,0.0,44.553678,increasing,True,0.429,0.0001,29.210599,increasing,True,15.343079,-5.93166,5.99585,0.0,True,-12.987477,13.500107,0.003,True,,,,
Spring Barley,1999-2018,mean_suit,0.095,0.5805,0.00046,no trend,False,0.079,0.6487,0.000181,no trend,False,0.000279,-0.000423,0.000411,0.182,False,-0.000651,0.000672,0.577,False,,,,
Spring Barley,1999-2018,area_ge2_km2,0.084,0.6265,22.273266,no trend,False,0.058,0.7455,23.254652,no trend,False,-0.981386,-35.132479,39.866829,0.788,False,-59.55515,59.559504,0.983,False,,,,
Winter Wheat,1979-2018,mean_suit,0.526,0.0,0.001432,increasing,True,0.518,0.0,0.001029,increasing,True,0.000403,-0.000249,0.000201,0.007,True,-0.000468,0.000456,0.115,False,,,,
Winter Wheat,1979-2018,area_ge2_km2,0.508,0.0,117.621443,increasing,True,0.495,0.0,90.364938,increasing,True,27.256505,-19.671388,22.425499,0.019,True,-36.120082,35.34899,0.157,False,,,,
Winter Wheat,1999-2018,mean_suit,0.332,0.0442,0.002522,increasing,True,0.279,0.0914,0.001476,no trend,False,0.001046,-0.001718,0.001808,0.235,False,-0.002097,0.002139,0.358,False,,,,
Winter Wheat,1999-2018,area_ge2_km2,0.284,0.0855,204.425001,no trend,False,0.274,0.098,134.515413,no trend,False,69.909588,-149.537742,147.989814,0.335,False,-160.858684,152.831064,0.371,False,,,,
