analysis,crop,perm_var,metric,spearman_r,p_value,significant,n_pixels,n_years
spatial,Winter Barley,ALT,mean,0.1102,0.0,True,1746.0,
spatial,Spring Barley,ALT,mean,0.0724,0.0025,True,1746.0,
spatial,Winter Wheat,ALT,mean,0.1053,0.0,True,1746.0,
spatial,Spring Wheat,ALT,mean,0.0679,0.0045,True,1746.0,
spatial,Silage Maize,ALT,mean,0.1204,0.0,True,1746.0,
spatial,White Potato,ALT,mean,0.1514,0.0,True,1746.0,
spatial,Oat,ALT,mean,0.1208,0.0,True,1746.0,
spatial,Dry Pea,ALT,mean,0.0671,0.0051,True,1746.0,
spatial,Winter Rape,ALT,mean,-0.0897,0.0002,True,1746.0,
spatial,Spring Rape,ALT,mean,0.2233,0.0,True,1746.0,
spatial,OVERALL,ALT,mean,0.229,0.0,True,1746.0,
spatial,Winter Barley,ALT,change,-0.0092,0.7023,False,1746.0,
spatial,Spring Barley,ALT,change,-0.0067,0.7809,False,1746.0,
spatial,Winter Wheat,ALT,change,-0.0087,0.7173,False,1746.0,
spatial,Spring Wheat,ALT,change,-0.0063,0.7941,False,1746.0,
spatial,Silage Maize,ALT,change,-0.0111,0.6437,False,1746.0,
spatial,White Potato,ALT,change,0.015,0.5319,False,1746.0,
spatial,Oat,ALT,change,0.0519,0.0303,True,1746.0,
spatial,Dry Pea,ALT,change,-0.0062,0.7966,False,1746.0,
spatial,Winter Rape,ALT,change,0.0083,0.7303,False,1746.0,
spatial,Spring Rape,ALT,change,-0.0342,0.1531,False,1746.0,
spatial,OVERALL,ALT,change,-0.0324,0.1755,False,1746.0,
spatial,Winter Barley,soil_moisture,mean,0.1304,0.0,True,1746.0,
spatial,Spring Barley,soil_moisture,mean,0.0701,0.0034,True,1746.0,
spatial,Winter Wheat,soil_moisture,mean,0.1271,0.0,True,1746.0,
spatial,Spring Wheat,soil_moisture,mean,0.0654,0.0063,True,1746.0,
spatial,Silage Maize,soil_moisture,mean,0.0845,0.0004,True,1746.0,
spatial,White Potato,soil_moisture,mean,0.1027,0.0,True,1746.0,
spatial,Oat,soil_moisture,mean,0.1166,0.0,True,1746.0,
spatial,Dry Pea,soil_moisture,mean,0.0657,0.006,True,1746.0,
spatial,Winter Rape,soil_moisture,mean,-0.1179,0.0,True,1746.0,
spatial,Spring Rape,soil_moisture,mean,0.1181,0.0,True,1746.0,
spatial,OVERALL,soil_moisture,mean,0.1478,0.0,True,1746.0,
spatial,Winter Barley,soil_moisture,change,0.1621,0.0,True,1746.0,
spatial,Spring Barley,soil_moisture,change,0.0766,0.0014,True,1746.0,
spatial,Winter Wheat,soil_moisture,change,0.1571,0.0,True,1746.0,
spatial,Spring Wheat,soil_moisture,change,0.0685,0.0042,True,1746.0,
spatial,Silage Maize,soil_moisture,change,0.0411,0.0859,False,1746.0,
spatial,White Potato,soil_moisture,change,0.1172,0.0,True,1746.0,
spatial,Oat,soil_moisture,change,0.1644,0.0,True,1746.0,
spatial,Dry Pea,soil_moisture,change,0.0607,0.0111,True,1746.0,
spatial,Winter Rape,soil_moisture,change,-0.0794,0.0009,True,1746.0,
spatial,Spring Rape,soil_moisture,change,0.0987,0.0,True,1746.0,
spatial,OVERALL,soil_moisture,change,0.1269,0.0,True,1746.0,
temporal,Winter Barley,ALT,annual_mean,0.0338,0.8873,False,,20.0
temporal,Spring Barley,ALT,annual_mean,-0.1105,0.6427,False,,20.0
temporal,Winter Wheat,ALT,annual_mean,0.0338,0.8873,False,,20.0
temporal,Spring Wheat,ALT,annual_mean,-0.1251,0.5992,False,,20.0
temporal,Silage Maize,ALT,annual_mean,0.179,0.4502,False,,20.0
temporal,White Potato,ALT,annual_mean,-0.2355,0.3175,False,,20.0
temporal,Oat,ALT,annual_mean,-0.1895,0.4235,False,,20.0
temporal,Dry Pea,ALT,annual_mean,-0.1473,0.5355,False,,20.0
temporal,Winter Rape,ALT,annual_mean,0.1635,0.4909,False,,20.0
temporal,Spring Rape,ALT,annual_mean,-0.4361,0.0546,False,,20.0
temporal,OVERALL,ALT,annual_mean,-0.1609,0.498,False,,20.0
temporal,Winter Barley,soil_moisture,annual_mean,0.012,0.9598,False,,20.0
temporal,Spring Barley,soil_moisture,annual_mean,-0.1303,0.5839,False,,20.0
temporal,Winter Wheat,soil_moisture,annual_mean,0.012,0.9598,False,,20.0
temporal,Spring Wheat,soil_moisture,annual_mean,-0.1774,0.4543,False,,20.0
temporal,Silage Maize,soil_moisture,annual_mean,-0.22,0.3514,False,,20.0
temporal,White Potato,soil_moisture,annual_mean,0.0331,0.8898,False,,20.0
temporal,Oat,soil_moisture,annual_mean,-0.0308,0.8973,False,,20.0
temporal,Dry Pea,soil_moisture,annual_mean,-0.3225,0.1655,False,,20.0
temporal,Winter Rape,soil_moisture,annual_mean,-0.3647,0.1138,False,,20.0
temporal,Spring Rape,soil_moisture,annual_mean,-0.3338,0.1503,False,,20.0
temporal,OVERALL,soil_moisture,annual_mean,-0.0707,0.7672,False,,20.0
