crop,tag,y_min,y_max,b20,b40,b60,b80,n_vals
Winter Barley,combined_winter_barley,2.8821,910.3652,184.3787,365.8753,547.372,728.8686,2550
Spring Barley,combined_spring_barley,16.792,496.33,112.6996,208.6072,304.5148,400.4224,843
Winter Wheat,combined_winter_wheat,2.9,910.3652,184.3931,365.8861,547.3792,728.8722,2550
Spring Wheat,combined_spring_wheat,11.1999,505.1305,109.986,208.7721,307.5582,406.3444,843
Silage Maize,combined_silage_maize,0.3546,296.507,59.5851,118.8156,178.046,237.2765,1309
White Potato,combined_white_potato,0.3649,51.7457,10.641,20.9172,31.1934,41.4695,11436
Oat,combined_oat,0.9609,49.377,10.6441,20.3274,30.0106,39.6938,6551
Dry Pea,combined_dry_pea,4.4783,35.1749,10.6176,16.757,22.8963,29.0356,842
Winter Rape,combined_winter_rape,0.2216,45.5375,9.2848,18.3479,27.4111,36.4743,394
Spring Rape,combined_spring_rape,1.1285,43.7713,9.6571,18.1856,26.7142,35.2427,12056
