crop,median_delta,pct_years_positive,wilcoxon_stat,p_two_sided,p_greater_zero,p_less_zero,sig_positive,sig_negative,n_years
Winter Barley,0.9725,60.0,70.0,0.2024,0.1012,0.9053,False,False,20
Spring Barley,0.2307,55.0,38.0,0.2115,0.1057,0.8943,False,False,20
Winter Wheat,0.9551,60.0,71.0,0.2162,0.1081,0.8988,False,False,20
Spring Wheat,0.215,55.0,36.0,0.1728,0.0864,0.9136,False,False,20
Silage Maize,0.5774,75.0,31.0,0.0176,0.0088,0.9912,True,False,20
White Potato,0.1603,75.0,38.0,0.0107,0.0053,0.9953,True,False,20
Oat,0.0822,75.0,45.0,0.024,0.012,0.9893,True,False,20
Dry Pea,0.0183,60.0,41.0,0.1627,0.0813,0.9187,False,False,20
Winter Rape,-0.0071,35.0,67.0,0.4204,0.7898,0.2102,False,False,20
Spring Rape,0.3683,80.0,36.0,0.0083,0.0042,0.9964,True,False,20
