crop,period,metric,obs_tau,obs_p,obs_slope,obs_trend,obs_significant,cf_tau,cf_p,cf_slope,cf_trend,cf_significant,slope_difference
Winter Barley,1979-2018,mean_yield_kg_ha,0.223,0.0438,3.5106,increasing,True,0.215,0.0517,3.5471,no trend,False,-0.0365
Winter Barley,1979-2018,total_yield_tonnes,0.544,0.0,4494.1624,increasing,True,0.528,0.0,3423.7342,increasing,True,1070.4282
Winter Barley,1979-2018,suitable_area_km2,0.504,0.0,117.0,increasing,True,0.446,0.0001,100.2857,increasing,True,16.7143
Winter Barley,1999-2018,mean_yield_kg_ha,0.295,0.0744,8.7576,no trend,False,0.137,0.4173,5.0413,no trend,False,3.7163
Winter Barley,1999-2018,total_yield_tonnes,0.295,0.0744,6837.0446,no trend,False,0.305,0.0644,4653.4635,no trend,False,2183.5811
Winter Barley,1999-2018,suitable_area_km2,0.263,0.111,146.0952,no trend,False,0.221,0.183,118.75,no trend,False,27.3452
Spring Barley,1979-2018,mean_yield_kg_ha,-0.106,0.3394,-0.5976,no trend,False,-0.024,0.8339,-0.1629,no trend,False,-0.4347
Spring Barley,1979-2018,total_yield_tonnes,0.463,0.0,832.1725,increasing,True,0.442,0.0001,495.0425,increasing,True,337.13
Spring Barley,1979-2018,suitable_area_km2,0.449,0.0,39.5909,increasing,True,0.426,0.0001,26.0,increasing,True,13.5909
Spring Barley,1999-2018,mean_yield_kg_ha,0.032,0.8711,0.1073,no trend,False,0.263,0.1119,2.2771,no trend,False,-2.1698
Spring Barley,1999-2018,total_yield_tonnes,0.095,0.5813,672.2932,no trend,False,0.116,0.4957,463.9101,no trend,False,208.3831
Spring Barley,1999-2018,suitable_area_km2,0.137,0.4127,30.225,no trend,False,0.111,0.5157,39.0,no trend,False,-8.775
Winter Wheat,1979-2018,mean_yield_kg_ha,0.226,0.0415,3.5131,increasing,True,0.213,0.0546,3.5761,no trend,False,-0.063
Winter Wheat,1979-2018,total_yield_tonnes,0.544,0.0,4462.7706,increasing,True,0.528,0.0,3414.5963,increasing,True,1048.1743
Winter Wheat,1979-2018,suitable_area_km2,0.504,0.0,117.0,increasing,True,0.446,0.0001,100.2857,increasing,True,16.7143
Winter Wheat,1999-2018,mean_yield_kg_ha,0.295,0.0744,8.6269,no trend,False,0.137,0.4173,4.8866,no trend,False,3.7403
Winter Wheat,1999-2018,total_yield_tonnes,0.295,0.0744,6783.8402,no trend,False,0.305,0.0644,4610.0223,no trend,False,2173.8179
Winter Wheat,1999-2018,suitable_area_km2,0.263,0.111,146.0952,no trend,False,0.221,0.183,118.75,no trend,False,27.3452
Spring Wheat,1979-2018,mean_yield_kg_ha,-0.097,0.3822,-0.6343,no trend,False,-0.041,0.718,-0.2656,no trend,False,-0.3687
Spring Wheat,1979-2018,total_yield_tonnes,0.477,0.0,795.7478,increasing,True,0.456,0.0,451.1024,increasing,True,344.6454
Spring Wheat,1979-2018,suitable_area_km2,0.449,0.0,39.5909,increasing,True,0.426,0.0001,26.0,increasing,True,13.5909
Spring Wheat,1999-2018,mean_yield_kg_ha,0.063,0.7212,0.5455,no trend,False,0.263,0.1119,1.8264,no trend,False,-1.2809
Spring Wheat,1999-2018,total_yield_tonnes,0.105,0.5376,781.9959,no trend,False,0.126,0.4555,518.2521,no trend,False,263.7438
Spring Wheat,1999-2018,suitable_area_km2,0.137,0.4127,30.225,no trend,False,0.111,0.5157,39.0,no trend,False,-8.775
Silage Maize,1979-2018,mean_yield_kg_ha,0.179,0.1053,1.0947,no trend,False,0.192,0.0826,1.4203,no trend,False,-0.3256
Silage Maize,1979-2018,total_yield_tonnes,0.51,0.0,450.3257,increasing,True,0.495,0.0,365.973,increasing,True,84.3527
Silage Maize,1979-2018,suitable_area_km2,0.336,0.0023,43.5067,increasing,True,0.306,0.0055,33.913,increasing,True,9.5937
Silage Maize,1999-2018,mean_yield_kg_ha,-0.211,0.2058,-2.1964,no trend,False,-0.179,0.2843,-2.1302,no trend,False,-0.0662
Silage Maize,1999-2018,total_yield_tonnes,-0.158,0.3468,-382.242,no trend,False,0.011,0.9741,3.7246,no trend,False,-385.9666
Silage Maize,1999-2018,suitable_area_km2,0.095,0.5801,17.0238,no trend,False,0.237,0.1528,50.3067,no trend,False,-33.2829
White Potato,1979-2018,mean_yield_kg_ha,0.262,0.018,0.1032,increasing,True,0.274,0.0131,0.1281,increasing,True,-0.0249
White Potato,1979-2018,total_yield_tonnes,0.387,0.0005,286.6204,increasing,True,0.331,0.0028,219.0249,increasing,True,67.5955
White Potato,1979-2018,suitable_area_km2,0.453,0.0,152.1746,increasing,True,0.242,0.0284,58.3632,increasing,True,93.8114
White Potato,1999-2018,mean_yield_kg_ha,0.221,0.1834,0.2316,no trend,False,0.253,0.1273,0.3028,no trend,False,-0.0712
White Potato,1999-2018,total_yield_tonnes,0.179,0.2843,302.2373,no trend,False,0.189,0.2561,313.7981,no trend,False,-11.5608
