crop,median_delta,pct_years_positive,wilcoxon_stat,p_two_sided,p_greater_zero,p_less_zero,sig_positive,sig_negative,n_years
Winter Barley,0.008201,55.0,79.0,0.3317,0.1658,0.8342,False,False,20
Spring Barley,0.002828,55.0,35.0,0.2718,0.1359,0.8641,False,False,20
Winter Wheat,0.008201,55.0,80.0,0.3683,0.1841,0.8256,False,False,20
Spring Wheat,0.002545,55.0,36.0,0.1728,0.0864,0.9136,False,False,20
Silage Maize,0.004525,75.0,21.0,0.0086,0.0043,0.9957,True,False,20
White Potato,0.021493,80.0,31.5,0.0061,0.003,0.997,True,False,20
Oat,0.009898,75.0,44.5,0.0239,0.0119,0.9881,True,False,20
Dry Pea,0.001697,60.0,41.0,0.1625,0.0812,0.9188,False,False,20
Winter Rape,-0.000848,35.0,67.0,0.4203,0.7898,0.2102,False,False,20
Spring Rape,0.052036,80.0,34.0,0.0064,0.0032,0.9972,True,False,20
