crop,pct_no_change,pct_improved,pct_degraded,area_improved_km2,area_degraded_km2,net_area_km2
Winter Barley,97.92,1.1,0.98,1517.1,1345.5,171.6
Spring Barley,99.57,0.29,0.14,397.8,198.9,198.9
Winter Wheat,97.93,1.1,0.97,1517.1,1341.6,175.5
Spring Wheat,99.57,0.29,0.14,397.8,198.9,198.9
Silage Maize,99.49,0.42,0.08,585.0,113.1,471.9
White Potato,96.43,2.54,1.03,3506.1,1415.7,2090.4
Oat,97.59,1.74,0.68,2394.6,932.1,1462.5
Dry Pea,99.63,0.24,0.13,335.4,175.5,159.9
Winter Rape,99.43,0.17,0.4,237.9,549.9,-312.0
Spring Rape,96.34,2.64,1.02,3638.7,1411.8,2226.9
