crop,n_pixels,significantly_positive,consistently_positive,mixed___no_effect,consistently_negative,significantly_negative
Winter Barley,1768,0.34,1.75,96.72,1.02,0.17
Spring Barley,1768,0.17,0.62,99.21,0.0,0.0
Winter Wheat,1768,0.34,1.75,96.78,0.96,0.17
Spring Wheat,1768,0.17,0.62,99.21,0.0,0.0
Silage Maize,1768,0.17,0.51,99.32,0.0,0.0
White Potato,1768,2.38,2.83,93.5,0.79,0.51
Oat,1768,1.64,2.32,95.64,0.4,0.0
Dry Pea,1768,0.06,0.51,99.43,0.0,0.0
Winter Rape,1768,0.0,0.06,99.15,0.68,0.11
Spring Rape,1768,3.34,2.21,93.04,1.07,0.34
