crop,obs_pct_sig_pos,obs_pct_none,obs_pct_sig_neg,cf_pct_sig_pos,cf_pct_none,cf_pct_sig_neg,diff_sig_pos
Winter Barley,4.13,95.87,0.0,4.02,95.98,0.0,0.11
Spring Barley,2.09,97.91,0.0,1.24,98.76,0.0,0.85
Winter Wheat,4.13,95.87,0.0,4.02,95.98,0.0,0.11
Spring Wheat,2.15,97.85,0.0,1.24,98.76,0.0,0.91
Silage Maize,1.81,97.68,0.51,1.3,98.19,0.51,0.51
White Potato,7.47,92.53,0.0,4.75,95.25,0.0,2.72
Oat,8.26,91.74,0.0,5.54,94.46,0.0,2.72
Dry Pea,1.58,98.42,0.0,1.13,98.87,0.0,0.45
Winter Rape,0.34,99.66,0.0,0.74,99.26,0.0,-0.4
Spring Rape,8.65,91.35,0.0,5.54,94.46,0.0,3.11
