crop,variable,bin_lo,bin_hi,bin_mid,mean_delta,n_pixels
Winter Barley,elevation,2000.0,2500.0,2250.0,0.01667,3
Winter Barley,elevation,2500.0,3000.0,2750.0,-0.02059,85
Winter Barley,elevation,3000.0,3500.0,3250.0,0.02682,535
Winter Barley,elevation,3500.0,4000.0,3750.0,0.00147,579
Winter Barley,elevation,4000.0,4500.0,4250.0,0.0,483
Winter Barley,elevation,4500.0,5000.0,4750.0,0.0,80
Winter Barley,elevation,5000.0,5500.0,5250.0,0.0,3
Spring Barley,elevation,2000.0,2500.0,2250.0,0.0,3
Spring Barley,elevation,2500.0,3000.0,2750.0,0.01059,85
Spring Barley,elevation,3000.0,3500.0,3250.0,0.00598,535
Spring Barley,elevation,3500.0,4000.0,3750.0,0.00121,579
Spring Barley,elevation,4000.0,4500.0,4250.0,0.0,483
Spring Barley,elevation,4500.0,5000.0,4750.0,0.0,80
Spring Barley,elevation,5000.0,5500.0,5250.0,0.0,3
Winter Wheat,elevation,2000.0,2500.0,2250.0,0.01667,3
Winter Wheat,elevation,2500.0,3000.0,2750.0,-0.02059,85
Winter Wheat,elevation,3000.0,3500.0,3250.0,0.02617,535
Winter Wheat,elevation,3500.0,4000.0,3750.0,0.00147,579
Winter Wheat,elevation,4000.0,4500.0,4250.0,0.0,483
Winter Wheat,elevation,4500.0,5000.0,4750.0,0.0,80
Winter Wheat,elevation,5000.0,5500.0,5250.0,0.0,3
Spring Wheat,elevation,2000.0,2500.0,2250.0,0.0,3
Spring Wheat,elevation,2500.0,3000.0,2750.0,0.01118,85
Spring Wheat,elevation,3000.0,3500.0,3250.0,0.00729,535
Spring Wheat,elevation,3500.0,4000.0,3750.0,0.00121,579
Spring Wheat,elevation,4000.0,4500.0,4250.0,0.0,483
Spring Wheat,elevation,4500.0,5000.0,4750.0,0.0,80
Spring Wheat,elevation,5000.0,5500.0,5250.0,0.0,3
Silage Maize,elevation,2000.0,2500.0,2250.0,0.0,3
Silage Maize,elevation,2500.0,3000.0,2750.0,0.01,85
Silage Maize,elevation,3000.0,3500.0,3250.0,0.01935,535
Silage Maize,elevation,3500.0,4000.0,3750.0,0.00121,579
Silage Maize,elevation,4000.0,4500.0,4250.0,0.00176,483
Silage Maize,elevation,4500.0,5000.0,4750.0,0.0,80
Silage Maize,elevation,5000.0,5500.0,5250.0,0.0,3
White Potato,elevation,2000.0,2500.0,2250.0,0.0,3
White Potato,elevation,2500.0,3000.0,2750.0,0.03176,85
White Potato,elevation,3000.0,3500.0,3250.0,0.02495,535
White Potato,elevation,3500.0,4000.0,3750.0,0.02651,579
White Potato,elevation,4000.0,4500.0,4250.0,0.0087,483
White Potato,elevation,4500.0,5000.0,4750.0,0.005,80
White Potato,elevation,5000.0,5500.0,5250.0,0.0,3
Oat,elevation,2000.0,2500.0,2250.0,0.05,3
Oat,elevation,2500.0,3000.0,2750.0,0.03706,85
Oat,elevation,3000.0,3500.0,3250.0,0.0571,535
Oat,elevation,3500.0,4000.0,3750.0,0.01943,579
Oat,elevation,4000.0,4500.0,4250.0,0.00083,483
Oat,elevation,4500.0,5000.0,4750.0,0.0,80
Oat,elevation,5000.0,5500.0,5250.0,0.0,3
Dry Pea,elevation,2000.0,2500.0,2250.0,0.0,3
