analysis,crop,perm_var,metric,spearman_r,p_value,significant,n_pixels,n_years
spatial,Winter Barley,ALT,mean,0.081,0.0007,True,1768.0,
spatial,Spring Barley,ALT,mean,0.0576,0.0154,True,1768.0,
spatial,Winter Wheat,ALT,mean,0.0791,0.0009,True,1768.0,
spatial,Spring Wheat,ALT,mean,0.0576,0.0154,True,1768.0,
spatial,Silage Maize,ALT,mean,0.1593,0.0,True,1768.0,
spatial,White Potato,ALT,mean,0.1918,0.0,True,1768.0,
spatial,Oat,ALT,mean,0.1448,0.0,True,1768.0,
spatial,Dry Pea,ALT,mean,0.0445,0.0612,False,1768.0,
spatial,Winter Rape,ALT,mean,-0.1139,0.0,True,1768.0,
spatial,Spring Rape,ALT,mean,0.2099,0.0,True,1768.0,
spatial,OVERALL,ALT,mean,0.2079,0.0,True,1768.0,
spatial,Winter Barley,ALT,change,0.0114,0.6333,False,1768.0,
spatial,Spring Barley,ALT,change,-0.0053,0.8237,False,1768.0,
spatial,Winter Wheat,ALT,change,0.0116,0.6259,False,1768.0,
spatial,Spring Wheat,ALT,change,-0.0053,0.8237,False,1768.0,
spatial,Silage Maize,ALT,change,-0.0175,0.4631,False,1768.0,
spatial,White Potato,ALT,change,-0.0102,0.6676,False,1768.0,
spatial,Oat,ALT,change,0.0519,0.029,True,1768.0,
spatial,Dry Pea,ALT,change,-0.0041,0.8633,False,1768.0,
spatial,Winter Rape,ALT,change,0.0141,0.553,False,1768.0,
spatial,Spring Rape,ALT,change,-0.0371,0.1189,False,1768.0,
spatial,OVERALL,ALT,change,-0.0362,0.1283,False,1768.0,
spatial,Winter Barley,soil_moisture,mean,0.0922,0.0001,True,1768.0,
spatial,Spring Barley,soil_moisture,mean,0.0389,0.1016,False,1768.0,
spatial,Winter Wheat,soil_moisture,mean,0.0899,0.0002,True,1768.0,
spatial,Spring Wheat,soil_moisture,mean,0.039,0.1016,False,1768.0,
spatial,Silage Maize,soil_moisture,mean,0.0942,0.0001,True,1768.0,
spatial,White Potato,soil_moisture,mean,0.0922,0.0001,True,1768.0,
spatial,Oat,soil_moisture,mean,0.1387,0.0,True,1768.0,
spatial,Dry Pea,soil_moisture,mean,0.0223,0.3487,False,1768.0,
spatial,Winter Rape,soil_moisture,mean,-0.1474,0.0,True,1768.0,
spatial,Spring Rape,soil_moisture,mean,0.0966,0.0,True,1768.0,
spatial,OVERALL,soil_moisture,mean,0.1071,0.0,True,1768.0,
spatial,Winter Barley,soil_moisture,change,0.1259,0.0,True,1768.0,
spatial,Spring Barley,soil_moisture,change,0.062,0.0091,True,1768.0,
spatial,Winter Wheat,soil_moisture,change,0.1249,0.0,True,1768.0,
spatial,Spring Wheat,soil_moisture,change,0.062,0.0091,True,1768.0,
spatial,Silage Maize,soil_moisture,change,0.056,0.0186,True,1768.0,
spatial,White Potato,soil_moisture,change,0.0889,0.0002,True,1768.0,
spatial,Oat,soil_moisture,change,0.206,0.0,True,1768.0,
spatial,Dry Pea,soil_moisture,change,0.0401,0.0922,False,1768.0,
spatial,Winter Rape,soil_moisture,change,-0.1181,0.0,True,1768.0,
spatial,Spring Rape,soil_moisture,change,0.0799,0.0008,True,1768.0,
spatial,OVERALL,soil_moisture,change,0.0971,0.0,True,1768.0,
temporal,Winter Barley,ALT,annual_mean,0.0165,0.9448,False,,20.0
temporal,Spring Barley,ALT,annual_mean,-0.0976,0.6824,False,,20.0
temporal,Winter Wheat,ALT,annual_mean,0.0135,0.9548,False,,20.0
temporal,Spring Wheat,ALT,annual_mean,-0.1107,0.6423,False,,20.0
temporal,Silage Maize,ALT,annual_mean,-0.0527,0.8253,False,,20.0
temporal,White Potato,ALT,annual_mean,-0.3612,0.1177,False,,20.0
temporal,Oat,ALT,annual_mean,-0.1383,0.5608,False,,20.0
temporal,Dry Pea,ALT,annual_mean,-0.1277,0.5916,False,,20.0
temporal,Winter Rape,ALT,annual_mean,0.1376,0.5628,False,,20.0
temporal,Spring Rape,ALT,annual_mean,-0.3474,0.1334,False,,20.0
temporal,OVERALL,ALT,annual_mean,-0.1158,0.6269,False,,20.0
temporal,Winter Barley,soil_moisture,annual_mean,0.0,1.0,False,,20.0
temporal,Spring Barley,soil_moisture,annual_mean,-0.1052,0.6589,False,,20.0
temporal,Winter Wheat,soil_moisture,annual_mean,-0.0045,0.9849,False,,20.0
temporal,Spring Wheat,soil_moisture,annual_mean,-0.1455,0.5405,False,,20.0
temporal,Silage Maize,soil_moisture,annual_mean,-0.3239,0.1636,False,,20.0
temporal,White Potato,soil_moisture,annual_mean,-0.1565,0.5099,False,,20.0
temporal,Oat,soil_moisture,annual_mean,-0.0346,0.8849,False,,20.0
temporal,Dry Pea,soil_moisture,annual_mean,-0.2705,0.2487,False,,20.0
temporal,Winter Rape,soil_moisture,annual_mean,-0.3355,0.1482,False,,20.0
temporal,Spring Rape,soil_moisture,annual_mean,-0.3414,0.1408,False,,20.0
temporal,OVERALL,soil_moisture,annual_mean,-0.1053,0.6587,False,,20.0
