analysis,crop,clim_var,metric,spearman_r,p_value,significant,n_pixels,n_years
spatial,Winter Barley,precip,mean,0.0049,0.8366,False,1768.0,
spatial,Spring Barley,precip,mean,-0.029,0.2231,False,1768.0,
spatial,Winter Wheat,precip,mean,0.0043,0.8555,False,1768.0,
spatial,Spring Wheat,precip,mean,-0.029,0.2233,False,1768.0,
spatial,Silage Maize,precip,mean,-0.1474,0.0,True,1768.0,
spatial,White Potato,precip,mean,-0.1638,0.0,True,1768.0,
spatial,Oat,precip,mean,0.0087,0.7154,False,1768.0,
spatial,Dry Pea,precip,mean,-0.027,0.2557,False,1768.0,
spatial,Winter Rape,precip,mean,-0.0546,0.0216,True,1768.0,
spatial,Spring Rape,precip,mean,-0.1788,0.0,True,1768.0,
spatial,OVERALL,precip,mean,-0.2059,0.0,True,1768.0,
spatial,Winter Barley,precip,change,0.0224,0.3474,False,1768.0,
spatial,Spring Barley,precip,change,-0.025,0.2927,False,1768.0,
spatial,Winter Wheat,precip,change,0.0239,0.3158,False,1768.0,
spatial,Spring Wheat,precip,change,-0.0251,0.2923,False,1768.0,
spatial,Silage Maize,precip,change,-0.0157,0.5097,False,1768.0,
spatial,White Potato,precip,change,0.1176,0.0,True,1768.0,
spatial,Oat,precip,change,-0.0374,0.1158,False,1768.0,
spatial,Dry Pea,precip,change,-0.0087,0.7155,False,1768.0,
spatial,Winter Rape,precip,change,0.1101,0.0,True,1768.0,
spatial,Spring Rape,precip,change,0.1399,0.0,True,1768.0,
spatial,OVERALL,precip,change,0.1266,0.0,True,1768.0,
spatial,Winter Barley,temp_max,mean,0.0974,0.0,True,1768.0,
spatial,Spring Barley,temp_max,mean,0.0838,0.0004,True,1768.0,
spatial,Winter Wheat,temp_max,mean,0.0947,0.0001,True,1768.0,
spatial,Spring Wheat,temp_max,mean,0.0839,0.0004,True,1768.0,
spatial,Silage Maize,temp_max,mean,0.1237,0.0,True,1768.0,
spatial,White Potato,temp_max,mean,0.0349,0.1419,False,1768.0,
spatial,Oat,temp_max,mean,0.161,0.0,True,1768.0,
spatial,Dry Pea,temp_max,mean,0.069,0.0037,True,1768.0,
spatial,Winter Rape,temp_max,mean,-0.1394,0.0,True,1768.0,
spatial,Spring Rape,temp_max,mean,0.024,0.3127,False,1768.0,
spatial,OVERALL,temp_max,mean,0.0634,0.0077,True,1768.0,
spatial,Winter Barley,temp_max,change,-0.0317,0.1832,False,1768.0,
spatial,Spring Barley,temp_max,change,0.0196,0.4104,False,1768.0,
spatial,Winter Wheat,temp_max,change,-0.0338,0.1555,False,1768.0,
spatial,Spring Wheat,temp_max,change,0.0197,0.4078,False,1768.0,
spatial,Silage Maize,temp_max,change,-0.0205,0.3887,False,1768.0,
spatial,White Potato,temp_max,change,-0.1186,0.0,True,1768.0,
spatial,Oat,temp_max,change,0.0189,0.4261,False,1768.0,
spatial,Dry Pea,temp_max,change,0.0378,0.1117,False,1768.0,
spatial,Winter Rape,temp_max,change,-0.0228,0.3374,False,1768.0,
spatial,Spring Rape,temp_max,change,-0.1475,0.0,True,1768.0,
spatial,OVERALL,temp_max,change,-0.1214,0.0,True,1768.0,
spatial,Winter Barley,temp_min,mean,0.11,0.0,True,1768.0,
