variable,kruskal_H,kruskal_p,kruskal_sig,sig+_vs_Cons+,sig+_vs_Mixed,sig+_vs_Cons−,sig+_vs_Sig−
Elevation (m),12.137,0.0005,True,,,,
Slope (°),2.742,0.0978,False,,,,
Mean ALT (m),9.455,0.0021,True,,,,
ΔALT (m),0.08,0.7773,False,,,,
Mean Soil Moisture,9.83,0.0017,True,,,,
ΔSoil Moisture,10.944,0.0009,True,,,,
Mean TempMax (°C),20.495,0.0,True,,,,
ΔTempMax (°C),7.324,0.0068,True,,,,
Mean TempMin (°C),23.612,0.0,True,,,,
ΔTempMin (°C),1.157,0.2822,False,,,,
Mean Precip (mm),0.786,0.3752,False,,,,
ΔPrecip (mm),4.539,0.0331,True,,,,
