variable,kruskal_H,kruskal_p,kruskal_sig,sig+_vs_Cons+,sig+_vs_Mixed,sig+_vs_Cons−,sig+_vs_Sig−
Elevation (m),46.008,0.0,True,0.7295,0.0,0.5052,
Slope (°),25.408,0.0,True,0.0838,0.0001,0.0255,
Mean ALT (m),59.474,0.0,True,0.9668,0.0,0.2066,
ΔALT (m),20.562,0.0001,True,0.0001,0.0,0.095,
Mean Soil Moisture,63.666,0.0,True,0.124,0.0,0.0202,
ΔSoil Moisture,117.83,0.0,True,0.0776,0.0,0.0123,
Mean TempMax (°C),71.747,0.0,True,0.052,0.0,0.7249,
ΔTempMax (°C),10.796,0.0129,True,0.9051,0.4298,0.0024,
Mean TempMin (°C),82.239,0.0,True,0.0119,0.0,1.0,
ΔTempMin (°C),11.78,0.0082,True,0.1818,0.0035,0.0082,
Mean Precip (mm),7.808,0.0502,False,0.4526,0.0106,0.8758,
ΔPrecip (mm),9.715,0.0211,True,0.2624,0.5072,0.0062,
