variable,kruskal_H,kruskal_p,kruskal_sig,sig+_vs_Cons+,sig+_vs_Mixed,sig+_vs_Cons−,sig+_vs_Sig−
Elevation (m),18.64,0.0001,True,0.4818,0.0723,,
Slope (°),8.911,0.0116,True,0.0636,0.9569,,
Mean ALT (m),12.616,0.0018,True,1.0,0.0753,,
ΔALT (m),0.107,0.948,False,1.0,0.8706,,
Mean Soil Moisture,15.144,0.0005,True,0.3727,0.0117,,
ΔSoil Moisture,8.63,0.0134,True,1.0,0.0929,,
Mean TempMax (°C),24.471,0.0,True,0.4818,0.0017,,
ΔTempMax (°C),5.657,0.0591,False,0.6,0.0126,,
Mean TempMin (°C),29.204,0.0,True,0.2091,0.0002,,
ΔTempMin (°C),1.982,0.3711,False,0.7273,0.3527,,
Mean Precip (mm),6.263,0.0436,True,0.7273,0.3793,,
ΔPrecip (mm),3.431,0.1799,False,0.3727,0.3855,,
