variable,kruskal_H,kruskal_p,kruskal_sig,sig+_vs_Cons+,sig+_vs_Mixed,sig+_vs_Cons−,sig+_vs_Sig−
Elevation (m),20.263,0.0,True,0.2253,0.0883,,
Slope (°),6.683,0.0354,True,0.2253,0.9559,,
Mean ALT (m),14.735,0.0006,True,1.0,0.0751,,
ΔALT (m),0.125,0.9395,False,1.0,0.8705,,
Mean Soil Moisture,17.353,0.0002,True,0.1703,0.0073,,
ΔSoil Moisture,14.694,0.0006,True,0.1264,0.0283,,
Mean TempMax (°C),32.326,0.0,True,0.2912,0.0007,,
ΔTempMax (°C),7.914,0.0191,True,0.1703,0.0039,,
Mean TempMin (°C),37.691,0.0,True,0.0385,0.0,,
ΔTempMin (°C),0.473,0.7894,False,0.8846,0.5363,,
Mean Precip (mm),1.521,0.4675,False,0.2912,0.4181,,
ΔPrecip (mm),6.714,0.0348,True,0.2253,0.1503,,
