variable,kruskal_H,kruskal_p,kruskal_sig,sig+_vs_Cons+,sig+_vs_Mixed,sig+_vs_Cons−,sig+_vs_Sig−
Elevation (m),54.124,0.0,True,0.1989,0.0123,0.0,0.0083
Slope (°),106.96,0.0,True,0.7059,0.0,0.0,0.0001
Mean ALT (m),110.579,0.0,True,0.0211,0.0,0.0211,0.1907
ΔALT (m),10.861,0.0282,True,0.0679,0.0013,0.0591,0.277
Mean Soil Moisture,99.685,0.0,True,0.6475,0.0,0.0,0.0
ΔSoil Moisture,91.212,0.0,True,0.8051,0.0,0.0247,0.0454
Mean TempMax (°C),70.229,0.0,True,0.0284,0.0003,0.0,0.0001
ΔTempMax (°C),13.135,0.0106,True,0.8446,0.004,0.1845,0.6343
Mean TempMin (°C),104.601,0.0,True,0.0183,0.0,0.0,0.0
ΔTempMin (°C),25.823,0.0,True,0.408,0.0,0.0304,0.2229
Mean Precip (mm),8.636,0.0709,False,0.4769,0.7511,0.017,0.117
ΔPrecip (mm),27.184,0.0,True,0.0082,0.001,0.0,0.0004
