variable,kruskal_H,kruskal_p,kruskal_sig,sig+_vs_Cons+,sig+_vs_Mixed,sig+_vs_Cons−,sig+_vs_Sig−
Elevation (m),65.139,0.0,True,0.1126,0.0715,0.3432,0.5476
Slope (°),29.395,0.0,True,0.984,0.0573,0.2796,0.2619
Mean ALT (m),60.929,0.0,True,0.7139,0.0102,1.0,1.0
ΔALT (m),0.834,0.9338,False,0.7139,0.8118,1.0,1.0
Mean Soil Moisture,90.084,0.0,True,0.5871,0.0012,0.3432,0.0238
ΔSoil Moisture,79.981,0.0,True,0.0798,0.0,0.0007,0.0238
Mean TempMax (°C),86.896,0.0,True,0.2149,0.0031,0.4942,0.0952
ΔTempMax (°C),25.49,0.0,True,1.0,0.4128,0.0025,0.0238
Mean TempMin (°C),94.816,0.0,True,0.3215,0.0008,0.4537,0.7143
ΔTempMin (°C),17.586,0.0015,True,0.5595,0.0389,0.0118,0.0952
Mean Precip (mm),15.892,0.0032,True,0.1245,0.1319,0.3432,0.9048
ΔPrecip (mm),33.634,0.0,True,0.1048,0.5213,0.0007,0.0238
