variable,kruskal_H,kruskal_p,kruskal_sig,sig+_vs_Cons+,sig+_vs_Mixed,sig+_vs_Cons−,sig+_vs_Sig−
Elevation (m),64.39,0.0,True,0.1126,0.0717,0.3193,0.5476
Slope (°),28.722,0.0,True,0.984,0.0574,0.2557,0.2619
Mean ALT (m),59.814,0.0,True,0.7139,0.0103,1.0,1.0
ΔALT (m),0.825,0.9351,False,0.7139,0.8119,1.0,1.0
Mean Soil Moisture,88.371,0.0,True,0.5871,0.0013,0.3917,0.0238
ΔSoil Moisture,78.238,0.0,True,0.0798,0.0,0.0004,0.0238
Mean TempMax (°C),85.677,0.0,True,0.2149,0.0032,0.4727,0.0952
ΔTempMax (°C),24.238,0.0001,True,1.0,0.4121,0.0025,0.0238
Mean TempMin (°C),93.228,0.0,True,0.3215,0.0008,0.4727,0.7143
ΔTempMin (°C),18.404,0.001,True,0.5595,0.039,0.0099,0.0952
Mean Precip (mm),15.167,0.0044,True,0.1245,0.1323,0.3543,0.9048
ΔPrecip (mm),32.203,0.0,True,0.1048,0.52,0.0009,0.0238
