crop,period,metric,obs_tau,obs_p,obs_slope,obs_trend,obs_significant,cf_tau,cf_p,cf_slope,cf_trend,cf_significant,slope_difference,slope_diff_ci_lo,slope_diff_ci_hi,slope_diff_p,slope_diff_sig,wilcoxon_median_diff,wilcoxon_pct_pos,wilcoxon_p_greater,wilcoxon_p_two_sided,wilcoxon_sig
Winter Barley,1979-2018,mean_suit,0.553,0.0,0.002285,increasing,True,0.528,0.0,0.001734,increasing,True,0.000551,-0.000555,0.0005,0.047,True,0.008201,55.0,0.1744,0.3488,False
Winter Barley,1979-2018,pct_ge1,0.504,0.0,0.084842,increasing,True,0.446,0.0001,0.072721,increasing,True,0.012121,-0.022666,0.021721,0.234,False,0.197964,50.0,0.2598,0.5197,False
Winter Barley,1979-2018,pct_ge3,0.526,0.0,0.050591,increasing,True,0.514,0.0,0.039158,increasing,True,0.011433,-0.009743,0.009808,0.027,True,0.113122,50.0,0.1906,0.3812,False
Winter Barley,1999-2018,mean_suit,0.274,0.098,0.002687,no trend,False,0.316,0.0556,0.002569,no trend,False,0.000118,-0.002719,0.002714,0.86,False,0.008201,55.0,0.1744,0.3488,False
Winter Barley,1999-2018,pct_ge1,0.263,0.111,0.10594,no trend,False,0.221,0.183,0.086111,no trend,False,0.019829,-0.099001,0.102476,0.629,False,0.197964,50.0,0.2598,0.5197,False
Winter Barley,1999-2018,pct_ge3,0.321,0.0515,0.088882,no trend,False,0.289,0.0796,0.054898,no trend,False,0.033984,-0.067523,0.070161,0.315,False,0.113122,50.0,0.1906,0.3812,False
Spring Barley,1979-2018,mean_suit,0.465,0.0,0.000711,increasing,True,0.438,0.0001,0.00044,increasing,True,0.000271,-8.3e-05,8.7e-05,0.001,True,0.002828,55.0,0.136,0.2719,False
Spring Barley,1979-2018,pct_ge1,0.449,0.0,0.028709,increasing,True,0.426,0.0001,0.018854,increasing,True,0.009855,-0.003799,0.003612,0.002,True,0.141403,55.0,0.045,0.0899,True
Spring Barley,1979-2018,pct_ge3,0.447,0.0,0.012811,increasing,True,0.417,0.0001,0.00746,increasing,True,0.005351,-0.001905,0.00209,0.001,True,0.0,45.0,0.2106,0.4213,False
Spring Barley,1999-2018,mean_suit,0.095,0.5809,0.000542,no trend,False,0.1,0.559,0.00053,no trend,False,1.2e-05,-0.000697,0.000646,0.868,False,0.002828,55.0,0.136,0.2719,False
Spring Barley,1999-2018,pct_ge1,0.137,0.4127,0.021917,no trend,False,0.111,0.5157,0.028281,no trend,False,-0.006364,-0.024696,0.023104,0.472,False,0.141403,55.0,0.045,0.0899,True
Spring Barley,1999-2018,pct_ge3,0.111,0.5141,0.018854,no trend,False,0.089,0.6017,0.010016,no trend,False,0.008838,-0.017911,0.017517,0.261,False,0.0,45.0,0.2106,0.4213,False
Winter Wheat,1979-2018,mean_suit,0.558,0.0,0.002285,increasing,True,0.528,0.0,0.001732,increasing,True,0.000553,-0.000552,0.000477,0.043,True,0.008201,55.0,0.1841,0.3683,False
Winter Wheat,1979-2018,pct_ge1,0.504,0.0,0.084842,increasing,True,0.446,0.0001,0.072721,increasing,True,0.012121,-0.021433,0.022316,0.209,False,0.197964,50.0,0.2598,0.5197,False
Winter Wheat,1979-2018,pct_ge3,0.524,0.0,0.050591,increasing,True,0.513,0.0,0.039158,increasing,True,0.011433,-0.009857,0.009704,0.031,True,0.113122,50.0,0.1906,0.3812,False
Winter Wheat,1999-2018,mean_suit,0.284,0.0855,0.002687,no trend,False,0.316,0.0556,0.002536,no trend,False,0.000151,-0.002807,0.002534,0.848,False,0.008201,55.0,0.1841,0.3683,False
Winter Wheat,1999-2018,pct_ge1,0.263,0.111,0.10594,no trend,False,0.221,0.183,0.086111,no trend,False,0.019829,-0.111405,0.107714,0.642,False,0.197964,50.0,0.2598,0.5197,False
Winter Wheat,1999-2018,pct_ge3,0.321,0.0515,0.086862,no trend,False,0.289,0.0796,0.054898,no trend,False,0.031964,-0.06471,0.063443,0.308,False,0.113122,50.0,0.1906,0.3812,False
Spring Wheat,1979-2018,mean_suit,0.485,0.0,0.000707,increasing,True,0.459,0.0,0.000428,increasing,True,0.000279,-9.4e-05,8.2e-05,0.0,True,0.002545,55.0,0.0864,0.1728,False
Spring Wheat,1979-2018,pct_ge1,0.449,0.0,0.028709,increasing,True,0.426,0.0001,0.018854,increasing,True,0.009855,-0.003772,0.003853,0.002,True,0.141403,55.0,0.045,0.0899,True
Spring Wheat,1979-2018,pct_ge3,0.438,0.0,0.010689,increasing,True,0.4,0.0002,0.005954,increasing,True,0.004735,-0.001887,0.002143,0.008,True,0.0,45.0,0.1632,0.3264,False
Spring Wheat,1999-2018,mean_suit,0.132,0.4355,0.000664,no trend,False,0.142,0.3982,0.000566,no trend,False,9.8e-05,-0.000689,0.000648,0.632,False,0.002545,55.0,0.0864,0.1728,False
Spring Wheat,1999-2018,pct_ge1,0.137,0.4127,0.021917,no trend,False,0.111,0.5157,0.028281,no trend,False,-0.006364,-0.024691,0.024692,0.48,False,0.141403,55.0,0.045,0.0899,True
Spring Wheat,1999-2018,pct_ge3,0.137,0.4157,0.017507,no trend,False,0.137,0.4143,0.013355,no trend,False,0.004152,-0.018396,0.017514,0.533,False,0.0,45.0,0.1632,0.3264,False
Silage Maize,1979-2018,mean_suit,0.447,0.0,0.000768,increasing,True,0.423,0.0001,0.000566,increasing,True,0.000202,-0.000155,0.000167,0.028,True,0.004525,75.0,0.0043,0.0086,True
Silage Maize,1979-2018,pct_ge1,0.336,0.0023,0.031549,increasing,True,0.306,0.0055,0.024592,increasing,True,0.006957,-0.009731,0.008776,0.124,False,0.141403,70.0,0.0061,0.0121,True
Silage Maize,1979-2018,pct_ge3,0.528,0.0,0.01616,increasing,True,0.505,0.0,0.012263,increasing,True,0.003897,-0.003232,0.003235,0.023,True,0.113122,65.0,0.0067,0.0134,True
Silage Maize,1999-2018,mean_suit,-0.042,0.8202,-0.000131,no trend,False,0.121,0.4747,0.000343,no trend,False,-0.000474,-0.000589,0.000699,0.123,False,0.004525,75.0,0.0043,0.0086,True
Silage Maize,1999-2018,pct_ge1,0.095,0.5801,0.012345,no trend,False,0.237,0.1528,0.03648,no trend,False,-0.024135,-0.037045,0.03966,0.188,False,0.141403,70.0,0.0061,0.0121,True
Silage Maize,1999-2018,pct_ge3,-0.132,0.4338,-0.010959,no trend,False,-0.026,0.896,0.0,no trend,False,-0.010959,-0.015255,0.015345,0.133,False,0.113122,65.0,0.0067,0.0134,True
White Potato,1979-2018,mean_suit,0.412,0.0002,0.002492,increasing,True,0.308,0.0053,0.001772,increasing,True,0.00072,-0.00058,0.000578,0.013,True,0.021493,80.0,0.0032,0.0064,True
White Potato,1979-2018,pct_ge1,0.453,0.0,0.110348,increasing,True,0.242,0.0284,0.042322,increasing,True,0.068026,-0.035805,0.039775,0.0,True,1.527149,85.0,0.0014,0.0028,True
White Potato,1979-2018,pct_ge3,0.271,0.0142,0.017768,increasing,True,0.249,0.0242,0.018265,increasing,True,-0.000497,-0.00379,0.003772,0.529,False,0.0,45.0,0.0699,0.1398,False
White Potato,1999-2018,mean_suit,0.168,0.3145,0.002525,no trend,False,0.147,0.381,0.001822,no trend,False,0.000703,-0.002335,0.002144,0.425,False,0.021493,80.0,0.0032,0.0064,True
White Potato,1999-2018,pct_ge1,0.047,0.7951,0.027555,no trend,False,-0.053,0.7701,-0.018854,no trend,False,0.046409,-0.120222,0.115831,0.381,False,1.527149,85.0,0.0014,0.0028,True
White Potato,1999-2018,pct_ge3,0.216,0.1937,0.046349,no trend,False,0.179,0.2831,0.066416,no trend,False,-0.020067,-0.022322,0.025458,0.077,False,0.0,45.0,0.0699,0.1398,False
Oat,1979-2018,mean_suit,0.441,0.0001,0.005161,increasing,True,0.377,0.0006,0.00373,increasing,True,0.001431,-0.001098,0.001097,0.02,True,0.009898,75.0,0.0119,0.0239,True
Oat,1979-2018,pct_ge1,0.436,0.0001,0.181697,increasing,True,0.395,0.0003,0.127734,increasing,True,0.053963,-0.041469,0.036654,0.016,True,0.622172,70.0,0.0134,0.0269,True
Oat,1979-2018,pct_ge3,0.455,0.0,0.118741,increasing,True,0.39,0.0004,0.087413,increasing,True,0.031328,-0.02372,0.023588,0.017,True,0.339367,75.0,0.0125,0.0251,True
Oat,1999-2018,mean_suit,0.095,0.5813,0.001991,no trend,False,-0.021,0.9225,-0.000338,no trend,False,0.002329,-0.004468,0.004045,0.208,False,0.009898,75.0,0.0119,0.0239,True
Oat,1999-2018,pct_ge1,0.089,0.6035,0.092456,no trend,False,0.047,0.7951,0.032994,no trend,False,0.059462,-0.16497,0.169527,0.437,False,0.622172,70.0,0.0134,0.0269,True
Oat,1999-2018,pct_ge3,0.095,0.5813,0.052521,no trend,False,0.005,1.0,0.0,no trend,False,0.052521,-0.092818,0.093504,0.253,False,0.339367,75.0,0.0125,0.0251,True
Dry Pea,1979-2018,mean_suit,0.509,0.0,0.000792,increasing,True,0.453,0.0,0.000514,increasing,True,0.000278,-8.3e-05,9.1e-05,0.0,True,0.001697,60.0,0.0813,0.1625,False
Dry Pea,1979-2018,pct_ge1,0.501,0.0,0.031745,increasing,True,0.455,0.0,0.022624,increasing,True,0.009121,-0.002829,0.003349,0.001,True,0.141403,65.0,0.0545,0.1089,False
Dry Pea,1979-2018,pct_ge3,0.458,0.0,0.011312,increasing,True,0.408,0.0001,0.005565,increasing,True,0.005747,-0.002634,0.002017,0.001,True,0.028281,50.0,0.1969,0.3938,False
Dry Pea,1999-2018,mean_suit,0.084,0.6256,0.000448,no trend,False,0.047,0.7951,0.000283,no trend,False,0.000165,-0.000677,0.000641,0.49,False,0.001697,60.0,0.0813,0.1625,False
Dry Pea,1999-2018,pct_ge1,0.105,0.5366,0.021917,no trend,False,0.074,0.6724,0.02121,no trend,False,0.000707,-0.022178,0.022882,0.783,False,0.141403,65.0,0.0545,0.1089,False
Dry Pea,1999-2018,pct_ge3,0.026,0.8953,0.0,no trend,False,0.058,0.7427,0.0,no trend,False,0.0,-0.016165,0.015824,1.0,False,0.028281,50.0,0.1969,0.3938,False
Winter Rape,1979-2018,mean_suit,0.377,0.0006,0.000237,increasing,True,0.414,0.0001,0.000283,increasing,True,-4.6e-05,-7.1e-05,7e-05,0.156,False,-0.000848,35.0,0.7898,0.4204,False
Winter Rape,1979-2018,pct_ge1,0.351,0.0013,0.00808,increasing,True,0.378,0.0005,0.00808,increasing,True,0.0,-0.003772,0.003483,0.289,False,0.0,40.0,0.8222,0.3557,False
Winter Rape,1979-2018,pct_ge3,0.327,0.0018,0.004619,increasing,True,0.418,0.0001,0.007541,increasing,True,-0.002922,-0.002224,0.002,0.027,True,-0.056561,35.0,0.771,0.4579,False
Winter Rape,1999-2018,mean_suit,0.221,0.183,0.000296,no trend,False,0.347,0.0345,0.000823,increasing,True,-0.000527,-0.000585,0.000784,0.089,False,-0.000848,35.0,0.7898,0.4204,False
Winter Rape,1999-2018,pct_ge1,0.111,0.5146,0.005656,no trend,False,0.284,0.0807,0.024493,no trend,False,-0.018837,-0.023764,0.022569,0.091,False,0.0,40.0,0.8222,0.3557,False
Winter Rape,1999-2018,pct_ge3,0.174,0.2887,0.005185,no trend,False,0.363,0.0257,0.021482,increasing,True,-0.016297,-0.016034,0.01617,0.048,True,-0.056561,35.0,0.771,0.4579,False
Spring Rape,1979-2018,mean_suit,0.492,0.0,0.003942,increasing,True,0.431,0.0001,0.00229,increasing,True,0.001652,-0.000849,0.000876,0.001,True,0.052036,80.0,0.0032,0.0064,True
Spring Rape,1979-2018,pct_ge1,0.462,0.0,0.104369,increasing,True,0.217,0.0501,0.032321,no trend,False,0.072048,-0.036926,0.037583,0.001,True,2.121041,80.0,0.0018,0.0036,True
Spring Rape,1979-2018,pct_ge3,0.532,0.0,0.10299,increasing,True,0.485,0.0,0.067101,increasing,True,0.035889,-0.022928,0.021596,0.003,True,1.187783,80.0,0.0029,0.0057,True
Spring Rape,1999-2018,mean_suit,0.068,0.6969,0.000519,no trend,False,0.005,1.0,0.000141,no trend,False,0.000378,-0.002737,0.003092,0.717,False,0.052036,80.0,0.0032,0.0064,True
Spring Rape,1999-2018,pct_ge1,0.074,0.6729,0.034372,no trend,False,-0.058,0.7451,-0.009855,no trend,False,0.044227,-0.123734,0.106441,0.376,False,2.121041,80.0,0.0018,0.0036,True
Spring Rape,1999-2018,pct_ge3,0.053,0.7701,0.015554,no trend,False,0.037,0.8453,0.009191,no trend,False,0.006363,-0.072278,0.071416,0.792,False,1.187783,80.0,0.0029,0.0057,True
OVERALL,1979-2018,mean_suit,0.595,0.0,0.001849,increasing,True,0.531,0.0,0.001669,increasing,True,0.00018,-0.000337,0.000344,0.27,False,0.010633,75.0,0.012,0.024,True
OVERALL,1979-2018,pct_ge1,0.554,0.0,0.068735,increasing,True,0.471,0.0,0.050482,increasing,True,0.018253,-0.017163,0.014325,0.027,True,0.427036,75.0,0.0132,0.0263,True
