crop,metric,cum_final,p_value,significant
Winter Barley,suitability,0.1527,0.474,False
Winter Barley,total_yield,391710.811,0.34,False
Winter Barley,area,3120.0,0.773,False
Spring Barley,suitability,0.0543,0.217,False
Spring Barley,total_yield,60235.057,0.254,False
Spring Barley,area,3978.0,0.069,False
Winter Wheat,suitability,0.1488,0.443,False
Winter Wheat,total_yield,384873.2784,0.321,False
Winter Wheat,area,3120.0,0.786,False
Spring Wheat,suitability,0.0628,0.159,False
Spring Wheat,total_yield,68457.3728,0.18,False
Spring Wheat,area,3978.0,0.08,False
Silage Maize,suitability,0.1442,0.007,True
Silage Maize,total_yield,80369.516,0.012,True
Silage Maize,area,9438.0,0.013,True
White Potato,suitability,0.4072,0.008,True
White Potato,total_yield,39441.2682,0.006,True
White Potato,area,42276.0,0.004,True
Oat,suitability,0.5147,0.068,False
Oat,total_yield,57437.4884,0.041,True
Oat,area,28938.0,0.041,True
Dry Pea,suitability,0.0452,0.285,False
Dry Pea,total_yield,4326.1537,0.213,False
Dry Pea,area,3198.0,0.109,False
Winter Rape,suitability,-0.1001,0.265,False
Winter Rape,total_yield,-9269.0259,0.245,False
Winter Rape,area,-6318.0,0.207,False
Spring Rape,suitability,0.7732,0.015,True
Spring Rape,total_yield,78553.2477,0.02,True
Spring Rape,area,43446.0,0.005,True
OVERALL,suitability,0.2203,0.015,True
OVERALL,total_yield_norm,7.9571,0.054,False
OVERALL,area,135174.0,0.025,True
