crop,variable,bin_lo,bin_hi,bin_mid,mean_delta,n_pixels
Winter Barley,elevation,2000,2500,2250.0,0.01667,3
Winter Barley,elevation,2500,3000,2750.0,-0.02059,85
Winter Barley,elevation,3000,3500,3250.0,0.02682,535
Winter Barley,elevation,3500,4000,3750.0,0.00147,579
Winter Barley,elevation,4000,4500,4250.0,0.0,483
Winter Barley,elevation,4500,5000,4750.0,0.0,80
Winter Barley,elevation,5000,5500,5250.0,0.0,3
Spring Barley,elevation,2000,2500,2250.0,0.0,3
Spring Barley,elevation,2500,3000,2750.0,0.01059,85
Spring Barley,elevation,3000,3500,3250.0,0.00598,535
Spring Barley,elevation,3500,4000,3750.0,0.00121,579
Spring Barley,elevation,4000,4500,4250.0,0.0,483
Spring Barley,elevation,4500,5000,4750.0,0.0,80
Spring Barley,elevation,5000,5500,5250.0,0.0,3
Winter Wheat,elevation,2000,2500,2250.0,0.01667,3
Winter Wheat,elevation,2500,3000,2750.0,-0.02059,85
Winter Wheat,elevation,3000,3500,3250.0,0.02617,535
Winter Wheat,elevation,3500,4000,3750.0,0.00147,579
Winter Wheat,elevation,4000,4500,4250.0,0.0,483
Winter Wheat,elevation,4500,5000,4750.0,0.0,80
Winter Wheat,elevation,5000,5500,5250.0,0.0,3
Spring Wheat,elevation,2000,2500,2250.0,0.0,3
Spring Wheat,elevation,2500,3000,2750.0,0.01118,85
Spring Wheat,elevation,3000,3500,3250.0,0.00729,535
Spring Wheat,elevation,3500,4000,3750.0,0.00121,579
Spring Wheat,elevation,4000,4500,4250.0,0.0,483
Spring Wheat,elevation,4500,5000,4750.0,0.0,80
Spring Wheat,elevation,5000,5500,5250.0,0.0,3
Silage Maize,elevation,2000,2500,2250.0,0.0,3
Silage Maize,elevation,2500,3000,2750.0,0.01,85
Silage Maize,elevation,3000,3500,3250.0,0.01935,535
Silage Maize,elevation,3500,4000,3750.0,0.00121,579
Silage Maize,elevation,4000,4500,4250.0,0.00176,483
Silage Maize,elevation,4500,5000,4750.0,0.0,80
Silage Maize,elevation,5000,5500,5250.0,0.0,3
White Potato,elevation,2000,2500,2250.0,0.0,3
White Potato,elevation,2500,3000,2750.0,0.03176,85
White Potato,elevation,3000,3500,3250.0,0.02495,535
White Potato,elevation,3500,4000,3750.0,0.02651,579
White Potato,elevation,4000,4500,4250.0,0.0087,483
White Potato,elevation,4500,5000,4750.0,0.005,80
White Potato,elevation,5000,5500,5250.0,0.0,3
Oat,elevation,2000,2500,2250.0,0.05,3
Oat,elevation,2500,3000,2750.0,0.03706,85
Oat,elevation,3000,3500,3250.0,0.0571,535
Oat,elevation,3500,4000,3750.0,0.01943,579
Oat,elevation,4000,4500,4250.0,0.00083,483
Oat,elevation,4500,5000,4750.0,0.0,80
Oat,elevation,5000,5500,5250.0,0.0,3
Dry Pea,elevation,2000,2500,2250.0,0.0,3
Dry Pea,elevation,2500,3000,2750.0,0.00941,85
Dry Pea,elevation,3000,3500,3250.0,0.00486,535
Dry Pea,elevation,3500,4000,3750.0,0.00104,579
Dry Pea,elevation,4000,4500,4250.0,0.0,483
Dry Pea,elevation,4500,5000,4750.0,0.0,80
Dry Pea,elevation,5000,5500,5250.0,0.0,3
Winter Rape,elevation,2000,2500,2250.0,-0.08333,3
Winter Rape,elevation,2500,3000,2750.0,-0.04353,85
Winter Rape,elevation,3000,3500,3250.0,-0.00925,535
Winter Rape,elevation,3500,4000,3750.0,9e-05,579
Winter Rape,elevation,4000,4500,4250.0,0.0,483
Winter Rape,elevation,4500,5000,4750.0,0.0,80
Winter Rape,elevation,5000,5500,5250.0,0.0,3
Spring Rape,elevation,2000,2500,2250.0,0.0,3
Spring Rape,elevation,2500,3000,2750.0,0.05824,85
Spring Rape,elevation,3000,3500,3250.0,0.03,535
Spring Rape,elevation,3500,4000,3750.0,0.06114,579
Spring Rape,elevation,4000,4500,4250.0,0.0234,483
Spring Rape,elevation,4500,5000,4750.0,0.00813,80
Spring Rape,elevation,5000,5500,5250.0,0.0,3
OVERALL,elevation,2000,2500,2250.0,-0.0,3
OVERALL,elevation,2500,3000,2750.0,0.00835,85
OVERALL,elevation,3000,3500,3250.0,0.01933,535
OVERALL,elevation,3500,4000,3750.0,0.01148,579
OVERALL,elevation,4000,4500,4250.0,0.00347,483
OVERALL,elevation,4500,5000,4750.0,0.00131,80
OVERALL,elevation,5000,5500,5250.0,0.0,3
