crop,median_delta,pct_years_positive,p_two_sided,p_greater_zero,significant
Winter Barley,0.0082,55.0,0.3317,0.1658,False
Spring Barley,0.00283,55.0,0.2718,0.1359,False
Winter Wheat,0.0082,55.0,0.3683,0.1841,False
Spring Wheat,0.00255,55.0,0.1728,0.0864,False
Silage Maize,0.00452,75.0,0.0086,0.0043,True
White Potato,0.02149,80.0,0.0061,0.003,True
Oat,0.0099,75.0,0.0239,0.0119,True
Dry Pea,0.0017,60.0,0.1625,0.0812,False
Winter Rape,-0.00085,35.0,0.4203,0.7898,False
Spring Rape,0.05204,80.0,0.0064,0.0032,True
