crop,variable,bin_lo,bin_hi,bin_mid,mean_delta,n_pixels
Winter Barley,elevation,2000,2500,2250.0,,0
Winter Barley,elevation,2500,3000,2750.0,,0
Winter Barley,elevation,3000,3500,3250.0,0.0,17
Winter Barley,elevation,3500,4000,3750.0,0.00251,339
Winter Barley,elevation,4000,4500,4250.0,0.0,479
Winter Barley,elevation,4500,5000,4750.0,0.0,80
Winter Barley,elevation,5000,5500,5250.0,0.0,3
Spring Barley,elevation,2000,2500,2250.0,,0
Spring Barley,elevation,2500,3000,2750.0,,0
Spring Barley,elevation,3000,3500,3250.0,0.0,17
Spring Barley,elevation,3500,4000,3750.0,-0.00059,339
Spring Barley,elevation,4000,4500,4250.0,0.0,479
Spring Barley,elevation,4500,5000,4750.0,0.0,80
Spring Barley,elevation,5000,5500,5250.0,0.0,3
Winter Wheat,elevation,2000,2500,2250.0,,0
Winter Wheat,elevation,2500,3000,2750.0,,0
Winter Wheat,elevation,3000,3500,3250.0,0.0,17
Winter Wheat,elevation,3500,4000,3750.0,0.00251,339
Winter Wheat,elevation,4000,4500,4250.0,0.0,479
Winter Wheat,elevation,4500,5000,4750.0,0.0,80
Winter Wheat,elevation,5000,5500,5250.0,0.0,3
Spring Wheat,elevation,2000,2500,2250.0,,0
Spring Wheat,elevation,2500,3000,2750.0,,0
Spring Wheat,elevation,3000,3500,3250.0,0.0,17
Spring Wheat,elevation,3500,4000,3750.0,-0.00044,339
Spring Wheat,elevation,4000,4500,4250.0,0.0,479
Spring Wheat,elevation,4500,5000,4750.0,0.0,80
Spring Wheat,elevation,5000,5500,5250.0,0.0,3
Silage Maize,elevation,2000,2500,2250.0,,0
Silage Maize,elevation,2500,3000,2750.0,,0
Silage Maize,elevation,3000,3500,3250.0,0.0,17
Silage Maize,elevation,3500,4000,3750.0,0.00133,339
Silage Maize,elevation,4000,4500,4250.0,0.00177,479
Silage Maize,elevation,4500,5000,4750.0,0.0,80
Silage Maize,elevation,5000,5500,5250.0,0.0,3
White Potato,elevation,2000,2500,2250.0,,0
White Potato,elevation,2500,3000,2750.0,,0
White Potato,elevation,3000,3500,3250.0,0.0,17
White Potato,elevation,3500,4000,3750.0,0.01578,339
White Potato,elevation,4000,4500,4250.0,0.00877,479
White Potato,elevation,4500,5000,4750.0,0.005,80
White Potato,elevation,5000,5500,5250.0,0.0,3
Oat,elevation,2000,2500,2250.0,,0
Oat,elevation,2500,3000,2750.0,,0
Oat,elevation,3000,3500,3250.0,0.0,17
Oat,elevation,3500,4000,3750.0,0.00752,339
Oat,elevation,4000,4500,4250.0,0.00084,479
Oat,elevation,4500,5000,4750.0,0.0,80
Oat,elevation,5000,5500,5250.0,0.0,3
Dry Pea,elevation,2000,2500,2250.0,,0
Dry Pea,elevation,2500,3000,2750.0,,0
Dry Pea,elevation,3000,3500,3250.0,0.0,17
Dry Pea,elevation,3500,4000,3750.0,0.0,339
Dry Pea,elevation,4000,4500,4250.0,0.0,479
Dry Pea,elevation,4500,5000,4750.0,0.0,80
Dry Pea,elevation,5000,5500,5250.0,0.0,3
Winter Rape,elevation,2000,2500,2250.0,,0
Winter Rape,elevation,2500,3000,2750.0,,0
Winter Rape,elevation,3000,3500,3250.0,0.0,17
Winter Rape,elevation,3500,4000,3750.0,-0.00015,339
Winter Rape,elevation,4000,4500,4250.0,0.0,479
Winter Rape,elevation,4500,5000,4750.0,0.0,80
Winter Rape,elevation,5000,5500,5250.0,0.0,3
Spring Rape,elevation,2000,2500,2250.0,,0
Spring Rape,elevation,2500,3000,2750.0,,0
Spring Rape,elevation,3000,3500,3250.0,0.0,17
Spring Rape,elevation,3500,4000,3750.0,0.04218,339
Spring Rape,elevation,4000,4500,4250.0,0.02359,479
Spring Rape,elevation,4500,5000,4750.0,0.00813,80
Spring Rape,elevation,5000,5500,5250.0,0.0,3
OVERALL,elevation,2000,2500,2250.0,,0
OVERALL,elevation,2500,3000,2750.0,,0
OVERALL,elevation,3000,3500,3250.0,0.0,17
OVERALL,elevation,3500,4000,3750.0,0.00706,339
OVERALL,elevation,4000,4500,4250.0,0.0035,479
OVERALL,elevation,4500,5000,4750.0,0.00131,80
OVERALL,elevation,5000,5500,5250.0,0.0,3
