crop,variable,bin_lo,bin_hi,bin_mid,mean_delta,n_pixels
Winter Barley,elevation,2000.0,2500.0,2250.0,,0
Winter Barley,elevation,2500.0,3000.0,2750.0,,0
Winter Barley,elevation,3000.0,3500.0,3250.0,0.0,17
Winter Barley,elevation,3500.0,4000.0,3750.0,0.00251,339
Winter Barley,elevation,4000.0,4500.0,4250.0,0.0,479
Winter Barley,elevation,4500.0,5000.0,4750.0,0.0,80
Winter Barley,elevation,5000.0,5500.0,5250.0,0.0,3
Spring Barley,elevation,2000.0,2500.0,2250.0,,0
Spring Barley,elevation,2500.0,3000.0,2750.0,,0
Spring Barley,elevation,3000.0,3500.0,3250.0,0.0,17
Spring Barley,elevation,3500.0,4000.0,3750.0,-0.00059,339
Spring Barley,elevation,4000.0,4500.0,4250.0,0.0,479
Spring Barley,elevation,4500.0,5000.0,4750.0,0.0,80
Spring Barley,elevation,5000.0,5500.0,5250.0,0.0,3
Winter Wheat,elevation,2000.0,2500.0,2250.0,,0
Winter Wheat,elevation,2500.0,3000.0,2750.0,,0
Winter Wheat,elevation,3000.0,3500.0,3250.0,0.0,17
Winter Wheat,elevation,3500.0,4000.0,3750.0,0.00251,339
Winter Wheat,elevation,4000.0,4500.0,4250.0,0.0,479
Winter Wheat,elevation,4500.0,5000.0,4750.0,0.0,80
Winter Wheat,elevation,5000.0,5500.0,5250.0,0.0,3
Spring Wheat,elevation,2000.0,2500.0,2250.0,,0
Spring Wheat,elevation,2500.0,3000.0,2750.0,,0
Spring Wheat,elevation,3000.0,3500.0,3250.0,0.0,17
Spring Wheat,elevation,3500.0,4000.0,3750.0,-0.00044,339
Spring Wheat,elevation,4000.0,4500.0,4250.0,0.0,479
Spring Wheat,elevation,4500.0,5000.0,4750.0,0.0,80
Spring Wheat,elevation,5000.0,5500.0,5250.0,0.0,3
Silage Maize,elevation,2000.0,2500.0,2250.0,,0
Silage Maize,elevation,2500.0,3000.0,2750.0,,0
Silage Maize,elevation,3000.0,3500.0,3250.0,0.0,17
Silage Maize,elevation,3500.0,4000.0,3750.0,0.00133,339
Silage Maize,elevation,4000.0,4500.0,4250.0,0.00177,479
Silage Maize,elevation,4500.0,5000.0,4750.0,0.0,80
Silage Maize,elevation,5000.0,5500.0,5250.0,0.0,3
White Potato,elevation,2000.0,2500.0,2250.0,,0
White Potato,elevation,2500.0,3000.0,2750.0,,0
White Potato,elevation,3000.0,3500.0,3250.0,0.0,17
White Potato,elevation,3500.0,4000.0,3750.0,0.01578,339
White Potato,elevation,4000.0,4500.0,4250.0,0.00877,479
White Potato,elevation,4500.0,5000.0,4750.0,0.005,80
White Potato,elevation,5000.0,5500.0,5250.0,0.0,3
Oat,elevation,2000.0,2500.0,2250.0,,0
Oat,elevation,2500.0,3000.0,2750.0,,0
Oat,elevation,3000.0,3500.0,3250.0,0.0,17
Oat,elevation,3500.0,4000.0,3750.0,0.00752,339
Oat,elevation,4000.0,4500.0,4250.0,0.00084,479
Oat,elevation,4500.0,5000.0,4750.0,0.0,80
Oat,elevation,5000.0,5500.0,5250.0,0.0,3
Dry Pea,elevation,2000.0,2500.0,2250.0,,0
Dry Pea,elevation,2500.0,3000.0,2750.0,,0
Dry Pea,elevation,3000.0,3500.0,3250.0,0.0,17
Dry Pea,elevation,3500.0,4000.0,3750.0,0.0,339
Dry Pea,elevation,4000.0,4500.0,4250.0,0.0,479
Dry Pea,elevation,4500.0,5000.0,4750.0,0.0,80
Dry Pea,elevation,5000.0,5500.0,5250.0,0.0,3
Winter Rape,elevation,2000.0,2500.0,2250.0,,0
Winter Rape,elevation,2500.0,3000.0,2750.0,,0
Winter Rape,elevation,3000.0,3500.0,3250.0,0.0,17
Winter Rape,elevation,3500.0,4000.0,3750.0,-0.00015,339
Winter Rape,elevation,4000.0,4500.0,4250.0,0.0,479
Winter Rape,elevation,4500.0,5000.0,4750.0,0.0,80
Winter Rape,elevation,5000.0,5500.0,5250.0,0.0,3
Spring Rape,elevation,2000.0,2500.0,2250.0,,0
Spring Rape,elevation,2500.0,3000.0,2750.0,,0
Spring Rape,elevation,3000.0,3500.0,3250.0,0.0,17
Spring Rape,elevation,3500.0,4000.0,3750.0,0.04218,339
Spring Rape,elevation,4000.0,4500.0,4250.0,0.02359,479
Spring Rape,elevation,4500.0,5000.0,4750.0,0.00812,80
Spring Rape,elevation,5000.0,5500.0,5250.0,0.0,3
OVERALL,elevation,2000.0,2500.0,2250.0,,0
OVERALL,elevation,2500.0,3000.0,2750.0,,0
OVERALL,elevation,3000.0,3500.0,3250.0,0.0,17
OVERALL,elevation,3500.0,4000.0,3750.0,0.00706,339
OVERALL,elevation,4000.0,4500.0,4250.0,0.0035,479
OVERALL,elevation,4500.0,5000.0,4750.0,0.00131,80
OVERALL,elevation,5000.0,5500.0,5250.0,0.0,3
Winter Barley,slope,0.0,11.06,5.53,0.0,162
Winter Barley,slope,11.06,22.13,16.6,-0.00024,207
Winter Barley,slope,22.13,33.19,27.66,0.00398,226
Winter Barley,slope,33.19,44.26,38.73,0.0,159
Winter Barley,slope,44.26,55.32,49.79,0.0,111
Winter Barley,slope,55.32,66.39,60.86,0.0,43
Winter Barley,slope,66.39,78.0,72.19,0.0,10
Spring Barley,slope,0.0,11.06,5.53,0.0,162
Spring Barley,slope,11.06,22.13,16.6,0.0,207
Spring Barley,slope,22.13,33.19,27.66,-0.00088,226
Spring Barley,slope,33.19,44.26,38.73,0.0,159
Spring Barley,slope,44.26,55.32,49.79,0.0,111
Spring Barley,slope,55.32,66.39,60.86,0.0,43
Spring Barley,slope,66.39,78.0,72.19,0.0,10
Winter Wheat,slope,0.0,11.06,5.53,0.0,162
Winter Wheat,slope,11.06,22.13,16.6,-0.00024,207
Winter Wheat,slope,22.13,33.19,27.66,0.00398,226
Winter Wheat,slope,33.19,44.26,38.73,0.0,159
Winter Wheat,slope,44.26,55.32,49.79,0.0,111
Winter Wheat,slope,55.32,66.39,60.86,0.0,43
Winter Wheat,slope,66.39,78.0,72.19,0.0,10
Spring Wheat,slope,0.0,11.06,5.53,0.0,162
Spring Wheat,slope,11.06,22.13,16.6,0.0,207
Spring Wheat,slope,22.13,33.19,27.66,-0.00066,226
Spring Wheat,slope,33.19,44.26,38.73,0.0,159
Spring Wheat,slope,44.26,55.32,49.79,0.0,111
Spring Wheat,slope,55.32,66.39,60.86,0.0,43
Spring Wheat,slope,66.39,78.0,72.19,0.0,10
Silage Maize,slope,0.0,11.06,5.53,0.00525,162
Silage Maize,slope,11.06,22.13,16.6,0.00121,207
Silage Maize,slope,22.13,33.19,27.66,0.00088,226
Silage Maize,slope,33.19,44.26,38.73,0.0,159
Silage Maize,slope,44.26,55.32,49.79,0.0,111
Silage Maize,slope,55.32,66.39,60.86,0.0,43
Silage Maize,slope,66.39,78.0,72.19,0.0,10
White Potato,slope,0.0,11.06,5.53,0.02994,162
White Potato,slope,11.06,22.13,16.6,0.01594,207
White Potato,slope,22.13,33.19,27.66,0.00796,226
White Potato,slope,33.19,44.26,38.73,0.0,159
White Potato,slope,44.26,55.32,49.79,0.0,111
White Potato,slope,55.32,66.39,60.86,0.0,43
White Potato,slope,66.39,78.0,72.19,0.0,10
Oat,slope,0.0,11.06,5.53,0.0,162
Oat,slope,11.06,22.13,16.6,0.00531,207
Oat,slope,22.13,33.19,27.66,0.00819,226
Oat,slope,33.19,44.26,38.73,0.0,159
Oat,slope,44.26,55.32,49.79,0.0,111
Oat,slope,55.32,66.39,60.86,0.0,43
Oat,slope,66.39,78.0,72.19,0.0,10
