crop,period,obs_tau,obs_p,obs_slope,obs_significant,cf_tau,cf_p,cf_slope,cf_significant,slope_difference
Winter Barley,1979-2018,0.138,0.0437,0.0,True,0.06,0.1537,0.0,False,0.0
Winter Barley,1999-2018,-0.063,0.6574,0.0,False,0.037,0.706,0.0,False,0.0
Spring Barley,1979-2018,0.063,0.1366,0.0,False,0.058,0.2586,0.0,False,0.0
Spring Barley,1999-2018,0.047,0.615,0.0,False,-0.079,0.4587,0.0,False,0.0
Winter Wheat,1979-2018,0.138,0.0437,0.0,True,0.06,0.1537,0.0,False,0.0
Winter Wheat,1999-2018,-0.063,0.6574,0.0,False,0.037,0.706,0.0,False,0.0
Spring Wheat,1979-2018,0.062,0.1447,0.0,False,0.055,0.2813,0.0,False,0.0
Spring Wheat,1999-2018,0.042,0.6592,0.0,False,-0.089,0.3989,0.0,False,0.0
Silage Maize,1979-2018,-0.114,0.2739,0.0,False,-0.213,0.0312,0.0,True,0.0
Silage Maize,1999-2018,-0.116,0.4378,0.0,False,0.026,0.8509,0.0,False,0.0
White Potato,1979-2018,0.479,0.0,0.000545,True,0.282,0.0102,0.000136,True,0.000409
White Potato,1999-2018,0.163,0.3289,0.000376,False,0.026,0.896,0.0,False,0.000376
Oat,1979-2018,0.417,0.0001,0.000247,True,0.378,0.0004,0.000182,True,6.5e-05
Oat,1999-2018,0.063,0.7199,0.000141,False,0.053,0.7674,0.0,False,0.000141
Dry Pea,1979-2018,0.065,0.1996,0.0,False,0.065,0.1996,0.0,False,0.0
Dry Pea,1999-2018,-0.047,0.6731,0.0,False,-0.047,0.6731,0.0,False,0.0
Winter Rape,1979-2018,0.0,1.0,0.0,False,0.027,0.3863,0.0,False,0.0
Winter Rape,1999-2018,0.0,1.0,0.0,False,0.005,1.0,0.0,False,0.0
Spring Rape,1979-2018,0.505,0.0,0.001173,True,0.349,0.0015,0.000261,True,0.000912
Spring Rape,1999-2018,0.074,0.6732,0.000682,False,-0.047,0.7935,0.0,False,0.000682
