crop,period,obs_tau,obs_p,obs_slope,obs_significant,cf_tau,cf_p,cf_slope,cf_significant,slope_difference
Winter Barley,1979-2018,0.559,0.0,0.00485,True,0.528,0.0,0.003702,True,0.001148
Winter Barley,1999-2018,0.3,0.0691,0.005898,False,0.316,0.0556,0.005485,False,0.000413
Spring Barley,1979-2018,0.464,0.0,0.001502,True,0.435,0.0001,0.000934,True,0.000568
Spring Barley,1999-2018,0.089,0.6035,0.001103,False,0.084,0.6261,0.001132,False,-2.9e-05
Winter Wheat,1979-2018,0.56,0.0,0.004831,True,0.528,0.0,0.00369,True,0.001141
Winter Wheat,1999-2018,0.295,0.074,0.005898,False,0.316,0.0556,0.005381,False,0.000517
Spring Wheat,1979-2018,0.482,0.0,0.00151,True,0.459,0.0,0.000906,True,0.000604
Spring Wheat,1999-2018,0.121,0.4747,0.001418,False,0.142,0.3982,0.001208,False,0.00021
Silage Maize,1979-2018,0.468,0.0,0.00155,True,0.449,0.0,0.001208,True,0.000342
Silage Maize,1999-2018,-0.021,0.9224,-0.000257,False,0.121,0.4747,0.00068,False,-0.000937
White Potato,1979-2018,0.383,0.0005,0.004489,True,0.291,0.0084,0.003316,True,0.001173
White Potato,1999-2018,0.158,0.3463,0.00514,False,0.132,0.4359,0.004982,False,0.000158
Oat,1979-2018,0.417,0.0002,0.01087,True,0.369,0.0008,0.007586,True,0.003284
Oat,1999-2018,0.053,0.7703,0.00468,False,-0.011,0.9741,-0.000636,False,0.005316
Dry Pea,1979-2018,0.512,0.0,0.001668,True,0.455,0.0,0.001081,True,0.000587
Dry Pea,1999-2018,0.095,0.5803,0.001012,False,0.058,0.7455,0.000604,False,0.000408
Winter Rape,1979-2018,0.377,0.0006,0.000506,True,0.414,0.0001,0.000604,True,-9.8e-05
Winter Rape,1999-2018,0.221,0.183,0.000631,False,0.347,0.0345,0.001757,True,-0.001126
Spring Rape,1979-2018,0.488,0.0,0.006936,True,0.374,0.0007,0.003813,True,0.003123
Spring Rape,1999-2018,0.074,0.6729,0.001294,False,-0.032,0.8711,-0.000449,False,0.001743
