year,n_changed_total,n_pos_total,n_neg_total,n_zeroed_total,mean_diff_mean,sum_diff_total,pct_pos_mean,n_crops
1979,11,0,11,11,-0.002688172043010753,-17.0,0.0,4
1980,9,0,9,6,-0.002213788741302973,-14.0,0.0,4
1981,91,9,82,72,-0.015180265654648957,-96.0,9.054054054054054,4
1982,12,2,10,10,-0.003795066413662239,-24.0,16.666666666666668,4
1983,13,4,9,9,-0.0007906388361796331,-5.0,35.55555555555556,4
1984,16,0,16,16,-0.004269449715370019,-27.0,0.0,4
1985,93,28,65,64,-0.013282732447817837,-84.0,15.555555555555555,4
1986,41,4,37,36,-0.01075268817204301,-68.0,7.017543859649123,4
1987,158,23,135,135,-0.033214940235813104,-478.0,9.89010989010989,4
1988,153,11,142,138,-0.06293485135989879,-398.0,15.23972602739726,4
1989,178,15,163,162,-0.02993480270520119,-433.0,5.600988159127694,4
1990,34,8,26,24,-0.009487666034155597,-60.0,35.0,4
1991,147,13,134,129,-0.07099936748893106,-449.0,22.137047540273347,4
1992,149,41,108,108,-0.05218216318785579,-330.0,50.342465753424655,4
1993,142,8,134,134,-0.020082226438962684,-127.0,36.19047619047619,4
1994,169,25,144,143,-0.035895003162555346,-227.0,9.978007267163894,4
1995,35,6,29,26,-0.009329538266919672,-59.0,9.375,4
1996,136,3,133,126,-0.026407337128399745,-167.0,41.66666666666667,4
1997,110,22,88,88,-0.04112538315574369,-255.0,38.03986710963456,4
1998,158,63,95,92,-0.009690393940868324,-138.0,33.02373581011352,4
1999,49,24,25,19,-0.0009852576266238505,-13.0,28.571428571428573,4
2000,91,32,59,57,-0.022575779691529217,-136.0,44.41873732251521,4
2001,65,39,26,15,0.004901960784313725,31.0,57.932330827067666,4
2002,247,69,178,171,-0.08825151235018408,-588.0,29.174068412790216,4
2003,115,28,87,80,-0.011162198543602718,-171.0,33.11791383219954,4
2004,191,24,167,160,-0.08254269449715369,-522.0,54.61715703651188,4
2005,207,74,133,130,-0.02643571903533953,-390.0,50.868037812979054,4
2006,293,60,233,229,-0.055296063834963265,-744.0,32.983429613864395,4
2007,99,41,58,49,-0.0061791465966039025,-78.0,34.71916971916972,4
2008,158,75,83,82,-0.010752688172043012,-156.0,55.58145558145558,4
2009,188,44,144,132,-0.030628132146158712,-434.0,22.337164750957854,4
2010,213,106,107,106,-0.026520864756158873,-179.0,48.77909303256186,4
2011,194,65,129,128,-0.02007006276455992,-308.0,56.232492997198875,4
2012,156,40,116,115,-0.008230753012536694,-144.0,48.686974789915965,4
2013,101,49,52,51,-0.00014596409283316303,-6.0,60.90425531914894,4
2014,128,25,103,102,-0.018427966720186834,-257.0,20.911016949152543,4
2015,177,23,154,152,-0.037743881671775406,-545.0,14.705086580086581,4
2016,221,44,177,165,-0.040646945295901654,-569.0,24.55712771133332,4
2017,249,100,149,147,-0.06894370651486402,-436.0,48.77685676392573,4
2018,206,80,126,119,-0.033373068003049025,-413.0,31.92065257693734,4
