crop,year,n_changed,n_pos,n_neg,n_zeroed,mean_diff,mean_diff_changed,sum_diff,pct_pos,pct_neg
combined_winter_barley,1979,2,0,2,2,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_winter_barley,1980,3,0,3,2,-0.002530044275774826,-1.3333333333333333,-4.0,0.0,100.0
combined_winter_barley,1981,37,3,34,34,-0.026565464895635674,-1.135135135135135,-42.0,8.108108108108109,91.89189189189189
combined_winter_barley,1982,6,1,5,5,-0.007590132827324478,-2.0,-12.0,16.666666666666668,83.33333333333333
combined_winter_barley,1983,5,1,4,4,-0.0018975332068311196,-0.6,-3.0,20.0,80.0
combined_winter_barley,1984,8,0,8,8,-0.008222643896268185,-1.625,-13.0,0.0,100.0
combined_winter_barley,1985,45,14,31,31,-0.024667931688804556,-0.8666666666666667,-39.0,31.11111111111111,68.88888888888889
combined_winter_barley,1986,19,2,17,17,-0.0196078431372549,-1.631578947368421,-31.0,10.526315789473685,89.47368421052632
combined_winter_barley,1987,78,12,66,66,-0.065343258891646,-3.0384615384615383,-237.0,15.384615384615385,84.61538461538461
combined_winter_barley,1988,73,4,69,69,-0.12460468058191018,-2.6986301369863015,-197.0,5.47945205479452,94.52054794520548
combined_winter_barley,1989,91,10,81,81,-0.05845051006341329,-2.32967032967033,-212.0,10.989010989010989,89.01098901098901
combined_winter_barley,1990,15,3,12,12,-0.018342820999367487,-1.9333333333333333,-29.0,20.0,80.0
combined_winter_barley,1991,63,2,61,61,-0.13535736875395318,-3.3968253968253967,-214.0,3.1746031746031744,96.82539682539682
combined_winter_barley,1992,72,18,54,54,-0.10815939278937381,-2.375,-171.0,25.0,75.0
combined_winter_barley,1993,70,3,67,67,-0.04174573055028463,-0.9428571428571428,-66.0,4.285714285714286,95.71428571428571
combined_winter_barley,1994,84,13,71,71,-0.07020872865275142,-1.3214285714285714,-111.0,15.476190476190476,84.52380952380952
combined_winter_barley,1995,16,3,13,12,-0.017077798861480076,-1.6875,-27.0,18.75,81.25
combined_winter_barley,1996,63,0,63,63,-0.041113219481340925,-1.0317460317460319,-65.0,0.0,100.0
combined_winter_barley,1997,43,2,41,41,-0.08349146110056926,-3.0697674418604652,-132.0,4.651162790697675,95.34883720930233
combined_winter_barley,1998,68,30,38,38,-0.016818307140887785,-0.8970588235294118,-61.0,44.11764705882353,55.88235294117647
combined_winter_barley,1999,21,12,9,9,-0.0005514199062586159,-0.09523809523809523,-2.0,57.142857142857146,42.857142857142854
combined_winter_barley,2000,29,3,26,26,-0.04743833017077799,-2.586206896551724,-75.0,10.344827586206897,89.65517241379311
combined_winter_barley,2001,20,13,7,7,0.004427577482605946,0.35,7.0,65.0,35.0
combined_winter_barley,2002,104,30,74,74,-0.1657179000632511,-2.519230769230769,-262.0,28.846153846153847,71.15384615384616
combined_winter_barley,2003,50,10,40,38,-0.02481389578163772,-1.8,-90.0,20.0,80.0
combined_winter_barley,2004,93,9,84,80,-0.16635041113219481,-2.827956989247312,-263.0,9.67741935483871,90.3225806451613
combined_winter_barley,2005,103,38,65,65,-0.05266060104769782,-1.854368932038835,-191.0,36.89320388349515,63.10679611650485
combined_winter_barley,2006,117,15,102,102,-0.09181141439205956,-2.8461538461538463,-333.0,12.820512820512821,87.17948717948718
combined_winter_barley,2007,36,16,20,20,-0.010476978218913703,-1.0555555555555556,-38.0,44.44444444444444,55.55555555555556
combined_winter_barley,2008,66,26,40,40,-0.023986765922249794,-1.3181818181818181,-87.0,39.39393939393939,60.60606060606061
combined_winter_barley,2009,87,20,67,66,-0.05900192996967191,-2.4597701149425286,-214.0,22.988505747126435,77.01149425287356
combined_winter_barley,2010,49,20,29,29,-0.03415559772296015,-1.1020408163265305,-54.0,40.816326530612244,59.183673469387756
combined_winter_barley,2011,85,22,63,63,-0.04521643231320651,-1.9294117647058824,-164.0,25.88235294117647,74.11764705882354
combined_winter_barley,2012,68,11,57,57,-0.022608216156603255,-1.2058823529411764,-82.0,16.176470588235293,83.82352941176471
combined_winter_barley,2013,47,22,25,25,-0.0011028398125172319,-0.0851063829787234,-4.0,46.808510638297875,53.191489361702125
combined_winter_barley,2014,59,11,48,48,-0.03418803418803419,-2.1016949152542375,-124.0,18.64406779661017,81.35593220338983
combined_winter_barley,2015,88,13,75,75,-0.07389026743865454,-3.0454545454545454,-268.0,14.772727272727273,85.22727272727273
combined_winter_barley,2016,107,25,82,82,-0.07444168734491315,-2.5233644859813085,-270.0,23.364485981308412,76.6355140186916
combined_winter_barley,2017,104,38,66,66,-0.13029728020240355,-1.9807692307692308,-206.0,36.53846153846154,63.46153846153846
combined_winter_barley,2018,93,39,54,53,-0.04880066170388751,-1.903225806451613,-177.0,41.935483870967744,58.064516129032256
combined_winter_wheat,1979,2,0,2,2,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_winter_wheat,1980,3,0,3,2,-0.002530044275774826,-1.3333333333333333,-4.0,0.0,100.0
combined_winter_wheat,1981,37,3,34,34,-0.026565464895635674,-1.135135135135135,-42.0,8.108108108108109,91.89189189189189
combined_winter_wheat,1982,6,1,5,5,-0.007590132827324478,-2.0,-12.0,16.666666666666668,83.33333333333333
combined_winter_wheat,1983,5,1,4,4,-0.0018975332068311196,-0.6,-3.0,20.0,80.0
combined_winter_wheat,1984,8,0,8,8,-0.008855154965211892,-1.75,-14.0,0.0,100.0
combined_winter_wheat,1985,45,14,31,31,-0.024667931688804556,-0.8666666666666667,-39.0,31.11111111111111,68.88888888888889
combined_winter_wheat,1986,19,2,17,17,-0.0196078431372549,-1.631578947368421,-31.0,10.526315789473685,89.47368421052632
combined_winter_wheat,1987,77,11,66,66,-0.06561896884477529,-3.090909090909091,-238.0,14.285714285714286,85.71428571428571
combined_winter_wheat,1988,73,4,69,69,-0.1265022137887413,-2.73972602739726,-200.0,5.47945205479452,94.52054794520548
combined_winter_wheat,1989,86,5,81,81,-0.060656189688447756,-2.558139534883721,-220.0,5.813953488372093,94.18604651162791
combined_winter_wheat,1990,15,3,12,12,-0.0196078431372549,-2.066666666666667,-31.0,20.0,80.0
combined_winter_wheat,1991,62,1,61,61,-0.14041745730550284,-3.5806451612903225,-222.0,1.6129032258064515,98.38709677419355
combined_winter_wheat,1992,73,19,54,54,-0.10309930423782417,-2.232876712328767,-163.0,26.027397260273972,73.97260273972603
combined_winter_wheat,1993,70,3,67,67,-0.04174573055028463,-0.9428571428571428,-66.0,4.285714285714286,95.71428571428571
combined_winter_wheat,1994,83,12,71,71,-0.07020872865275142,-1.3373493975903614,-111.0,14.457831325301205,85.5421686746988
combined_winter_wheat,1995,16,3,13,12,-0.017710309930423784,-1.75,-28.0,18.75,81.25
combined_winter_wheat,1996,69,0,69,63,-0.0683111954459203,-1.565217391304348,-108.0,0.0,100.0
combined_winter_wheat,1997,43,2,41,41,-0.08159392789373814,-3.0,-129.0,4.651162790697675,95.34883720930233
combined_winter_wheat,1998,68,30,38,38,-0.016542597187758478,-0.8823529411764706,-60.0,44.11764705882353,55.88235294117647
combined_winter_wheat,1999,21,12,9,9,-0.0005514199062586159,-0.09523809523809523,-2.0,57.142857142857146,42.857142857142854
combined_winter_wheat,2000,29,3,26,26,-0.04743833017077799,-2.586206896551724,-75.0,10.344827586206897,89.65517241379311
combined_winter_wheat,2001,19,12,7,7,0.003795066413662239,0.3157894736842105,6.0,63.1578947368421,36.8421052631579
combined_winter_wheat,2002,98,24,74,74,-0.17267552182163187,-2.7857142857142856,-273.0,24.489795918367346,75.51020408163265
combined_winter_wheat,2003,49,10,39,38,-0.0242624758753791,-1.7959183673469388,-88.0,20.408163265306122,79.59183673469387
combined_winter_wheat,2004,91,8,83,80,-0.16824794433902593,-2.923076923076923,-266.0,8.791208791208792,91.20879120879121
combined_winter_wheat,2005,95,30,65,65,-0.05624483043837883,-2.1473684210526316,-204.0,31.57894736842105,68.42105263157895
combined_winter_wheat,2006,115,13,102,102,-0.09594706368899918,-3.026086956521739,-348.0,11.304347826086957,88.69565217391305
combined_winter_wheat,2007,39,19,20,20,-0.008547008547008548,-0.7948717948717948,-31.0,48.717948717948715,51.282051282051285
combined_winter_wheat,2008,65,25,40,40,-0.02481389578163772,-1.3846153846153846,-90.0,38.46153846153846,61.53846153846154
combined_winter_wheat,2009,87,21,66,66,-0.05845051006341329,-2.4367816091954024,-212.0,24.137931034482758,75.86206896551724
combined_winter_wheat,2010,51,22,29,29,-0.03415559772296015,-1.0588235294117647,-54.0,43.13725490196079,56.86274509803921
combined_winter_wheat,2011,90,27,63,63,-0.04328646264130135,-1.7444444444444445,-157.0,30.0,70.0
combined_winter_wheat,2012,70,13,57,57,-0.022332506203473945,-1.1571428571428573,-81.0,18.571428571428573,81.42857142857143
combined_winter_wheat,2013,47,22,25,25,-0.0013785497656465398,-0.10638297872340426,-5.0,46.808510638297875,53.191489361702125
combined_winter_wheat,2014,60,12,48,48,-0.034463744141163495,-2.0833333333333335,-125.0,20.0,80.0
combined_winter_wheat,2015,84,9,75,75,-0.07582023711055969,-3.2738095238095237,-275.0,10.714285714285714,89.28571428571429
combined_winter_wheat,2016,99,17,82,82,-0.07802591673559416,-2.8585858585858586,-283.0,17.171717171717173,82.82828282828282
combined_winter_wheat,2017,100,34,66,66,-0.13725490196078433,-2.17,-217.0,34.0,66.0
combined_winter_wheat,2018,87,34,53,53,-0.04990350151640474,-2.0804597701149423,-181.0,39.08045977011494,60.91954022988506
combined_dry_pea,1979,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1980,2,0,2,1,-0.0018975332068311196,-1.5,-3.0,0.0,100.0
combined_dry_pea,1981,15,3,12,3,-0.006325110689437065,-0.6666666666666666,-10.0,20.0,80.0
combined_dry_pea,1982,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1983,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1984,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1985,2,0,2,1,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_dry_pea,1986,3,0,3,2,-0.003795066413662239,-2.0,-6.0,0.0,100.0
combined_dry_pea,1987,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1988,6,3,3,0,0.0,0.0,0.0,50.0,50.0
combined_dry_pea,1989,1,0,1,0,-0.0006325110689437065,-1.0,-1.0,0.0,100.0
combined_dry_pea,1990,2,2,0,0,0.001265022137887413,1.0,2.0,100.0,0.0
combined_dry_pea,1991,13,8,5,5,-0.002530044275774826,-0.3076923076923077,-4.0,61.53846153846154,38.46153846153846
combined_dry_pea,1992,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1993,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1994,2,0,2,1,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_dry_pea,1995,2,0,2,1,-0.0018975332068311196,-1.5,-3.0,0.0,100.0
combined_dry_pea,1996,1,1,0,0,0.0006325110689437065,1.0,1.0,100.0,0.0
combined_dry_pea,1997,3,2,1,1,-0.0018975332068311196,-1.0,-3.0,66.66666666666667,33.333333333333336
combined_dry_pea,1998,3,1,2,2,-0.001265022137887413,-0.6666666666666666,-2.0,33.333333333333336,66.66666666666667
combined_dry_pea,1999,1,0,1,0,-0.0006325110689437065,-1.0,-1.0,0.0,100.0
combined_dry_pea,2000,16,11,5,3,0.001265022137887413,0.125,2.0,68.75,31.25
combined_dry_pea,2001,12,3,9,0,0.003795066413662239,0.5,6.0,25.0,75.0
combined_dry_pea,2002,19,4,15,11,-0.008822718500137855,-1.6842105263157894,-32.0,21.05263157894737,78.94736842105263
combined_dry_pea,2003,9,7,2,0,0.007590132827324478,1.3333333333333333,12.0,77.77777777777777,22.22222222222222
combined_dry_pea,2004,3,3,0,0,0.0018975332068311196,1.0,3.0,100.0,0.0
combined_dry_pea,2005,4,3,1,0,0.0018975332068311196,0.75,3.0,75.0,25.0
combined_dry_pea,2006,39,19,20,16,-0.028462998102466792,-1.1538461538461537,-45.0,48.717948717948715,51.282051282051285
combined_dry_pea,2007,10,1,9,1,-0.005060088551549652,-0.8,-8.0,10.0,90.0
combined_dry_pea,2008,0,0,0,0,0.0,,0.0,,
combined_dry_pea,2009,9,2,7,0,-0.0031625553447185324,-0.5555555555555556,-5.0,22.22222222222222,77.77777777777777
combined_dry_pea,2010,43,22,21,20,-0.03225806451612903,-1.186046511627907,-51.0,51.16279069767442,48.83720930232558
combined_dry_pea,2011,12,10,2,1,0.005060088551549652,0.6666666666666666,8.0,83.33333333333333,16.666666666666668
combined_dry_pea,2012,5,3,2,1,0.0006325110689437065,0.2,1.0,60.0,40.0
combined_dry_pea,2013,3,3,0,0,0.0018975332068311196,1.0,3.0,100.0,0.0
combined_dry_pea,2014,4,1,3,2,-0.0031625553447185324,-1.25,-5.0,25.0,75.0
combined_dry_pea,2015,2,0,2,1,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_dry_pea,2016,13,1,12,1,-0.010120177103099304,-1.2307692307692308,-16.0,7.6923076923076925,92.3076923076923
combined_dry_pea,2017,16,10,6,4,0.0006325110689437065,0.0625,1.0,62.5,37.5
combined_dry_pea,2018,20,6,14,12,-0.03225806451612903,-2.55,-51.0,30.0,70.0
combined_silage_maize,1979,7,0,7,7,-0.004427577482605946,-1.0,-7.0,0.0,100.0
combined_silage_maize,1980,1,0,1,1,-0.0018975332068311196,-3.0,-3.0,0.0,100.0
combined_silage_maize,1981,2,0,2,1,-0.001265022137887413,-1.0,-2.0,0.0,100.0
combined_silage_maize,1982,0,0,0,0,0.0,,0.0,,
combined_silage_maize,1983,3,2,1,1,0.0006325110689437065,0.3333333333333333,1.0,66.66666666666667,33.333333333333336
combined_silage_maize,1984,0,0,0,0,0.0,,0.0,,
combined_silage_maize,1985,1,0,1,1,-0.0006325110689437065,-1.0,-1.0,0.0,100.0
combined_silage_maize,1986,0,0,0,0,0.0,,0.0,,
combined_silage_maize,1987,3,0,3,3,-0.0018975332068311196,-1.0,-3.0,0.0,100.0
combined_silage_maize,1988,1,0,1,0,-0.0006325110689437065,-1.0,-1.0,0.0,100.0
combined_silage_maize,1989,0,0,0,0,0.0,,0.0,,
combined_silage_maize,1990,2,0,2,0,-0.001265022137887413,-1.0,-2.0,0.0,100.0
combined_silage_maize,1991,9,2,7,2,-0.0056925996204933585,-1.0,-9.0,22.22222222222222,77.77777777777777
combined_silage_maize,1992,4,4,0,0,0.002530044275774826,1.0,4.0,100.0,0.0
combined_silage_maize,1993,2,2,0,0,0.0031625553447185324,2.5,5.0,100.0,0.0
combined_silage_maize,1994,0,0,0,0,0.0,,0.0,,
combined_silage_maize,1995,1,0,1,1,-0.0006325110689437065,-1.0,-1.0,0.0,100.0
combined_silage_maize,1996,3,2,1,0,0.0031625553447185324,1.6666666666666667,5.0,66.66666666666667,33.333333333333336
combined_silage_maize,1997,21,16,5,5,0.0024813895781637717,0.42857142857142855,9.0,76.19047619047619,23.80952380952381
combined_silage_maize,1998,19,2,17,14,-0.0041356492969396195,-0.7894736842105263,-15.0,10.526315789473685,89.47368421052632
combined_silage_maize,1999,6,0,6,1,-0.0022056796250344637,-1.3333333333333333,-8.0,0.0,100.0
combined_silage_maize,2000,17,15,2,2,0.0033085194375516956,0.7058823529411765,12.0,88.23529411764706,11.764705882352942
combined_silage_maize,2001,14,11,3,1,0.007590132827324478,0.8571428571428571,12.0,78.57142857142857,21.428571428571427
combined_silage_maize,2002,26,11,15,12,-0.005789909015715467,-0.8076923076923077,-21.0,42.30769230769231,57.69230769230769
combined_silage_maize,2003,7,1,6,4,-0.0031625553447185324,-0.7142857142857143,-5.0,14.285714285714286,85.71428571428571
