crop,year,n_changed,n_pos,n_neg,n_zeroed,mean_diff,mean_diff_changed,sum_diff,pct_pos,pct_neg
combined_dry_pea,1979,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1980,2,0,2,1,-0.0018975332068311196,-1.5,-3.0,0.0,100.0
combined_dry_pea,1981,15,3,12,3,-0.006325110689437065,-0.6666666666666666,-10.0,20.0,80.0
combined_dry_pea,1982,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1983,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1984,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1985,2,0,2,1,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_dry_pea,1986,3,0,3,2,-0.003795066413662239,-2.0,-6.0,0.0,100.0
combined_dry_pea,1987,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1988,6,3,3,0,0.0,0.0,0.0,50.0,50.0
combined_dry_pea,1989,1,0,1,0,-0.0006325110689437065,-1.0,-1.0,0.0,100.0
combined_dry_pea,1990,2,2,0,0,0.001265022137887413,1.0,2.0,100.0,0.0
combined_dry_pea,1991,13,8,5,5,-0.002530044275774826,-0.3076923076923077,-4.0,61.53846153846154,38.46153846153846
combined_dry_pea,1992,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1993,0,0,0,0,0.0,,0.0,,
combined_dry_pea,1994,2,0,2,1,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_dry_pea,1995,2,0,2,1,-0.0018975332068311196,-1.5,-3.0,0.0,100.0
combined_dry_pea,1996,1,1,0,0,0.0006325110689437065,1.0,1.0,100.0,0.0
combined_dry_pea,1997,3,2,1,1,-0.0018975332068311196,-1.0,-3.0,66.66666666666667,33.333333333333336
combined_dry_pea,1998,3,1,2,2,-0.001265022137887413,-0.6666666666666666,-2.0,33.333333333333336,66.66666666666667
combined_dry_pea,1999,1,0,1,0,-0.0006325110689437065,-1.0,-1.0,0.0,100.0
combined_dry_pea,2000,16,11,5,3,0.001265022137887413,0.125,2.0,68.75,31.25
combined_dry_pea,2001,12,3,9,0,0.003795066413662239,0.5,6.0,25.0,75.0
combined_dry_pea,2002,19,4,15,11,-0.008822718500137855,-1.6842105263157894,-32.0,21.05263157894737,78.94736842105263
combined_dry_pea,2003,9,7,2,0,0.007590132827324478,1.3333333333333333,12.0,77.77777777777777,22.22222222222222
combined_dry_pea,2004,3,3,0,0,0.0018975332068311196,1.0,3.0,100.0,0.0
combined_dry_pea,2005,4,3,1,0,0.0018975332068311196,0.75,3.0,75.0,25.0
combined_dry_pea,2006,39,19,20,16,-0.028462998102466792,-1.1538461538461537,-45.0,48.717948717948715,51.282051282051285
combined_dry_pea,2007,10,1,9,1,-0.005060088551549652,-0.8,-8.0,10.0,90.0
combined_dry_pea,2008,0,0,0,0,0.0,,0.0,,
combined_dry_pea,2009,9,2,7,0,-0.0031625553447185324,-0.5555555555555556,-5.0,22.22222222222222,77.77777777777777
combined_dry_pea,2010,43,22,21,20,-0.03225806451612903,-1.186046511627907,-51.0,51.16279069767442,48.83720930232558
combined_dry_pea,2011,12,10,2,1,0.005060088551549652,0.6666666666666666,8.0,83.33333333333333,16.666666666666668
combined_dry_pea,2012,5,3,2,1,0.0006325110689437065,0.2,1.0,60.0,40.0
combined_dry_pea,2013,3,3,0,0,0.0018975332068311196,1.0,3.0,100.0,0.0
combined_dry_pea,2014,4,1,3,2,-0.0031625553447185324,-1.25,-5.0,25.0,75.0
combined_dry_pea,2015,2,0,2,1,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
combined_dry_pea,2016,13,1,12,1,-0.010120177103099304,-1.2307692307692308,-16.0,7.6923076923076925,92.3076923076923
combined_dry_pea,2017,16,10,6,4,0.0006325110689437065,0.0625,1.0,62.5,37.5
combined_dry_pea,2018,20,6,14,12,-0.03225806451612903,-2.55,-51.0,30.0,70.0
