crop,year,row,col,orig_yield,pf_yield,diff,shaw_class,af_class,driver
combined_silage_maize,1979,23,40,1.0,0.0,-1.0,-1,3,soil_moisture_awc
combined_silage_maize,1979,25,41,1.0,0.0,-1.0,-1,3,soil_moisture_awc
combined_silage_maize,1979,25,42,1.0,0.0,-1.0,-1,3,soil_moisture_awc
combined_silage_maize,1979,25,43,1.0,0.0,-1.0,-1,3,soil_moisture_awc
combined_silage_maize,1979,26,66,1.0,0.0,-1.0,-1,4,soil_moisture_awc
combined_silage_maize,1979,27,68,1.0,0.0,-1.0,-1,4,soil_moisture_awc
combined_silage_maize,1979,27,69,1.0,0.0,-1.0,-1,4,soil_moisture_awc
combined_silage_maize,1980,24,39,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_silage_maize,1981,23,38,1.0,0.0,-1.0,0,3,soil_moisture_awc
combined_silage_maize,1981,30,78,5.0,4.0,-1.0,0,4,yield_change
combined_silage_maize,1983,23,38,1.0,0.0,-1.0,0,3,soil_moisture_awc
combined_silage_maize,1983,23,43,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1983,25,42,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1985,27,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_silage_maize,1987,24,40,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_silage_maize,1987,25,40,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_silage_maize,1987,27,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_silage_maize,1988,29,80,4.0,3.0,-1.0,0,4,yield_change
combined_silage_maize,1990,30,78,4.0,3.0,-1.0,0,4,yield_change
combined_silage_maize,1990,32,79,4.0,3.0,-1.0,0,4,yield_change
combined_silage_maize,1991,24,39,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_silage_maize,1991,25,40,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_silage_maize,1991,25,44,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1991,27,79,5.0,4.0,-1.0,0,4,yield_change
combined_silage_maize,1991,28,81,5.0,4.0,-1.0,0,4,yield_change
combined_silage_maize,1991,29,57,0.0,1.0,1.0,0,1,yield_change
combined_silage_maize,1991,29,80,5.0,4.0,-1.0,0,4,yield_change
combined_silage_maize,1991,30,75,3.0,2.0,-1.0,0,4,yield_change
combined_silage_maize,1991,30,78,5.0,4.0,-1.0,0,4,yield_change
combined_silage_maize,1992,23,39,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1992,23,45,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1992,25,44,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1992,25,47,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1993,25,44,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1993,31,78,1.0,5.0,4.0,0,4,yield_change
combined_silage_maize,1995,24,39,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_silage_maize,1996,23,41,0.0,1.0,1.0,0,4,yield_change
combined_silage_maize,1996,24,42,0.0,5.0,5.0,0,4,yield_change
combined_silage_maize,1996,30,78,5.0,4.0,-1.0,0,4,yield_change
combined_silage_maize,1997,9,46,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,9,47,1.0,0.0,-1.0,0,3,soil_moisture_awc
combined_silage_maize,1997,10,48,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,15,38,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,18,79,1.0,0.0,-1.0,1,3,permafrost_class
combined_silage_maize,1997,20,35,0.0,1.0,1.0,0,3,yield_change
combined_silage_maize,1997,20,36,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,21,50,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,21,77,1.0,0.0,-1.0,1,3,permafrost_class
combined_silage_maize,1997,23,39,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,23,80,1.0,0.0,-1.0,1,3,permafrost_class
combined_silage_maize,1997,24,40,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_silage_maize,1997,25,44,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,25,47,0.0,1.0,1.0,0,2,yield_change
combined_silage_maize,1997,26,55,0.0,1.0,1.0,0,2,yield_change
