year,permafrost_class,soil_moisture_awc,yield_change
1979,0,2,0
1980,0,2,1
1981,0,34,3
1982,0,5,1
1983,0,4,1
1984,0,8,0
1985,0,31,14
1986,0,17,2
1987,0,66,12
1988,0,69,4
1989,0,81,10
1990,0,12,3
1991,0,61,2
1992,0,54,18
1993,0,67,3
1994,0,71,13
1995,0,12,4
1996,0,63,0
1997,0,41,2
1998,0,38,30
1999,0,9,12
2000,0,26,3
2001,0,7,13
2002,0,74,30
2003,1,37,12
2004,0,80,13
2005,0,65,38
2006,0,102,15
2007,0,20,16
2008,0,40,26
2009,0,66,21
2010,0,29,20
2011,0,63,22
2012,0,57,11
2013,0,25,22
2014,0,48,11
2015,0,75,13
2016,0,82,25
2017,0,66,38
2018,0,53,40
