crop,year,row,col,orig_yield,pf_yield,diff,shaw_class,af_class,driver
combined_winter_barley,1979,27,78,4.0,0.0,-4.0,-1,4,soil_moisture_awc
combined_winter_barley,1979,27,82,1.0,0.0,-1.0,-1,4,soil_moisture_awc
combined_winter_barley,1980,27,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1980,27,79,3.0,1.0,-2.0,0,4,yield_change
combined_winter_barley,1980,28,84,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,26,79,1.0,0.0,-1.0,0,3,soil_moisture_awc
combined_winter_barley,1981,27,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,27,78,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1981,27,79,4.0,5.0,1.0,0,4,yield_change
combined_winter_barley,1981,28,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,28,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,28,72,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,28,83,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,28,84,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,68,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,71,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,77,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,79,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,29,80,4.0,5.0,1.0,0,4,yield_change
combined_winter_barley,1981,29,84,4.0,0.0,-4.0,0,4,soil_moisture_awc
combined_winter_barley,1981,30,67,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,30,68,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,30,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,30,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,30,71,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,30,75,2.0,0.0,-2.0,0,4,soil_moisture_awc
combined_winter_barley,1981,30,78,4.0,5.0,1.0,0,4,yield_change
combined_winter_barley,1981,30,84,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1981,31,67,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,31,68,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,31,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,31,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,31,71,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,31,77,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,31,78,4.0,0.0,-4.0,0,4,soil_moisture_awc
combined_winter_barley,1981,32,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,32,71,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,33,72,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1981,34,72,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1982,23,78,0.0,1.0,1.0,0,3,yield_change
combined_winter_barley,1982,27,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1982,27,79,2.0,0.0,-2.0,0,4,soil_moisture_awc
combined_winter_barley,1982,27,82,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1982,28,81,2.0,0.0,-2.0,0,4,soil_moisture_awc
combined_winter_barley,1982,28,83,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1983,27,69,1.0,0.0,-1.0,0,3,soil_moisture_awc
combined_winter_barley,1983,27,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1983,28,69,0.0,1.0,1.0,0,3,yield_change
combined_winter_barley,1983,30,63,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1983,31,77,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1984,26,58,1.0,0.0,-1.0,0,3,soil_moisture_awc
combined_winter_barley,1984,26,59,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1984,26,60,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1984,26,61,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1984,26,62,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1984,27,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1984,30,75,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1984,31,77,4.0,0.0,-4.0,0,4,soil_moisture_awc
combined_winter_barley,1985,27,62,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1985,27,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1985,27,64,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,27,78,2.0,0.0,-2.0,0,4,soil_moisture_awc
combined_winter_barley,1985,27,79,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,27,80,4.0,5.0,1.0,0,4,yield_change
combined_winter_barley,1985,28,62,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1985,28,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1985,28,64,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,28,65,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,28,81,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,29,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1985,29,64,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,29,65,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,29,66,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,29,67,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,29,68,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,29,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,29,78,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,29,79,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,29,80,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,29,84,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,30,64,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1985,30,65,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,30,66,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,30,67,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,30,68,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,30,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,30,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,30,75,2.0,3.0,1.0,0,4,yield_change
combined_winter_barley,1985,30,78,3.0,5.0,2.0,0,4,yield_change
combined_winter_barley,1985,30,84,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,31,65,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,31,66,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,31,67,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,31,68,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,31,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,31,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,31,71,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,31,77,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1985,31,78,3.0,5.0,2.0,0,4,yield_change
combined_winter_barley,1985,32,70,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,32,71,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1985,32,78,2.0,3.0,1.0,0,4,yield_change
combined_winter_barley,1985,32,79,3.0,5.0,2.0,0,4,yield_change
combined_winter_barley,1986,26,79,1.0,0.0,-1.0,0,3,soil_moisture_awc
combined_winter_barley,1986,27,60,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,27,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,27,79,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1986,27,80,1.0,5.0,4.0,0,4,yield_change
combined_winter_barley,1986,28,60,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,28,61,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,28,73,0.0,2.0,2.0,0,4,yield_change
combined_winter_barley,1986,28,81,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1986,28,83,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,28,84,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,29,61,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,29,62,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,29,77,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,29,78,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,29,79,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1986,29,80,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1986,29,84,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1986,30,84,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,25,61,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,25,62,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,25,63,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,25,64,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,25,66,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,58,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,59,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,60,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,61,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,62,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,64,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,65,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,66,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,26,67,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,60,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,62,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,64,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,65,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,66,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,67,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,68,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,69,1.0,0.0,-1.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,78,2.0,0.0,-2.0,0,4,soil_moisture_awc
combined_winter_barley,1987,27,79,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1987,27,80,4.0,5.0,1.0,0,4,yield_change
combined_winter_barley,1987,27,82,4.0,5.0,1.0,0,4,yield_change
combined_winter_barley,1987,28,61,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,62,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,64,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,65,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,66,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,67,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,68,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,28,73,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1987,28,81,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1987,28,83,3.0,5.0,2.0,0,4,yield_change
combined_winter_barley,1987,28,84,2.0,3.0,1.0,0,4,yield_change
combined_winter_barley,1987,29,62,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,64,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,65,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,66,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,67,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,68,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,69,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,70,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,71,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,77,2.0,3.0,1.0,0,4,yield_change
combined_winter_barley,1987,29,78,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,79,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,29,80,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1987,29,84,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1987,30,63,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,64,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,65,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,66,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,67,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,68,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,69,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,70,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,71,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,75,2.0,0.0,-2.0,0,4,soil_moisture_awc
combined_winter_barley,1987,30,78,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1987,30,84,3.0,4.0,1.0,0,4,yield_change
combined_winter_barley,1987,31,64,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,65,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,66,4.0,0.0,-4.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,67,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,68,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,69,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,70,5.0,0.0,-5.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,71,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,31,77,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1987,32,70,4.0,0.0,-4.0,0,4,soil_moisture_awc
combined_winter_barley,1987,32,71,3.0,0.0,-3.0,0,4,soil_moisture_awc
combined_winter_barley,1988,24,41,2.0,0.0,-2.0,0,4,soil_moisture_awc
