year,permafrost_class,soil_moisture_awc,yield_change
1979,0,2,0
1980,0,2,1
1981,0,34,3
1982,0,5,1
1983,0,4,1
1984,0,8,0
1985,0,31,14
1986,0,17,2
1987,0,66,11
1988,0,69,4
1989,0,81,5
1990,0,12,3
1991,0,61,1
1992,0,54,19
1993,0,67,3
1994,0,71,12
1995,0,12,4
1996,0,63,6
1997,0,41,2
1998,0,38,30
1999,0,9,12
2000,0,26,3
2001,0,7,12
2002,0,74,24
2003,1,37,11
2004,0,80,11
2005,0,65,30
2006,0,102,13
2007,0,20,19
2008,0,40,25
2009,0,66,21
2010,0,29,22
2011,0,63,27
2012,0,57,13
2013,0,25,22
2014,0,48,12
2015,0,75,9
2016,0,82,17
2017,0,66,34
2018,0,53,34
