year,permafrost_class,soil_moisture_awc,yield_change
1979,0,2,0
1980,0,2,1
1981,0,33,0
1982,0,5,1
1983,0,3,1
1984,0,8,0
1985,0,31,14
1986,0,9,0
1987,0,66,12
1988,0,69,3
1989,0,81,7
1990,0,12,1
1991,0,61,0
1992,0,45,18
1993,0,13,4
1994,0,59,13
1995,0,12,4
1996,0,63,0
1997,0,41,2
1998,0,36,21
1999,0,9,12
2000,0,26,3
2001,0,7,8
2002,0,74,26
2003,1,37,7
2004,0,80,26
2005,0,65,26
2006,0,102,18
2007,0,20,16
2008,0,40,26
2009,0,62,16
2010,0,29,26
2011,0,63,32
2012,0,54,4
2013,0,25,16
2014,0,48,10
2015,0,75,15
2016,0,82,37
2017,0,66,35
2018,0,53,46
